index,371_1_www.surfmusik.de,371_2_www.surfmusik.de,371_3_www.surfmusik.de,371_4_www.surfmusik.de,371_5_www.surfmusik.de,371_6_www.surfmusik.de,371_7_www.surfmusik.de,371_8_www.surfmusik.de,371_9_www.surfmusik.de,371_10_www.surfmusik.de
41,1589264.5999999992,1671616.4000000004,1702295.5999999999,1767067.4,1682851.2,2427113.0,2567866.8,1703722.2,1621173.0,1883211.2000000002
42,1634797.56,1678715.68,1719456.48,1773168.82,1687297.4400000004,2463264.2,2704422.16,1712803.88,1638556.4000000001,2000808.8800000001
43,1649845.72,1695544.84,1722624.32,1789376.36,1708614.08,2481848.2,2782723.56,1718001.76,1650328.2,2106002.7200000016
44,1671333.24,1707623.3599999999,1733852.52,1822638.92,1720000.4000000004,2504123.8,2816193.36,1765243.3600000008,1650687.1,2137166.16
45,1685528.16,1744288.76,1743429.9599999997,1832289.72,1744733.76,2564939.4000000004,2911330.88,1865428.28,1661613.2,2162323.8
46,1729417.6,1751736.6,1798606.2,1833544.7000000002,1762173.2,2613845.0000000005,2949154.4,1915590.6,1681388.0,2185686.4
47,1776054.4000000001,1767046.7999999996,1809780.0800000003,1880617.2800000003,1781047.28,2632058.4,3045856.2800000003,2013561.04,1717090.4,2230633.16
48,1792749.4,1803783.5999999999,1860665.8,1910770.36,1782386.82,2642805.9,3067496.28,2053325.16,1725292.7000000002,2320522.1999999997
49,1849202.7999999998,1838181.28,1873821.08,1957384.5199999998,1798417.48,2664450.2,3071212.76,2083839.28,1745624.0000000002,2388890.12
50,1887175.84,1887702.72,1906761.72,1998822.2999999996,1825468.5600000015,2700249.199999999,3091803.6,2104127.56,1773751.5,2413354.3200000003
