index,374_1_www.kino.de,374_2_www.kino.de,374_3_www.kino.de,374_4_www.kino.de,374_5_www.kino.de,374_6_www.kino.de,374_7_www.kino.de,374_8_www.kino.de,374_9_www.kino.de,374_10_www.kino.de,375_1_www.kino.de,375_2_www.kino.de,375_3_www.kino.de,375_4_www.kino.de,375_5_www.kino.de,375_6_www.kino.de,375_7_www.kino.de,375_8_www.kino.de,375_9_www.kino.de,375_10_www.kino.de,376_1_www.kino.de,376_2_www.kino.de,376_3_www.kino.de,376_4_www.kino.de,376_5_www.kino.de,376_6_www.kino.de,376_7_www.kino.de,376_8_www.kino.de,376_9_www.kino.de,376_10_www.kino.de,377_1_www.kino.de,377_2_www.kino.de,377_3_www.kino.de,377_4_www.kino.de,377_5_www.kino.de,377_6_www.kino.de,377_7_www.kino.de,377_8_www.kino.de,377_9_www.kino.de,377_10_www.kino.de
11,784641.9999999999,815405.0,746392.2,737231.8000000002,749780.0,838225.6000000001,787012.0,729788.8,706133.6,728556.6,2185472.4,2164226.4,2251069.6,2279915.8,2071516.0,2180548.6,2079052.2,2069200.5999999999,2250533.8,2067711.0,811693.4,804808.6000000001,778344.4,747196.6,821912.6,778734.8,749192.6,862221.5999999997,813670.6000000001,839369.4000000001,837472.6000000001,772495.6,804810.0,783374.0,782631.4,825808.0,768791.2,805899.8,859104.0,800291.2
12,825441.48,812036.88,762257.0599999999,744729.4,750386.2,858188.2,814530.4,747105.84,734608.34,733344.22,2229384.42,2312370.24,2274791.12,2393391.5,2078118.7,2246390.06,2200185.72,2099916.5999999996,2287497.52,2162280.4,883742.0799999997,853833.72,829337.4,787405.42,869725.96,827511.0599999999,775370.34,870923.3200000001,847352.7999999998,867208.96,863328.4,814685.24,853839.68,824876.4,810936.12,852928.5,809697.92,866964.48,879482.5,835603.2
13,866854.0000000001,887527.9200000003,805318.76,766138.72,760814.2000000001,905457.36,819214.5999999997,745165.76,751839.2000000001,759880.24,2280984.52,2371233.64,2374183.68,2406681.12,2123722.4,2283022.28,2255011.32,2130608.84,2385313.76,2244427.4,903300.24,860287.4000000001,827801.56,814982.64,899546.36,838720.52,797678.52,905197.08,877509.12,900814.12,872575.36,847371.84,886235.28,861480.0,812935.08,867160.0,826244.9199999999,881290.84,910624.0,877137.16
14,887686.5,901613.52,828072.64,828149.2399999999,799652.4,935147.64,837242.9,763468.56,818373.4399999998,793624.62,2328765.34,2420566.879999999,2413008.48,2462229.5600000015,2247676.9,2361936.22,2286093.24,2219427.04,2425002.48,2277157.6,1377821.2399999993,881889.12,859773.16,836480.82,906509.04,861857.98,830909.22,922823.48,895646.5399999999,931126.66,895538.68,866121.0800000004,899118.04,884306.7999999999,875824.04,882331.5,862758.94,895655.8000000003,981691.5,892395.84
15,904479.88,928406.8000000002,848894.84,862469.04,856068.0,951393.52,871153.4,812102.92,865043.0,817620.48,2378817.96,2783394.96,2633713.76,2717866.72,2282857.8,2403788.3200000003,2336077.9600000004,2286820.12,2512358.7600000002,2315019.6,2396848.5999999996,896941.76,903153.96,826671.0399999999,933359.2,874780.92,841801.7599999994,958488.4400000001,960233.28,983199.32,916276.8,914497.72,933213.84,904141.8,890782.4400000001,955594.0,883182.1599999999,914167.32,1016118.0,912451.88
16,930018.2,954330.4,880234.2,865739.8,870862.0,985346.4,905659.5,837492.2,879011.1,822291.7000000001,2502194.5,2832909.6,2840752.6,2802516.3,2375645.5,2439078.7,2383831.6,2367867.8,2742675.6,2341351.0,2722418.8,923242.6000000002,928346.0,894962.8,946205.6000000001,895758.0,865124.5999999997,1207427.1999999979,1477937.3,997297.7,977610.2000000001,928935.0000000002,995323.2000000001,926131.0,917469.7999999999,978668.0,896281.9999999999,975111.6000000002,1029653.0,964220.3
17,943382.7999999999,1021827.88,889046.8,894413.12,896209.4,1008667.5600000002,1001509.2,842219.28,901458.84,879167.32,2557271.96,2874850.3999999994,2885350.28,2882082.6799999997,2387099.2,2549984.32,2423765.32,2390382.44,2782391.28,2407496.8,2796412.4,948565.0800000001,1525378.52,913742.28,1018515.2400000001,1103455.48,894752.88,1799113.1599999983,2360473.8800000004,1768059.0000000002,1089290.92,946222.8000000002,1034690.04,1000043.1999999997,932512.88,993941.0,945457.84,1002176.32,1103367.0,1007677.24
18,969361.26,1160762.7200000002,929614.76,906596.96,910691.6,1123464.52,1095170.5999999999,850834.28,926372.54,891145.9,2574247.06,2979893.1599999988,3036045.88,2908354.920000001,2525224.9,2775835.1599999997,2441121.06,2596255.44,2826540.84,2448400.4,2813843.14,976760.72,2238192.2800000017,922707.38,1770152.9200000013,1580733.5599999998,908345.08,2643447.2399999993,2765465.08,2576436.3600000027,1104253.28,960272.04,1067827.96,1069498.9999999995,1006680.8,1086729.5,1005695.06,1013674.9400000001,1244251.5,1035215.72
19,1008098.16,1207498.32,941754.6799999999,931338.08,927619.3999999997,1294675.6800000002,1112277.6,888363.96,959925.28,911021.76,2624246.96,3126215.52,3281049.24,3247623.16,2630797.8,2797480.68,2564219.76,2644726.92,2859834.44,2550524.4,2865514.2800000003,1206335.6800000002,2741133.32,1050547.4799999997,2539717.52,2410519.52,916588.28,2808286.92,2798746.12,2825505.84,1125571.6800000002,966697.4000000003,1078393.84,1096661.8,1044768.92,1168683.0,1081667.44,1059909.96,1444491.0,1104514.2400000002
20,1062191.7,1213745.04,1064498.78,972776.36,943061.8,1337065.6,1135172.2,941847.08,984277.76,923383.34,2657484.42,3252211.96,3355024.48,3451061.4400000004,2688882.4,2848307.84,2639006.0399999996,2683595.48,2890510.76,2756669.8,2898349.84,1696449.9200000002,2762560.8000000003,1679728.0599999991,2769492.56,2762608.32,957159.82,2905087.52,2890818.56,2843184.62,1173937.68,1020193.16,1116472.96,1111764.8,1054560.9200000002,1179539.5,1096643.42,1092833.88,1486293.0,1151713.12
21,1141687.4000000001,1326759.4000000001,1123389.4,1033851.6000000003,958869.0,1355122.4,1153737.0,1078507.7999999998,1138944.8,941326.4,2684756.399999999,3326966.8,3378878.2,3493637.2000000007,2707365.0,2879498.2,2793729.4,2730685.0,2931963.6,2892989.0,2985332.5999999996,2188358.8000000007,2791637.2,2355034.999999998,2813459.8,2779295.6,1063074.7999999993,2953818.2,2946590.2,2880392.6,1411526.8,1147639.4,1213698.8,1150007.0,1097648.4,1229430.0,1126574.4000000001,1298432.4000000006,1526625.0,1178087.0
22,1288405.96,1395520.0,1193310.3800000001,1113227.04,965070.8,1435133.44,1211930.5,1093984.8399999999,1155591.56,959061.72,2717946.66,3371481.56,3417057.88,3592069.94,2739928.3,2918554.1000000006,2940530.82,2827110.5999999996,2977668.64,2982016.9999999995,3217045.2399999998,2453629.04,3019549.8000000003,2797658.7199999997,2895800.56,2784733.56,1609726.2399999993,3014759.16,2974368.54,3058008.6800000034,1465490.48,1177879.64,1483855.6,1374230.8,1168345.78,1263618.5,1157667.82,1533455.4800000004,1595664.5,1192601.44
23,1339095.16,1445027.2,1206966.56,1180482.04,985670.5999999997,1483101.04,1233494.5999999999,1105066.16,1164134.44,978846.6399999999,2759700.2,3405290.68,3466208.12,3634492.68,2825739.6,2948578.56,2964370.92,2931638.96,3005023.08,3025114.4,3248744.1599999997,2838353.52,3037283.56,2832057.04,2971360.56,2820033.24,2271328.6799999997,3032146.4,3033252.08,3204188.96,1491541.52,1197062.6,1640490.48,1391723.0,1226279.68,1289106.0,1373514.68,1568271.6,1620215.0,1276958.8399999999
24,1412815.62,1453867.92,1218225.32,1201779.52,1059271.8,1492851.76,1263367.4,1140969.12,1225364.08,1023067.2399999998,2778613.3000000003,3433158.88,3500943.44,3681515.24,2868651.6,2961964.04,2986302.04,3066565.88,3034014.36,3055070.2,3276923.38,2868595.84,3062755.02,2841783.86,2991911.6,2844145.44,2783503.48,3076212.28,3047259.64,3224636.16,1591291.279999999,1230495.96,1655742.72,1582771.4,1365860.4,1301189.5,1395554.14,1647330.86,1624894.5,1441228.66
25,1427813.44,1471661.76,1251919.04,1209255.28,1083310.7999999998,1535853.36,1318807.9999999998,1170139.04,1303201.8800000001,1048308.32,2819936.32,3475392.84,3520546.84,3711496.56,2905433.4,2999508.4400000004,3026291.84,3095703.56,3087354.480000002,3078577.2,3304104.68,2907843.4,3072814.6,2898701.68,3010306.92,2922754.0,2794963.36,3095662.72,3071255.6799999997,3241723.1199999996,1760378.0400000024,1251314.16,1697796.96,1617269.6,1498315.4,1323831.0,1419797.8399999999,1657415.8399999999,1630805.0,1473769.72
26,1458922.5,1482985.0,1268849.5,1215546.0,1149454.0,1548339.0,1411507.5,1173398.0,1379988.5,1064963.5,2952310.9999999967,3522772.0,3574808.0,3820489.0,2931067.5,3029518.5,3099656.0,3121263.0,3245108.0,3110706.0,3355652.5,3049740.0,3098938.5,2939326.5,3041398.0,3157323.0,2880466.0,3120091.0,3094493.0,3269897.5,1837122.0,1307035.0,1719649.0,1646368.0,1509209.0,1346728.0,1459853.5,1672641.5,1682351.5,1491876.0
27,1508208.92,1507595.3599999999,1323902.72,1303056.32,1304467.0,1573231.52,1421255.7999999998,1217716.96,1408585.48,1099471.32,3046959.9999999995,3542765.84,3593029.92,3835850.0399999996,2963250.1999999997,3082242.44,3138512.52,3144699.44,3266566.44,3155661.8,3371984.08,3075431.24,3256361.6799999997,3029320.68,3085972.72,3182946.96,2938106.96,3135795.6,3116274.6,3305363.880000001,1864861.64,1330528.44,1760301.56,1662955.0,1528190.44,1362119.0,1593899.56,1730974.72,1702270.0,1508918.2
28,1531530.16,1546680.56,1436811.68,1337604.4,1330563.2,1596598.56,1453941.9,1236370.96,1427116.52,1171502.54,3225653.38,3577615.96,3622673.08,3868969.84,3110378.1,3099782.1,3160288.54,3224623.84,3383786.08,3177513.0,3416898.1199999996,3087689.32,3339459.22,3168350.68,3098453.12,3206895.1999999997,2971755.6799999997,3156361.56,3134027.48,3312632.2600000002,1886773.68,1376128.68,1773128.12,1676621.8,1557582.12,1387244.5,1623230.6199999999,1746090.46,1719987.5,1553798.96
29,1544040.8399999996,1558126.72,1442972.1199999999,1380370.4000000004,1346832.9999999998,1618702.8,1481216.0,1280070.84,1446648.56,1326851.36,3354308.7199999997,3607433.3600000003,3646006.2399999998,4142748.5999999996,3190129.4,3176449.08,3204838.24,3255208.96,3702751.56,3201100.4,3530171.64,3112343.16,3447030.68,3258590.12,3112848.56,3235573.7199999997,2998215.44,3180747.079999999,3158877.44,3349693.4,1929163.48,1389846.08,1810618.92,1691656.9999999995,1584258.8800000001,1418214.0,1617521.24,1779811.0,1737422.0,1567224.04
30,1578741.78,1578736.96,1454771.88,1441266.96,1363417.8,1652923.4,1491088.9000000001,1326874.52,1450594.34,1394249.2599999998,3428485.1199999982,3836586.24,3676491.44,5581274.92,3229330.7,3204216.44,3233482.18,3287926.5200000005,5135885.44,3229728.8,3727633.5799999996,3125986.2399999998,3485382.92,3269890.92,3144267.3999999994,3252079.12,3009067.16,3205104.44,3181470.66,3372324.42,1953903.7999999998,1410855.02,1845096.6400000001,1721270.2,1645110.0800000003,1460298.0,1656788.8799999997,1802412.8,1753983.5,1616672.54
31,1591849.6,1585115.2,1464496.4000000001,1454184.2,1400973.0,1666040.8,1508860.0,1359179.2,1476163.2,1427894.4,3669663.2,5197386.400000001,3910306.6,5736409.0,3248388.0,3332061.8,3248039.0,3326478.4,5297156.2,3244572.0,3764948.6,3185869.8000000003,3495897.2,3278825.2,3187717.2,3308457.4,3015589.9999999995,3236008.399999999,3204306.8,3381286.0,1969401.4,1418974.8,1858390.8,1734774.0,1667585.7999999998,1481098.0,1721696.6,1859740.6,1779203.0,1624982.4000000001
32,1604054.64,1616968.12,1503837.36,1465872.08,1408294.8,1694661.719999999,1520337.0,1366326.68,1518047.06,1449199.18,3715220.579999999,5600920.760000001,5320408.759999999,5808324.1000000015,3283692.0000000005,3474867.160000013,3287224.3,3344512.36,5999693.399999999,3262886.8000000003,3793629.86,3204852.96,3512431.7399999998,3339421.12,3210509.32,3331665.5999999996,3049569.8000000003,3269920.12,3251627.12,3395600.7800000003,1981053.04,1424992.94,1869100.64,1750166.6,1686376.4400000002,1498151.0,1750156.5,1872550.2399999998,1791127.5,1645426.62
33,1628483.56,1645475.32,1510252.32,1500388.8,1425482.5999999999,1722401.76,1549113.2,1409656.28,1529813.48,1463215.76,4706421.839999995,6758585.48,5976670.92,6948467.560000007,3332311.4,3989729.600000006,3320381.84,3368100.16,6914903.64,3383126.8000000003,3829475.92,3229942.32,3533805.48,3355198.2399999998,3222749.36,3357048.28,3085254.88,3279637.36,3251910.68,3427773.1600000006,1998259.48,1477215.0,1876539.76,1767014.6,1707041.88,1511511.0,1806297.04,1892575.4000000001,1802595.0,1655892.44
34,1650910.44,1651504.28,1522819.46,1505724.44,1442928.5999999999,1731717.96,1560620.9,1462471.68,1555750.88,1481143.9,6118287.159999995,6792157.08,7167603.919999995,8425930.06,3536035.8,5331038.880000001,3423975.9200000013,3410714.7600000002,7346387.440000011,3475505.4,3839847.86,3247550.32,3559455.12,3375734.5599999996,3244456.6,3375314.2399999998,3091629.8,3350016.8000000003,3290070.9,3457051.44,2021756.5999999994,1484296.8,1911093.36,1790612.6,1711466.64,1525364.0,1817117.7600000002,1911016.46,1827377.5,1677122.94
35,1675189.9200000002,1692073.6,1534080.4,1522938.84,1455893.2,1752111.1600000001,1578014.8,1471035.36,1570813.08,1486543.12,6878926.72,8167542.679999993,8485768.2,8922945.88,3862496.800000003,6265509.48000001,3538874.44,3574699.919999999,8398953.64,3638816.1999999997,3844035.28,3273499.16,3570905.6799999997,3388359.88,3270347.76,3407701.72,3096883.84,3357361.16,3303238.4400000004,3470589.920000001,2046211.08,1491213.24,1939748.96,1818079.0,1727196.28,1527241.0,1830814.96,1926231.16,1861890.0,1684328.8800000001
36,1706199.0999999999,1701419.6000000008,1557061.7,1535592.0,1467412.0,1796585.6,1584488.0,1492307.2,1584131.8,1502834.6,6934839.0,8801219.6,8567164.6,8979423.0,5060870.5,6801463.9,3770440.7,3651742.8,9951312.400000002,3806955.0,3872360.4,3300449.4000000004,3593161.7,3423451.9,3279944.2,3517500.7,3110405.4,3374481.5999999996,3331169.4,3587113.5,2067954.6,1506430.4,1959267.8,1838276.0,1762013.5999999999,1633892.0,1851801.3,1947042.6000000006,1899784.0,1710520.8
37,1713877.88,1711047.2000000002,1583883.84,1554400.68,1515752.6,1817707.08,1611823.8,1503593.32,1590805.32,1517865.4,7666786.879999999,9119105.24,8591619.44,9010502.36,5179382.4,7816819.8,3809084.359999999,4194421.560000001,11177239.72,4713699.600000002,3917138.8,3315055.52,3619773.04,3419971.5199999996,3284734.64,3542633.2399999998,3130559.52,3399530.84,3335061.64,3597636.600000001,2092807.36,1517170.5599999998,1973899.24,1874683.2,1799985.32,1994834.0,1873173.1600000001,1966031.64,1943377.0,1749152.12
38,1720826.22,1738845.0399999998,1591620.98,1568742.68,1530123.6,1857667.12,1640399.4,1514933.44,1597715.1200000003,1530316.84,8410828.46,9205002.44,8748985.72,10028123.92000001,6466932.400000009,8262179.9799999995,4312543.860000001,5180859.800000001,11249892.2,5600296.799999991,3920686.34,3333851.88,3652572.8,3440229.3200000003,3327618.72,3575756.14,3139764.02,3424351.36,3423262.98,3645044.32,2113627.56,1538254.06,2005383.1199999999,1889623.9999999995,1801440.6,2046131.5,1891114.64,1996207.5600000008,1947750.5,1763785.54
39,1745048.64,1752002.4000000001,1605637.48,1582840.16,1531513.4,1878773.1999999997,1664604.5999999999,1513832.52,1605005.72,1543342.84,8443518.6,9387311.28,8808984.08,11528562.040000005,6686802.399999999,8286755.52,5107210.439999997,6200557.04,11310472.48,6398690.3999999985,3937602.56,3338802.32,3670411.4800000004,3450702.68,3372243.64,3590294.36,3167416.88,3694654.0400000005,3600276.12,3654236.84,2122199.32,1565989.2,2033443.88,1906001.8,1804178.72,2324592.0,1907780.4,2021184.68,1969371.0,1772436.76
40,1762681.12,1759732.3600000003,1617448.94,1600681.08,1541066.1999999995,2394725.2799999956,1669520.9000000001,1540740.4000000001,1639239.04,1558384.6,8471471.12,9429304.88,8924237.360000001,11914476.240000002,6709307.2,8351378.9399999995,5936854.320000004,6692788.24,11365354.76,6749474.4,3949718.06,3361591.36,3703324.86,3459289.28,3385683.88,3604631.56,3183460.48,3915981.239999999,3701005.54,3681517.52,2128353.96,1581809.24,2042609.9199999997,1908811.4000000001,1836564.86,3101573.0,1919910.18,2040208.3399999999,1998094.0,1792076.2599999998
41,1776998.8,1772601.0,1634001.2,1624878.0000000005,1558875.0,2610692.4,1679783.0,1572067.4000000001,1654820.0000000002,1574129.2,8497848.8,9459045.4,8932203.8,11968271.4,7103969.0,8396213.799999999,6908355.0,7959739.999999998,11392364.2,7043308.0,3959960.1999999997,3385692.4000000004,3781136.2,3492733.4,3400174.2,3623815.2,3197193.6,4211798.999999999,3822484.2,3704796.4,2133592.6,1589020.0,2057787.4,1919154.0,1849885.4000000001,4220670.0,1930018.6,2043743.0,2088857.0,1806768.4
42,1787367.98,1789081.84,1658159.68,1648500.52,1585238.8,2644772.92,1701680.7999999996,1597257.96,1683464.1,1608690.34,8522164.66,9500649.16,8955205.88,11993211.74,8154923.199999999,8424514.76,7805127.5,8174267.28,11431960.44,8036125.0,3971555.22,3399281.64,3800059.8000000003,3515186.6,3409944.920000001,3646412.42,3217530.1999999997,4408808.44,3858215.42,3710551.84,2143486.4,1629031.0,2071283.96,1938482.2,1885661.12,5155063.0,1932050.2800000003,2058623.66,2484877.0,1818253.26
43,1812505.44,1808109.08,1672882.7200000007,1659651.56,1593517.2,2672077.76,1720449.8,1604236.28,1690613.88,1626070.04,8541759.120000001,9973807.28,9016390.32,12015405.32,8248404.0,8444752.920000002,8332236.6,8233305.64,11464562.44,8260257.399999999,3997443.7600000002,3419767.32,3841266.96,3518882.44,3416591.88,3655698.56,3248041.92,4593342.399999999,3888807.4400000004,3816907.1200000006,2169257.5199999996,1632019.68,2220993.92,1950157.0000000005,1957073.2,6177636.0,1948708.72,2087894.6,2527496.0,1830979.6400000001
44,1833280.5,1838278.2000000002,1692767.46,1677142.24,1604220.8,2687876.2399999998,1729868.9000000001,1619942.04,1696686.48,1629363.5999999999,8569800.56,10056676.64,9040415.52,12044357.42,8259390.9,8481279.42,8380056.72,8284214.72,11494920.959999999,8296628.8,4017666.58,3433627.72,4320829.52,3554906.02,3511064.08,3674915.46,3251257.7800000003,5072070.679999996,3894826.6000000006,3832904.76,2191707.88,1652895.1199999999,2246054.84,2057112.6,1965916.54,6205245.5,1958396.1,2109871.14,2971030.0,1843014.8000000007
45,1871076.3599999999,1856898.04,1700038.68,1684308.76,1610829.4,2709152.32,1754216.5999999994,1627406.68,1703373.16,1630164.36,8645806.92,10098179.08,9067613.68,12105716.8,8311705.6,8510799.88,8438517.12,8323848.36,11535325.2,8324159.6,4044174.52,3440425.44,4328116.96,3588280.56,3685150.48,3777247.52,3336339.56,5371202.08,3912763.56,3995963.7600000002,2251565.64,1658494.36,2260868.64,2603685.399999994,2008750.56,6227051.0,2066815.24,2126423.08,4090659.0,1865859.8
46,1899490.9,1883539.0,1706726.2,1691096.2,1632240.0,2730745.2,1868295.0,1637695.5999999999,1714422.1,1641290.4,8675708.9,10128454.2,9105073.0,12161271.200000001,8333436.0,9220575.9,8483065.8,8347957.2,11670542.4,8346672.0,4058767.600000001,3459946.8,4344679.3,3590152.1999999997,3700126.8,3789240.6,3376082.9999999995,5387552.2,3921698.8,4365070.000000001,2252928.2,1741593.2999999998,2278457.7999999993,2926274.0,2043394.9000000006,6257013.5,2403180.5000000005,2166393.000000001,4928699.5,1885325.8
47,1927095.12,1898081.28,1727456.8,1697967.12,1638163.2,2749404.5199999986,1891903.4000000001,1657589.24,1723127.24,1651110.9600000002,8770854.599999996,10150737.2,9135720.36,12204473.24,8359285.8,9262062.24,8505306.879999999,8356645.28,11700551.36,8377141.0,4082721.28,3466459.96,4361863.96,3602059.4800000004,3897707.6,3912888.92,3528056.04,5425149.68,3934715.56,4461141.560000009,2276744.1999999993,1960925.6000000008,2326476.68,3212939.2,2051875.76,6278871.0,2580957.2399999998,2238371.8,4955037.0,1894246.2800000007
48,2086193.0999999996,1917502.28,1732550.4,1722580.360000001,1641376.6,2778555.6799999997,2011234.4,1673453.6,1736703.18,1654144.14,9433748.18,10341876.119999992,9170990.88,12226223.400000002,8381848.1,9287679.92,9219761.44,8377031.32,12425585.4,8406742.4,4107584.8400000003,3490590.12,4521000.42,3618918.3400000003,3921317.28,4303976.88,3538106.58,5445607.92,3964559.54,4903620.04,2301540.56,2143996.52,2366330.32,3216885.2,2092033.32,6339261.0,2576797.76,2738451.06,4982967.0,1919808.56
49,2455924.1600000006,1953976.2,1746560.44,1760517.36,1647115.3999999992,2799129.72,2071456.9999999995,1689292.6800000002,1747646.72,1667487.44,9468237.64,10912243.48,9174982.8,12957765.96,8831128.000000006,9312997.600000001,9249177.28,8404227.36,12447772.48,8921153.399999995,4124684.88,3525435.04,4538630.88,3632348.96,3960345.4000000004,4479118.16,3570540.8400000003,5451685.44,4010880.28,5076421.56,2312679.16,2172582.9200000004,2386788.48,3260621.8,2122472.88,6370381.0,2758672.08,2909024.36,5007376.0,1980123.44
50,2676651.18,1998285.96,1759944.0999999999,1776912.32,1669028.4,2812677.64,2088239.7,1701675.72,1784572.7999999998,1681644.6199999999,9503055.78,10909440.56,9201375.04,12984313.7,9124916.7,9344890.64,9274438.74,8816215.76,12466048.52,9151309.2,4163101.8,3572998.24,4571108.1,3655043.42,4005052.2,4501415.4,3602535.1999999997,5472569.04,4055818.2600000002,5126338.32,2379806.36,2197668.1799999997,2399540.199999999,3301906.1999999997,2154971.54,6395056.0,2797095.44,2934858.7399999998,5043964.0,1995612.9000000008
