index,219_1_moodle.org,219_2_moodle.org,219_3_moodle.org,219_4_moodle.org,219_5_moodle.org,219_6_moodle.org,219_7_moodle.org,219_8_moodle.org,219_9_moodle.org,219_10_moodle.org
1,-442.0,-442.0,-442.0,-113.0,-442.0,-442.0,-442.0,-442.0,-113.0,-442.0
2,1404.3,1541.5,1428.8000000000002,-305.7599999999999,1399.4,1502.3,1355.3,1350.4,-347.07999999999976,1327.32
3,2961.6000000000004,1444.9999999999986,3223.399999999999,1356.44,3468.1999999999994,2107.399999999999,3835.4000000000005,3876.2,1507.84,4107.24
4,4126.280000000001,3589.8,3950.48,2155.7999999999984,4135.88,3563.88,4168.74,4104.08,4003.12,4364.400000000002
5,5176.36,5390.6,4965.76,3702.8800000000006,5208.28,5144.96,4924.56,5031.360000000001,4715.320000000001,4956.24
6,6447.8,4434.5,5845.799999999994,5404.5999999999985,6464.400000000001,4911.799999999994,6215.8,6997.4,4464.2,6436.599999999999
7,8521.96,6114.4,8395.36,4832.56,8524.84,7623.959999999997,8250.679999999998,10064.88,6072.56,8644.92
8,8297.819999999998,8245.3,7874.120000000003,6480.76,8095.16,8552.62,7850.219999999998,13214.12,8168.319999999999,11019.200000000004
9,12251.92,7559.800000000001,11953.199999999999,7354.0399999999945,12262.16,11745.199999999999,11967.32,12107.639999999998,7954.5599999999995,12245.88
10,11662.300000000001,12094.6,11809.800000000001,8449.98,11730.999999999998,12069.28,11815.000000000002,16399.68,12109.12,14511.119999999997
11,25512.600000000006,11537.0,16652.599999999984,7691.800000000001,15966.799999999992,12195.8,19410.000000000004,16426.8,11764.999999999998,34633.99999999999
12,34096.74,34624.5,34581.8,12301.179999999998,34298.36,34791.38,31540.200000000015,19995.879999999997,20948.440000000002,33948.36
13,33313.28,33630.4,33535.84,12006.84,33831.55999999999,33808.64,34079.68,19610.2,34113.08,35531.88
14,36129.1,32966.3,35219.28,12187.02,35443.36,34031.07999999999,33688.88000000001,35331.439999999995,33322.36,39362.2400000001
15,56924.12000000008,34938.6,36003.79999999999,29116.519999999993,56704.479999999996,36489.56,36621.2,41842.76,35152.72,103938.00000000003
16,122287.4000000001,83043.0,64037.199999999924,34209.9,104131.19999999995,72926.39999999994,70453.4000000001,43494.8,37868.99999999999,142744.2
17,166875.36000000004,140557.8,118250.31999999996,33589.520000000004,133628.8,110857.95999999995,128109.88000000005,78387.48,87723.40000000002,175151.32
18,210219.42,166679.49999999985,157172.55999999994,33125.700000000004,172184.2,148681.52000000002,183553.7200000001,95074.8799999999,128187.92000000001,213529.04
19,250256.43999999997,187817.79999999996,173742.36,36259.96,180643.08,173953.52,247263.48000000007,113794.04,176762.95999999993,279504.84
20,286377.2400000001,242164.39999999985,175209.79999999996,59740.27999999985,203969.07999999996,217696.84,309133.84,174061.15999999997,205712.68000000002,313806.92
21,309882.4,278560.0,184980.99999999997,78782.99999999996,229913.99999999994,259826.1999999999,320799.0,227468.59999999992,271794.20000000007,326668.2
22,314100.94,295942.5999999999,196490.19999999998,115973.68000000002,279028.68,308380.7199999999,321629.18,252169.88,307110.39999999997,328252.72
23,322374.48,321361.6,237138.15999999995,156079.08,321135.72000000003,317159.04,326432.76,317374.68,321348.88,331668.64
24,324084.22,326084.7,273330.72,170878.16,322840.56,318813.68,327961.02,320714.80000000005,325342.72,334470.24
25,331165.52,327754.6,316918.92,195966.5999999999,326952.39999999997,320793.84,330811.2,331457.4,327739.08,337805.24
26,331462.0,330037.49999999994,324561.0,215873.0,329926.0,328202.5,333175.5,335611.0,327978.0,338983.0
27,337955.72,331383.2,326867.68,259783.43999999997,331633.52,329186.52,337820.92,337609.12,331282.68,345205.60000000003
28,336870.76,337664.4,331821.72000000003,263773.19999999995,335351.12,335617.84,337328.52,344470.27999999997,330920.0,354031.76
29,338922.44,336645.4,336591.04,264961.2399999999,338378.76,334724.04,346105.8,344889.92,337648.92,359084.0
30,354068.46,338630.1,337116.76,318048.6,341912.28,343213.92,354032.27999999997,351320.84,336630.44,395540.1599999999
31,355396.4,351441.0,338851.0,326299.6,343731.8,351796.8,356465.0,351112.4,342461.19999999995,427068.4
32,379800.8000000001,353374.89999999997,349923.27999999997,328029.22000000003,345184.24,351627.66,361661.36,352463.48,350707.56,435521.16
33,435734.68,356451.0,353491.28,327767.36,351673.16,354192.04,400243.60000000015,367515.24,353295.56,454264.6
34,450200.08,360798.5999999999,357845.16,331926.84,360332.84,393651.3999999998,426504.32,370270.72000000003,356183.44,489692.84000000026
