index,89_1_myspace.com,89_2_myspace.com,89_3_myspace.com,89_4_myspace.com,89_5_myspace.com,89_6_myspace.com,89_7_myspace.com,89_8_myspace.com,89_9_myspace.com,89_10_myspace.com
1,67.0,-442.0,-442.0,-29.0,29.0,29.0,630.0,-48.0,-48.0,886.0
2,4549.66,-311.32,4808.24,381.4000000000008,3788.7999999999997,14280.36,6417.52,6049.24,6556.88,-1438.6400000000012
3,12509.440000000002,-488.48,7962.399999999995,1316.2,6497.08,41012.36,33196.2,14226.799999999994,26042.56,11072.440000000004
4,28191.84,1549.3600000000001,15480.88,2474.1999999999994,11206.12,49897.04000000001,46305.72,18877.56,28888.720000000005,29633.54
5,39763.36,1588.1200000000001,23143.96,4459.400000000001,14781.199999999999,55733.56,392996.07999999996,18959.36,36889.68,46439.28
6,46039.800000000025,1692.4,29444.4,7124.0,17917.3,185349.40000000008,760234.1999999998,29635.800000000003,59251.2,57833.0
7,46962.36000000001,1498.6,66961.23999999983,6068.399999999997,24001.20000000001,469313.6,1366871.8800000001,29577.8,66522.31999999999,273025.7200000001
8,59536.88,1159.76,177692.5199999998,12405.200000000004,32108.34,511647.04,1930191.8399999999,36764.28,78214.68000000001,467874.06
9,64406.72,1021.0799999999998,351323.6,13516.200000000006,34354.32,516356.92,2503838.4399999995,58008.44000000001,81817.32,473555.56000000006
10,69547.88,551.1599999999997,516468.9599999999,14943.599999999999,32649.559999999998,524698.92,3226947.079999999,67179.36,83655.40000000001,485017.46
11,175552.60000000038,532.5999999999996,649145.6,20151.0,38893.4,625032.2000000001,3912787.999999999,81391.4,87457.2,517269.2
12,280369.36000000004,1405.3200000000031,736398.1599999999,21360.4,42165.96000000001,693137.4400000001,4300036.24,177030.20000000004,92979.16,519697.78
13,395225.7199999998,4396.44,839578.3999999999,20873.199999999993,44758.32,704053.4400000001,4942751.44,523902.16,196732.87999999986,530291.24
14,435518.60000000003,4648.36,966021.6799999996,20962.6,45748.22000000004,706948.68,5543114.56,618868.9199999999,433794.1599999995,661172.76
15,519875.16,4493.92,1168299.76,19743.399999999998,45938.76,718002.64,6096703.68,630564.0,486316.36,706771.96
16,518107.3,4598.2,1212102.0,21733.0,49701.799999999996,937978.6,6562504.799999999,637856.4,544253.8,736005.7
17,518869.52,4512.5199999999995,1350477.7599999998,24456.40000000001,51014.44,1068808.32,7022546.04,687584.16,545626.84,739142.6
18,519899.02,4345.76,1574802.4,27071.800000000025,53788.94,1096812.28,7056352.12,755711.92,546759.92,846900.8400000001
19,532125.28,4450.04,1731903.5999999999,27578.2,57799.60000000003,1120341.96,7061132.44,817670.32,561337.24,1068288.76
20,538075.6,4516.879999999999,1964040.8,25560.799999999996,59477.13999999999,1206047.2,7080526.32,819439.4400000001,625499.8799999997,1075676.02
21,664942.4000000007,4597.000000000003,2152023.1999999997,29597.0,80354.2,1241847.6,7348562.399999998,833607.4,733212.4,1101139.8
22,710594.32,6647.560000000004,2378319.2,30072.600000000002,105768.54000000001,1245347.28,7497353.5600000005,856399.28,747930.12,1121803.12
23,710460.08,7018.679999999999,2529582.4,30491.000000000007,136763.92,1257426.84,7537628.56,933893.3200000004,754306.12,1215693.6400000008
24,724301.32,6799.439999999999,2688777.12,31970.800000000003,229711.56000000052,1347135.6,7612100.639999997,1196267.28,821899.64,1234007.92
25,762393.7999999999,6557.28,2879948.36,31207.6,311757.7200000001,1386569.52,7741574.92,1223012.48,984780.3999999999,1239896.68
26,847496.0,6631.0,3008268.9999999995,31282.0,364092.0,1398202.0,7783759.0,1333494.0,1078610.0,1258640.5
27,893147.0800000003,6549.5199999999995,3145661.1999999997,30037.2,455509.2800000005,1411311.48,8002673.36,1352961.84,1147157.24,1277728.08
28,986480.5600000003,5838.04,3317421.84,31911.2,531276.82,1502711.4,8230206.88,1362702.6,1156571.04,1309506.66
29,1076785.04,6236.320000000001,3460050.079999999,35407.200000000004,600062.12,1752177.1199999994,8255943.32,1364930.96,1255828.64,1556718.6800000002
30,1111591.52,6602.520000000001,3608060.8,35701.40000000001,693040.7,2002668.08,8376490.92,1378281.3199999996,1266402.28,1802423.82
31,1189994.4,8859.000000000004,3846545.9999999995,35326.0,728049.2000000001,2029082.2,8564024.0,1397377.8,1316350.0000000002,1812028.6000000003
32,1198272.76,10632.760000000002,4001942.48,33461.200000000004,819704.2,2035251.56,8968689.92,1400520.08,1388094.08,1821802.16
33,1206643.72,10761.36,4106529.5199999996,32689.799999999996,894076.9600000001,2039902.2,8999603.24,1422394.52,1388376.76,1834808.92
34,1224019.54,10522.92,4263926.879999998,32768.39999999999,1033113.2400000002,2066987.56,9318209.919999998,1481423.2,1398540.56,1973212.06
35,1246043.64,10459.12,4465506.319999999,32634.199999999993,1087380.8,2071941.88,9813580.479999999,1615133.7999999998,1407973.92,2014419.32
36,1267453.0,10542.200000000006,4623965.599999999,34252.0,1218259.4000000001,2088954.6,10493276.4,1742402.4,1471141.0,2018935.3
