index,8_1_www.facebook.com,8_2_www.facebook.com,8_3_www.facebook.com,8_4_www.facebook.com,8_5_www.facebook.com,8_6_www.facebook.com,8_7_www.facebook.com,8_8_www.facebook.com,8_9_www.facebook.com,8_10_www.facebook.com
1,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,-48.0,-442.0,-442.0
2,317.63999999999805,982.8799999999999,921.7599999999999,1333.3200000000002,515.94,777.5399999999997,619.7600000000001,1552.5000000000002,1231.04,1082.1999999999998
3,7082.12,4453.5199999999995,4580.56,4681.08,4459.92,4325.76,4398.44,4589.400000000001,4422.720000000004,4544.8
4,11678.279999999997,6521.08,6803.820000000001,6920.12,8749.46,7071.0199999999995,8221.16,6172.799999999997,6907.96,8831.2
5,15160.71999999998,12183.16,10710.04,11175.759999999998,12488.800000000003,10403.08,13356.679999999998,6117.5999999999985,10964.76,9484.000000000004
6,35224.799999999996,14393.1,25464.4,13636.4,37258.4,16699.600000000006,20731.199999999997,13682.0,11232.799999999997,14553.0
7,37582.24,36805.72,33463.2,37983.92,34731.48,28629.239999999998,36014.92,14314.4,34446.32,26263.8
8,45721.12,34776.159999999996,33995.32,35970.76,37271.1,33961.72,35568.15999999998,37811.1,32249.96,27918.4
9,48014.32,37792.4,36999.24,36054.08,43569.48,37270.799999999996,40170.03999999999,35295.200000000004,32941.32,31121.0
10,53195.36,44030.03999999999,42998.02,41696.44000000001,47947.04,41175.42,45409.12,36084.5,36595.64,42187.6
11,54328.6,45361.599999999984,45562.8,46872.6,47576.6,47668.8,47583.2,39603.0,42277.0,46099.0
12,53365.32,48340.66,47105.259999999995,48413.44,59399.24,48157.22,49366.68,43942.299999999996,43834.96000000001,48128.4
13,150347.87999999983,54131.88,49534.84,51016.12,60621.72,49992.80000000003,52735.19999999999,46830.39999999998,44191.719999999994,50538.8
14,258250.0,56344.920000000006,48737.48,50161.36,60001.72,66702.34000000001,55144.52,49920.899999999994,50217.88000000002,49468.6
15,273072.36000000004,55173.72,97946.52000000006,111308.83999999978,64008.84,66195.92,59814.79999999987,50178.4,50681.28,49261.6
16,310175.5999999999,139595.6,193586.8000000002,211018.40000000008,62376.1,65277.2,190186.59999999998,49199.0,49350.0,81998.0
17,450018.8399999998,252832.68000000005,257708.2,263489.6,64063.840000000004,63901.48,272104.6,66374.19999999997,72590.20000000003,91675.00000000001
18,519903.68,282503.56,275526.44,276872.92,137914.12000000017,62472.78,281063.6,186259.39999999962,74473.68000000001,165991.00000000003
19,570273.72,302396.6,290865.19999999995,288996.08000000013,273430.12,63535.96,333720.84,258507.4,89598.80000000005,213451.0
20,613197.5599999998,320677.2799999999,332267.78,408406.63999999996,292689.5,67632.22,416690.5199999998,280032.2,112211.72000000002,232583.8
21,664886.6,434438.19999999984,438259.80000000005,423854.2,342265.2000000003,72956.00000000001,513791.5999999999,280447.0,130034.60000000005,280380.0
22,745046.2799999999,504954.26,523479.02,444914.2,461357.2800000003,117774.76000000001,560933.52,291765.0,153994.9600000004,283948.0
23,828701.2799999999,546569.52,554227.04,600032.28,549099.9199999999,176406.60000000006,627937.84,323162.3999999998,231310.76,305476.0
24,907170.2,606001.6200000001,555171.2000000001,709754.8799999999,567730.88,300483.5,652014.4,448740.79999999993,263342.84,352113.60000000027
25,1020206.7599999997,627274.84,574963.68,766789.76,615088.0,315617.80000000005,699461.2,475096.99999999994,277942.04,393188.6
26,1162268.0,637701.0,634322.5,809262.0,703713.5,345794.0,742770.0,540022.0,303643.0,447324.0
