index,110_1_www.xing.com,110_2_www.xing.com,110_3_www.xing.com,110_4_www.xing.com,110_5_www.xing.com,110_6_www.xing.com,110_7_www.xing.com,110_8_www.xing.com,110_9_www.xing.com,110_10_www.xing.com
1,-48.0,67.0,-442.0,-442.0,67.0,-442.0,67.0,67.0,-442.0,-442.0
2,268.21999999999997,1393.72,1325.74,1335.6999999999998,1798.96,1354.18,370.48,1667.92,1175.6000000000001,1396.84
3,-104.87999999999994,4581.24,521.8799999999999,555.8399999999997,487.5599999999994,593.16,497.91999999999985,4759.84,2330.2000000000003,257.56
4,1621.7399999999998,8659.119999999995,2281.22,2252.78,4606.52,4553.54,2077.36,7280.4800000000005,7087.8,4546.88
5,4493.879999999999,9515.399999999994,4486.84,4446.04,6774.639999999999,4189.4800000000005,1253.1599999999996,9898.400000000003,8459.6,6942.12
6,4774.900000000001,25856.8,6814.700000000001,5261.699999999999,9431.00000000001,6200.4,5254.6,34468.99999999999,14289.0,7814.399999999998
7,7520.280000000001,24804.760000000002,5850.96,5659.44,17732.560000000034,9496.719999999998,4879.4800000000005,31157.84,30815.600000000002,10484.039999999999
8,6671.340000000001,33000.84,11542.380000000001,10188.640000000003,33489.64,11063.579999999998,6833.080000000002,31951.28,28631.4,11944.72
9,11330.359999999999,41368.24,12749.960000000001,12391.28,31419.32,18228.999999999996,9434.640000000001,38339.36,29755.8,20466.08
10,12873.72,46694.239999999976,18766.46,20258.72,29671.519999999993,32940.46,11893.479999999998,44832.32,34770.60000000002,27787.36
11,21978.600000000006,74251.00000000001,19024.800000000003,28815.600000000002,39597.6,31657.600000000002,19639.000000000036,66765.6,36689.0,26188.399999999998
12,24519.34,92771.35999999999,17749.88,27557.66,50614.96000000001,30988.38,33255.56,94841.40000000002,41342.6,24762.079999999998
13,23160.720000000005,140181.47999999995,21416.239999999998,26607.04,53694.88,31869.760000000002,31932.48,158306.59999999998,69408.40000000001,31400.52
14,30855.020000000004,182777.83999999976,26448.22,29872.239999999998,54655.680000000044,34038.359999999986,30559.48,213056.72000000012,83620.0,34340.68000000001
15,31850.84,231337.71999999997,35052.43999999997,40015.159999999996,80110.4,36690.08,32067.92,221762.88,116555.19999999997,37462.36
16,41550.8,234114.2,37467.4,41193.60000000002,88650.20000000001,38880.7,35909.8,222172.4,150227.0,39558.6
17,45413.72,234830.11999999997,44262.520000000004,52513.04,153506.52,41464.72,39386.12,227549.92,153601.8,41804.44
18,49942.06,237806.31999999998,46737.38,52525.42,155482.28,49007.72,43628.04,230710.64,155547.80000000002,57593.39999999999
19,49982.24,246304.87999999995,62103.32,55028.68,173181.28000000006,63644.200000000004,43661.16,237989.24000000002,189363.00000000006,73411.64000000001
20,50316.32,267055.83999999997,62287.47999999998,56927.259999999995,216222.72000000012,76547.3,44499.36000000001,240937.64000000004,225122.6,90162.88
21,80331.8,298038.7999999995,77582.99999999997,79783.80000000003,225158.8,87619.00000000001,77523.6,263278.4,224021.0,147172.59999999992
22,89211.84,331448.16,86138.19999999998,86152.5,224741.12,135619.9199999999,80887.76000000001,322523.08,228480.6,166569.39999999997
23,135303.32,331331.16,118089.51999999997,125487.20000000001,227938.28,154008.48000000004,123685.99999999999,322428.08,227994.6,196371.08
24,153569.88,335385.76,152809.62,153786.66,230342.32,168640.12,154001.16,325121.92,233640.40000000002,212237.0400000001
25,156767.32,340615.48,153474.76,153177.96,232958.08,205014.63999999996,155891.52,328987.72000000003,241233.20000000016,224424.63999999998
26,157563.0,341149.0,155579.0,155474.5,240059.99999999997,222903.5,156189.0,330280.0,259545.0,226044.0
27,213343.39999999997,341166.87999999995,181298.44,160658.59999999998,258866.72000000032,223311.72,196117.8,368021.68000000005,304855.2,225372.84
28,227879.86,397966.56,210059.19999999998,194694.80000000002,285708.2000000001,220812.16,225959.16,387507.68,318788.8,225240.12
29,228720.68,473220.47999999963,225610.48,226125.12,321874.88,225240.92,225574.24,430641.08,321211.4,227962.52
30,230541.98,495742.4,224796.58,225954.66,322010.16,226657.82,225259.24,477460.8400000001,320455.60000000003,228842.8
31,231017.0,522684.4,224965.8,224947.40000000002,322598.8,227710.4,224174.4,498554.6,325070.0,230697.6
32,231693.46,526646.64,223495.94,227968.97999999998,327710.1600000001,234577.98,229553.6,501468.6,329256.6,235898.36000000002
33,237012.84,526510.56,227587.84,229158.32,328161.88,235278.76,231105.96,506573.52,332544.2,238546.96
34,238960.55999999997,530896.96,230659.67999999996,228455.40000000002,330104.88,236556.02000000002,231758.84000000003,507069.16,332999.2,248264.88000000003
35,260557.12,532974.48,234025.63999999998,231346.84,333807.96,238089.12,238618.04,509140.12,333192.8,251263.36
36,265334.2,535318.7999999999,238013.4,236372.9,337567.00000000006,239867.80000000002,246386.80000000002,513835.0,338002.0,266417.2
37,293805.64,538132.32,244554.56,237878.32,342759.88,251297.24000000002,254434.28000000003,523211.64,339282.00000000006,301926.56
38,318739.72000000003,541010.48,254759.63999999998,245616.38,346561.83999999997,263534.66,270128.2400000002,526004.36,346304.0,320425.36
39,321746.52,543372.7999999999,293931.83999999956,262342.24,351131.52,303805.12,318686.72000000003,526591.32,348003.0,323405.72000000003
40,320432.84,547105.08,318806.52,265361.16,352533.4,320802.08,321578.72000000003,529516.28,357529.2,322109.92
41,321607.4,551835.7999999999,318814.2,289529.8000000002,355560.8,323170.8,320942.8,533498.4,356703.0,323223.4
42,323545.42,557016.72,321248.96,303977.24000000034,354365.48,321887.96,319718.52,536992.96,356902.80000000005,324769.44
43,327719.56,558097.32,323231.52,321062.68000000005,358186.88000000006,322131.24,321121.44,541876.16,357928.2,329234.28
44,327779.88,560046.6399999999,322633.06,323177.82,361558.4,324366.14,325114.16,544830.72,360141.6,329245.8
45,329038.68000000005,564317.6,321360.48,321942.64,362890.32,326297.92,327326.28,548000.76,363909.6,329593.16
46,329618.1,566552.4,322885.2,323241.8,365979.60000000003,328533.10000000003,327824.80000000005,549747.4,364845.0,330343.2
47,331388.12,569456.88,324783.64,324923.32,366860.20000000007,329180.04,329532.08,553140.12,365438.4,332389.20000000007
48,334853.34,571374.84,326908.78,326535.88,369442.31999999995,337619.0800000001,329342.20000000007,555234.44,368709.4,362524.16000000003
49,336700.72,574297.0399999999,329103.52,328798.48,373153.6000000001,367703.4799999999,332811.12,556409.7999999999,370076.8,367137.08
50,337900.42,577593.6,332511.68,329540.44,377816.56,366289.92,334643.32,560594.52,373360.4,402103.80000000005
