index,35_1_www.bahn.com,35_2_www.bahn.com,35_3_www.bahn.com,35_4_www.bahn.com,35_5_www.bahn.com,35_6_www.bahn.com,35_7_www.bahn.com,35_8_www.bahn.com,35_9_www.bahn.com,35_10_www.bahn.com
1,67.0,-442.0,-442.0,-442.0,-48.0,-442.0,67.0,67.0,-442.0,115.0
2,491.70000000000005,456.1999999999999,387.43999999999994,541.6800000000001,1558.0800000000002,364.51999999999975,721.0399999999997,674.5,564.8800000000001,1828.2
3,3085.3999999999996,5673.000000000002,5720.68,4523.24,4606.5199999999995,6372.040000000001,4433.839999999999,5572.0,4439.72,2546.92
4,7859.000000000012,11946.4,11666.340000000004,6202.56,10125.28,10361.76,8391.759999999998,10872.0,6677.4400000000005,7262.24
5,15996.800000000001,17883.4,18071.68,17341.28,16971.159999999996,18059.44,17005.52,18128.0,13058.44,12003.200000000003
6,18564.5,24740.0,28090.899999999998,17332.0,30138.60000000001,20807.2,19131.6,27704.5,17499.4,18428.2
7,46724.0000000001,106113.60000000005,76953.80000000002,30073.400000000005,87815.12000000001,73097.04000000005,26216.120000000028,109203.0,27126.2,28276.24
8,172145.80000000002,165218.8,194557.86,177117.88,205397.8,192828.96000000002,106048.2400000001,194590.5,104603.59999999999,54222.60000000001
9,266177.4000000001,292740.8,290525.48,262270.48,292999.68,277863.96,202620.52000000005,292426.0,169386.96,164582.52000000002
10,343596.60000000003,317298.2,361359.82,293123.6,352780.2,310089.28,264799.88,379709.0,232762.72000000003,265878.95999999996
11,431682.0,415900.0,397913.0,352437.00000000006,439672.4,372946.8,300040.0,420290.0,292463.6,309167.4
12,496274.9,541071.4000000001,494923.6,474193.32000000007,566164.04,451384.92,381189.52000000025,506043.5,319780.52,370896.80000000005
13,618668.6,683436.8000000002,638417.7600000001,560964.04,729983.04,583660.0800000001,472044.12,634283.0,441759.83999999997,437567.2799999999
14,756218.3,805456.2000000003,686130.7999999999,684815.36,833797.4,693457.0,572288.08,780075.0,548031.5199999998,575140.72
15,817894.4000000001,885161.8,757576.4,824487.6400000001,896410.32,695584.2,710514.4800000002,855332.0,669969.9199999999,683187.2000000001
16,851257.0,927207.0,847104.6,882558.6000000001,968778.6,853165.4000000003,810703.8000000002,951465.0,775342.0,779652.2
17,935390.0,1004200.4000000001,872223.6,949268.92,1035976.5599999999,1010166.0400000003,881155.8400000001,980804.0,847040.92,850972.8
18,1018354.6000000004,1037481.2,907226.5200000001,984859.84,1041549.48,1038839.16,931977.4400000002,1040659.0,881845.88,959040.6
19,1041190.2,1040538.8,1037497.8,1038022.24,1039271.08,1036194.36,956452.4,1040578.0,972282.76,971148.12
20,1040541.9,1040473.8,1039625.14,1041413.68,1045917.76,1044213.36,1043821.76,1041468.5,980248.4,1030386.08
21,1046073.0,1046987.0,1040012.2,1042380.2,1048952.4,1048822.8,1047026.2,1046559.0,1040153.8,1040307.2
22,1050272.7,1051570.8,1043457.88,1044841.88,1053423.24,1051933.08,1047376.16,1051799.0,1040693.64,1041219.16
23,1052763.4,1053265.8,1049659.76,1046726.64,1056612.68,1054971.08,1052172.4400000002,1053182.0,1039147.52,1041761.28
