index,74_1_www.blogger.com,74_2_www.blogger.com,74_3_www.blogger.com,74_4_www.blogger.com,74_5_www.blogger.com,74_6_www.blogger.com,74_7_www.blogger.com,74_8_www.blogger.com,74_9_www.blogger.com,74_10_www.blogger.com
1,-442.0,67.0,-115.0,67.0,-442.0,67.0,67.0,67.0,-442.0,67.0
2,1732.6999999999998,1622.1,1737.6999999999998,1304.1600000000003,1161.74,212.04000000000008,1982.04,1658.44,1233.02,1437.58
3,4179.400000000001,2475.2000000000003,3333.4800000000023,4428.96,4489.08,997.4399999999994,753.2799999999961,2547.88,4602.84,2987.04
4,6425.6,7262.8,4523.619999999999,6223.76,6869.040000000001,4783.44,4808.92,7103.320000000001,6905.48,4414.74
5,6832.799999999994,7686.000000000003,6869.32,14173.720000000001,7780.799999999998,6992.639999999999,7622.439999999996,11283.16,8870.800000000003,6753.12
6,9067.5,13693.5,12776.099999999999,16253.800000000001,13969.8,9976.799999999997,14264.800000000001,12749.4,14632.400000000003,10036.1
7,13259.199999999999,16478.2,17134.76,29856.28,15753.320000000002,14803.360000000002,15840.36,13802.96,18596.600000000006,12959.64
8,18773.4,28861.100000000002,30507.36,30340.36,29827.24,17304.08,17166.600000000002,25212.48,28348.48,16735.46
9,20944.4,31821.8,30883.12,42526.43999999996,28100.279999999995,28914.76,28190.760000000002,32456.07999999999,32091.12,30439.24
10,34101.4,36680.00000000005,34955.54,47304.92,34797.44000000001,31792.240000000034,34902.759999999966,38608.64,42443.979999999996,28906.260000000002
11,36597.0,45599.0,42445.399999999994,48175.8,42489.6,35770.000000000015,41976.6,45942.8,45413.600000000006,30898.199999999975
12,40838.299999999996,48156.1,50122.56,49235.76,45426.96,46962.840000000004,43558.04,64484.39999999996,48230.28,34490.38
13,49607.80000000001,49312.399999999994,66713.4000000001,56502.08,50277.88,49540.72000000001,50992.48,125991.24,51680.76,42174.64
14,51964.899999999994,50191.59999999999,75312.78,66805.84,54523.02,67716.40000000015,52101.719999999965,129584.72,54506.760000000024,49953.92
15,54370.2,53915.6,127724.04,70820.52,58877.96,82318.63999999996,121175.48000000001,137533.16,54397.96,48974.08
16,53517.0,57180.5,142265.40000000017,74967.2,59237.3,110493.6,122934.4,136289.4,58064.2,53335.1
17,56314.799999999996,66630.0,147942.84000000003,74444.48,60274.200000000004,148201.16000000024,142469.36,134817.44,68584.72,89240.68
18,60556.1,69031.0,148868.98,119590.79999999999,78183.95999999989,193154.32,150297.6,133346.52,67703.16,90877.7
19,69975.6,88544.2000000003,147554.88,217237.43999999997,128661.88000000006,192264.88,184712.56,135432.39999999997,68697.24000000003,139164.04
20,75543.8,165156.9,147918.54,264153.1999999998,182339.19999999995,190976.8,183417.2,180439.95999999985,92256.48000000005,140545.02
21,80511.0,261226.0,152734.0,346411.2,210269.99999999997,189686.2,182113.0,228619.39999999985,165254.60000000024,139660.8
22,79328.5,261490.7,197769.66,377369.92,235772.66,188396.36,180815.32,318516.04000000004,214054.4800000002,138628.24
23,90366.99999999997,260075.6,287997.4800000002,375796.44,234575.68,226795.7200000001,179801.44,401239.63999999996,246403.64,137584.68
24,154327.99999999997,258666.1,387023.16000000003,374229.2,233374.62,308208.60000000003,281060.5199999998,465228.19999999995,245116.88,136546.66
25,218603.99999999994,288863.2000000001,477501.0800000002,457412.2799999999,232177.8,354175.24000000034,350357.56,535588.9199999998,243819.92,135509.08
26,273338.5,361095.5,539673.0,579209.0,265398.0,423904.00000000006,432198.99999999994,602841.0,242530.5,159813.0
27,271958.8,471747.4,593990.7999999999,652009.4,360701.95999999996,495982.7200000005,463688.6799999998,685561.1600000003,259548.72,229002.28
28,270569.8,520578.0,640168.6000000001,758686.4399999992,418171.2799999998,556642.7200000002,508006.1999999999,776082.3199999995,365612.68000000005,307646.5199999999
29,269185.0,623796.2,706202.5200000003,865054.1599999993,465887.76,643625.2799999999,603448.52,844511.36,467663.84,332784.52
30,301735.19999999943,725457.6,767467.36,987008.8799999994,500250.92,755174.7200000001,705086.0399999998,857484.48,575832.5200000003,402152.48
31,413071.0,844683.0,841011.0000000001,1012801.8,577389.8,775087.6,789877.9999999999,972961.2,653393.2000000003,459031.6
32,488518.5999999999,869401.1,881040.8,1016139.88,660527.36,775778.04,822353.76,1108010.9599999995,712835.88,534473.2799999999
33,537685.3999999999,890312.8,978055.8800000004,1114822.0399999996,761113.5599999999,781572.16,845745.52,1262956.5599999998,762051.2000000001,536193.88
34,539939.8,893490.0,1035172.4,1251475.16,807728.2,858819.0800000001,913864.32,1368393.28,773309.4400000001,580643.3999999998
35,568619.7999999999,994727.2000000001,1140741.5599999998,1380985.5599999998,827834.16,989410.8400000007,925864.1599999993,1469380.68,777041.12,673416.8400000001
36,625532.0,1133696.0,1248279.3000000003,1483821.0,864828.5999999994,1168382.6000000008,1023027.5999999997,1496912.5999999994,818388.8000000002,775468.5999999997
37,761681.1999999998,1268162.0000000005,1321929.8,1579241.8,903722.76,1270824.360000001,1135397.039999999,1541703.3599999999,902273.6400000002,847177.7999999999
38,883319.3999999997,1401405.8000000003,1396183.6,1671508.28,967097.8,1312792.5200000003,1250404.3199999996,1609221.2,1007244.5599999998,918376.8
39,972331.2,1522652.8,1470205.8,1759689.68,998717.2,1385332.36,1305371.0399999998,1744322.8,1088588.4400000002,989790.2
40,1114818.7999999996,1567430.0,1551247.7600000007,1812856.72,1066502.7999999998,1467067.8,1370706.4799999997,1799740.52,1195731.84,991752.62
41,1229494.0,1656840.0,1615682.8,1818123.6,1157543.5999999999,1564500.0,1479114.4,1802796.4,1313831.8000000005,1007970.4
42,1358658.1999999997,1717987.4000000006,1644894.4400000002,1827653.44,1230887.9599999995,1633775.84,1561165.04,1838467.64,1422402.96,1091370.48
43,1487304.3999999997,1778678.4000000001,1725402.8,1837725.6799999997,1289190.8,1763760.6400000018,1597235.0399999998,1872231.64,1535979.9600000004,1095786.56
44,1598858.5999999994,1807873.1,1798705.52,1892822.84,1317799.08,1802674.12,1677934.3199999996,1892140.2,1669635.8400000008,1151982.3999999997
45,1743854.7999999993,1812941.2,1802913.16,1912829.48,1424358.64,1808050.12,1763917.1199999999,1900085.12,1784595.68,1241085.28
46,1816474.5,1813408.0,1806538.8,1916069.2,1509016.1999999997,1811619.2,1804996.0,1903514.8,1809632.2,1330074.2
47,1822647.2,1858289.6,1808717.72,1917742.48,1635076.4,1811142.76,1808021.24,1905956.24,1809453.6,1419497.5199999993
48,1824971.4,1887569.2,1809040.74,1924084.96,1772723.2799999993,1829002.12,1810876.2,1912262.88,1874662.44,1537614.72
49,1884259.5999999985,1895508.0000000007,1848195.8,1926830.36,1809506.48,1876862.52,1844372.04,1916373.6,1877489.6,1625487.28
50,1893671.0999999999,1909029.6,1881655.84,1928135.68,1810802.8,1905262.04,1875751.56,1918320.56,1896749.82,1713820.22
