index,209_1_www.justice.gov,209_2_www.justice.gov,209_3_www.justice.gov,209_4_www.justice.gov,209_5_www.justice.gov,209_6_www.justice.gov,209_7_www.justice.gov,209_8_www.justice.gov,209_9_www.justice.gov,209_10_www.justice.gov
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,1430.02,1486.28,1445.82,1425.28,1400.0,1461.6200000000001,1458.46,1430.02,1406.32,1426.86
3,3683.04,3650.7200000000003,3597.36,3721.56,3927.0,3575.7599999999998,3580.08,3683.04,3875.64,3708.7200000000003
4,5148.86,7126.24,5218.26,5084.719999999999,5536.0,4787.38,5148.78,5165.86,5436.679999999999,5074.360000000001
5,6294.76,10340.48,6216.28,6287.639999999999,6550.0,8587.48,6182.48,6311.76,6509.32,6057.44
6,8444.1,10084.2,8543.9,8356.4,8352.0,8137.9,8507.7,8461.1,8366.6,8363.7
7,13339.120000000003,11300.92,14972.96,13167.480000000003,9684.0,14424.16,14960.880000000001,13340.56,10660.600000000008,14876.08
8,24954.620000000003,16323.960000000001,24923.079999999998,21598.72000000001,14538.0,24329.079999999998,24859.24,24970.620000000003,14677.800000000001,24897.66
9,25384.28,22760.28,23939.24,22848.92,23506.0,24436.24,25118.68,25484.04,23269.48,24241.519999999997
10,24285.58,32729.28,23894.54,24587.84,25369.0,23327.98,23725.620000000003,24541.559999999998,24194.04,24510.079999999998
11,33820.2,32888.8,40486.99999999998,22858.399999999998,23332.0,22213.2,38992.2,22793.600000000002,23451.4,22535.600000000002
12,41551.22,31479.16,64602.58,22455.200000000015,38144.0,43920.19999999999,58690.200000000004,26443.63999999998,27219.959999999974,45244.32
13,51140.28000000002,29918.279999999995,68487.84,54611.44,54360.0,60446.8,86574.15999999997,39908.880000000005,54655.28,48982.04
14,62998.799999999996,49668.04,71096.72000000004,60410.6,59862.0,86682.24,102059.06,49982.7,77780.64000000001,54563.72
15,70836.28,66617.56,95879.48,70447.92,79098.0,93566.56,104205.36,52358.11999999999,83857.12,55466.04
16,97152.20000000001,68996.20000000001,97727.3,77072.8,85743.0,92922.5,104144.60000000002,66236.0,85961.6,57579.3
17,101939.32,75045.4,99620.64,81183.12,85350.0,94961.92,105786.36,94296.08,89851.12,93553.87999999999
18,102956.36,76917.36,103894.50000000006,83430.44,96975.0,100471.16,108556.2,93953.34,89702.76,112168.6
19,104672.36,108356.04000000001,140449.16,99685.55999999985,97071.0,107011.64,113448.52,93471.44,122382.71999999999,128970.31999999999
20,104603.4,113420.40000000002,145113.22,104159.60000000002,102840.0,105421.7,145497.46,99365.85999999999,139263.32,127534.06
21,146051.79999999996,113764.6,151094.8,104340.4,100718.0,142408.4,147984.00000000003,103795.6,137009.6,128017.2
22,148616.52,147837.48,152556.52,104015.52,111333.0,155198.87999999998,155057.03999999998,108107.52,137668.32,150778.91999999998
23,150021.96000000002,146576.16,150673.16,106577.56,109556.0,158531.24,159960.68000000002,108540.04000000001,146206.52,168622.87999999983
24,155550.98,152449.6,149677.98,110366.64,114587.0,156757.84,178747.40000000002,108374.84,171568.68,185126.12
25,153323.0,162969.40000000002,156823.40000000002,113020.48,141964.0,170585.32,183050.6,113543.40000000001,169119.12,185104.19999999998
26,156272.5,189924.0,177852.0,132046.0,167916.0,197971.5,204116.0,120243.5,171424.0,200680.5
27,204092.39999999994,234488.92,208316.80000000005,160817.47999999995,202469.0,213982.44,229436.6800000001,162243.71999999997,170139.60000000003,244977.88000000003
28,235001.95999999996,261036.16,235371.68,210498.80000000002,201582.0,235361.88,277328.60000000003,205698.95999999996,196683.99999999997,248122.74
29,288705.8799999999,273293.80000000005,267951.24,228829.68000000002,199317.0,251098.12,329072.4,227345.3199999999,224465.12000000002,263768.2
30,347417.60000000015,298488.5199999999,289892.36,247187.6,215819.0,256066.34,397967.16000000003,251824.75999999998,259984.43999999997,283686.8399999999
31,413140.8,349204.4,335072.80000000005,284023.00000000006,267886.0,270366.4,436304.60000000003,268177.00000000006,282528.2,321845.79999999993
32,451570.22,403069.87999999983,369905.1599999999,299984.8000000001,315954.0,304381.56000000006,454415.66,298826.74,311521.7199999999,348918.8
33,452533.64,462277.92,407635.88,336885.96,332547.0,336238.36,455375.68,348018.88,365905.16000000003,382130.43999999994
34,454841.14,465389.24,428465.72000000003,388677.16000000003,359329.0,352313.14,457322.18,369806.4799999999,396356.3200000001,412156.92
35,460940.0,465306.92,454445.60000000003,448204.07999999996,410067.0,380371.27999999985,460150.00000000006,417271.7599999999,440818.48,457537.80000000005
36,459613.10000000003,468767.2,459475.00000000006,452786.0,433854.0,419235.0,462300.8,460393.0,446122.0,494007.59999999986
37,461499.56,498397.1599999999,525219.0,496453.8399999999,450433.0,454936.0,461685.04000000004,523352.16000000003,490838.72,539772.52
38,486129.16000000003,533351.0399999999,550020.2,541216.2400000001,458967.0,461836.1,472384.12,589970.64,548731.5599999998,590697.3799999999
39,541572.36,565471.5200000001,618753.48,597550.8800000002,460965.0,492242.5199999999,524437.2,628392.7999999999,603178.8,624990.4400000002
40,574699.44,581690.64,672782.38,654510.2400000001,477816.0,502859.5400000001,579378.8000000002,671160.46,670367.8,658993.14
41,603341.1999999998,637091.9999999999,674225.8,671874.4,496210.0,540384.6,634450.2000000001,687430.0,672246.6,671978.6
42,678670.0399999998,676360.9600000001,676090.98,723979.88,531449.0,607025.78,670653.9200000003,707213.06,724012.96,707389.24
43,696970.16,708511.08,682237.04,725138.8,580195.0,645554.96,699720.24,723210.4799999999,725339.2,708652.28
44,734208.5599999999,731864.4,682501.98,727248.04,635938.0,681281.38,730333.9599999998,725963.44,726941.76,727616.12
45,749345.4,760652.36,701845.64,731754.12,691534.0,700998.96,751955.08,726923.52,729315.3999999999,726634.56
46,751546.1,762953.6,700647.5,732830.8,700609.0,744592.0,754137.3,733332.4,732692.2,733261.2
47,756441.56,767819.96,753522.32,750293.6800000002,741974.0,754925.08,757207.8,733504.16,734368.76,733963.08
48,765986.64,777450.24,754257.54,752478.96,752722.0,754964.72,768731.28,753572.54,753227.24,753768.22
49,765875.76,777363.84,757799.3600000001,754446.2,755152.0,758863.68,768689.52,754370.04,753987.64,754552.72
50,765927.12,777361.92,765486.4600000001,757838.56,758038.0,769823.72,768695.76,755498.4,755874.4,754458.74
