index,73_1_www.jimdo.com,73_2_www.jimdo.com,73_3_www.jimdo.com,73_4_www.jimdo.com,73_5_www.jimdo.com,73_6_www.jimdo.com,73_7_www.jimdo.com,73_8_www.jimdo.com,73_9_www.jimdo.com,73_10_www.jimdo.com
1,67.0,0.0,-442.0,0.0,67.0,67.0,-442.0,-48.0,0.0,0.0
2,462.0800000000005,2052.38,4547.8,2263.720000000004,1618.6000000000004,1230.6800000000005,2944.4399999999996,1488.3200000000006,2060.0,1752.5800000000002
3,5414.6,7708.52,7104.92,5123.199999999999,6507.400000000001,7188.920000000001,7077.04,7380.72,5095.400000000001,7579.759999999999
4,12120.799999999992,13770.46,28163.599999999984,8790.359999999997,10413.6,12963.52,26339.140000000003,14206.44,8994.599999999999,9934.859999999997
5,29664.76,29398.36,26207.76,25879.76,30816.4,29433.04,22834.48,27747.04,24546.8,29955.76
6,26802.6,30665.3,28330.8,22166.799999999996,29604.0,27893.2,26824.2,28947.4,26298.0,28600.1
7,30725.759999999966,38557.48,38682.44,29502.239999999998,31090.200000000004,39875.28,32278.16,31610.76,31452.8,35586.759999999995
8,40894.68,42439.18,43513.68,37372.76,40706.6,42536.16,39253.02,39964.68,37745.6,43811.26
9,44664.76,53291.92,59517.79999999995,39451.479999999996,43355.4,50445.12000000001,41204.399999999994,43892.72,43695.000000000015,44888.95999999999
10,56313.4,83786.46,75507.96,53458.28,56787.799999999996,70489.84,60791.10000000001,65496.16,79123.20000000027,58299.299999999996
11,101950.99999999997,93026.0,85550.6,69426.2,66381.0,70794.99999999996,81249.6,76347.39999999992,134712.0,93241.8
12,119054.59999999998,207236.80000000002,137596.16,75813.20000000003,91050.0,102777.28000000001,90149.2,84765.79999999997,212831.8,95542.8
13,142705.9999999999,259500.44,151605.2,91989.20000000001,214479.99999999997,142731.84,186313.5599999998,115405.2,241494.00000000006,163896.80000000002
14,189073.35999999996,309005.58,216723.95999999964,178988.08000000002,254385.2,284897.35999999964,263181.7,233043.71999999962,269870.4,244985.28
15,286639.71999999986,315026.48,315159.92,278581.28,285267.0,316538.48000000004,265803.76,308022.64,299984.8,293261.6
16,318248.0,318350.00000000006,318194.6,306776.4,311300.0,322619.8,314270.7,312025.5999999999,308861.0,328492.4
17,322653.28,369610.31999999995,324032.32,313606.08,321145.6,326272.44,321329.2,319832.8,310492.0,334559.56
18,328166.39999999997,382280.04000000004,364921.39999999997,319451.51999999996,325583.4,384294.12,323801.04000000004,325429.08,323832.4,338142.54
19,369549.56,387061.12,383975.32,325712.83999999997,332625.0,386452.28,330926.4,357411.8,325047.2,376261.4000000001
20,390013.31999999995,390127.54,386518.64,380869.27999999997,337676.8,389010.08,339682.1,385733.24,370090.2,402841.98
