index,358_1_www.spotify.com,358_2_www.spotify.com,358_3_www.spotify.com,358_4_www.spotify.com,358_5_www.spotify.com,358_6_www.spotify.com,358_7_www.spotify.com,358_8_www.spotify.com,358_9_www.spotify.com,358_10_www.spotify.com
1,67.0,-442.0,-442.0,-2192.0,-442.0,-442.0,-2192.0,29.0,-442.0,-442.0
2,7129.88,6209.16,8411.460000000001,6574.919999999995,10399.9,6647.399999999998,5534.48,6306.78,8490.46,8300.099999999999
3,29122.44,15059.800000000001,34344.36,33589.32,19760.800000000003,17861.799999999996,34604.76,35963.36,35643.16,34212.6
4,36812.64,37203.22,42548.38,38984.94,46834.800000000025,44060.72,34922.759999999966,38102.340000000004,40537.46,41560.60000000002
5,61687.8,45853.96,61817.000000000015,51236.79999999999,52135.399999999994,49710.84,49805.68,51141.48,56124.000000000015,54726.799999999996
6,104592.99999999999,59856.5,131006.29999999999,88064.59999999995,123865.0,57418.2,126664.39999999994,108068.5,82269.2,133844.0
7,164034.47999999998,102301.2,216400.19999999995,258840.3199999996,238418.00000000006,141328.2,201346.63999999984,178091.20000000004,211701.36000000007,267635.00000000023
8,242755.39999999994,226149.3,289118.88,288974.74,293481.1,236667.83999999985,283970.36,288014.32,289817.04,292168.1
9,268425.76,285275.08,316985.96,325093.4799999998,321152.2,298893.08,310303.0,295500.6,308454.2,316514.2
10,297303.32,309750.0,400648.20000000007,354396.82,433358.3,316368.6,386183.83999999997,337776.04,347242.02,406648.8
11,326634.8,332641.6,465661.8,521677.19999999995,508577.0,326034.2,409862.0,431249.2,444281.4000000001,470833.0
12,385726.23999999993,357191.79999999993,668114.2400000001,667208.32,674211.8,420626.4,640572.28,524171.75999999983,638498.38,640324.6
13,492447.0,445236.35999999987,713906.08,729118.5599999998,735128.2000000008,648327.32,656031.4,667465.12,675707.4,658027.0
14,567536.28,631497.1599999997,905338.34,905025.74,914377.3,654075.2,878503.0800000001,683348.36,872439.28,831849.7000000003
15,676643.6799999999,683014.5599999999,915032.44,910723.72,919943.6,753798.6799999996,880321.68,882817.8800000004,874269.52,881353.2
16,703979.2,756577.9999999998,928448.3,931445.9999999999,965666.5,886982.8,892490.4,922774.1,889642.9000000001,892751.5
17,730086.68,868552.28,971651.4400000001,1005451.88,1009162.8,892410.84,941779.4400000001,958904.48,935866.68,941945.4
18,765676.0800000001,885773.68,1017103.0599999999,1012685.32,1046987.6,903865.4399999997,986493.72,965415.26,982145.26,987008.4000000003
19,863805.0800000001,929168.0399999999,1020321.24,1040871.24,1048592.4,983276.48,991460.64,1010344.04,1014550.24,992839.4
20,977188.6399999999,946851.2799999997,1051280.68,1042829.0,1050723.9,990644.56,1022670.2,1017574.82,1015816.48,1022536.4
21,1030877.2,1021169.2,1054607.0000000002,1045295.8,1052986.0,1021860.8,1024924.4,1047559.3999999999,1019033.7999999999,1025243.0
22,1032778.16,1052435.46,1065812.4200000002,1055383.14,1064009.0,1035143.08,1028602.08,1058684.28,1022638.68,1032298.5
23,1037121.24,1061086.28,1073223.04,1072219.4799999997,1101937.8,1038371.2,1037670.4400000001,1057574.8,1031366.84,1070026.8
24,1045791.56,1066551.12,1081420.84,1098139.78,1107827.2,1039806.32,1078069.72,1057789.26,1072415.16,1078884.9
25,1085866.72,1066177.44,1119817.04,1110522.44,1120203.8,1045128.04,1082973.56,1072145.8,1078082.08,1085962.4
26,1096682.0,1072872.5,1130021.5,1242313.0,1138935.0,1051371.0,1092627.9999999998,1115959.5,1095832.0,1092992.0
27,1106303.28,1082534.0399999998,1237644.6,1250921.4,1152563.2,1091289.76,1211004.2,1124853.8800000001,1139754.2800000007,1096422.8
28,1118964.72,1119485.1800000002,1272067.48,1264518.1799999997,1270952.2000000004,1094250.64,1231092.76,1160307.1999999997,1234480.84,1117100.9
29,1127355.8,1127383.4,1286264.08,1279634.96,1280638.2,1105896.88,1242181.5199999996,1266243.44,1247354.16,1125408.0000000002
30,1163790.52,1147467.96,1296146.84,1283446.8800000001,1292066.0,1161382.5199999996,1261191.64,1267579.98,1254484.8,1254920.4
31,1177193.8,1191629.4000000001,1303030.2,1291325.4,1303159.0,1237894.2,1262731.6,1281873.4,1258202.4,1267843.0
32,1224310.32,1202293.06,1328791.68,1301987.38,1312662.4,1246746.6,1265950.52,1288202.14,1269489.4,1300200.0999999999
33,1311723.68,1289107.0,1335124.32,1309754.4,1319542.6,1255083.36,1281690.36,1297555.96,1278231.44,1337600.8
34,1318986.16,1291781.2,1345937.92,1323563.3999999985,1335546.7999999996,1271487.5999999999,1290695.44,1307112.96,1290064.14,1343037.3
35,1346693.92,1305484.92,1351786.84,1346010.32,1345611.6,1278230.08,1296734.2799999998,1319499.2400000002,1294706.08,1350223.7999999998
36,1356060.8,1308925.4,1357746.9,1360665.9999999995,1362874.0,1286171.6,1317475.2,1320793.2,1320094.2,1358444.5
37,1365309.92,1312294.4399999997,1379190.5600000003,1364663.1199999999,1387666.2,1288579.64,1326822.32,1338664.32,1325747.96,1374725.6
38,1372886.56,1320343.58,1403940.96,1378577.7599999998,1387591.6,1293369.88,1331993.7999999996,1348293.86,1336681.64,1413936.0000000002
39,1416009.1999999997,1320854.6399999994,1407729.12,1387179.56,1391463.2,1297022.76,1345826.2,1349781.56,1338113.04,1451598.0000000002
40,1429035.32,1341151.06,1417312.46,1402724.54,1406212.9,1297685.1999999997,1363657.8799999997,1363412.6,1341358.6199999999,1487052.2
41,1428692.2,1352641.2,1412395.4,1404908.4,1489381.0,1331046.8,1386301.6,1403399.6,1337487.8,1489972.0
42,1455837.24,1363780.78,1449690.36,1457532.76,1503687.9,1339097.44,1399196.16,1408453.7,1421507.6200000003,1491617.9
