index,309_1_www.sueddeutsche.de,309_2_www.sueddeutsche.de,309_3_www.sueddeutsche.de,309_4_www.sueddeutsche.de,309_5_www.sueddeutsche.de,309_6_www.sueddeutsche.de,309_7_www.sueddeutsche.de,309_8_www.sueddeutsche.de,309_9_www.sueddeutsche.de,309_10_www.sueddeutsche.de
1,-442.0,-442.0,-442.0,-442.0,67.0,67.0,0.0,-442.0,67.0,290.0
2,92339.79999999996,79652.11999999994,76435.95999999995,57526.20000000001,89493.1,42011.44,53841.82,28749.48,45352.839999999946,54499.960000000014
3,269260.6,410466.0399999999,268474.08,342548.80000000005,263253.8,203014.0,212883.76,143356.80000000002,151198.4,265264.8
4,707026.6,605171.52,627813.42,602439.5599999999,614263.2000000001,413761.32,348771.56,242127.28000000006,283238.0,550367.24
5,729413.8,722770.2799999999,725197.04,716254.16,721473.6,612559.2,654355.92,296582.60000000003,461488.32,659647.28
6,866182.5,765525.7999999999,770146.2,734608.6,740420.5,717942.6,731754.8,347644.6,492677.99999999994,773267.8
7,882723.1999999998,929513.16,928310.28,854649.9200000007,910620.2,740155.6,776200.4400000001,392944.48,644963.08,929199.5599999999
8,930911.9,949808.7999999999,974765.42,931234.32,944438.8,802047.72,869324.62,462099.6,701558.4,968428.0399999999
9,1039672.3999999999,1066680.2,1056085.28,991086.1600000005,1009965.4,891575.64,924856.8400000005,561260.2000000001,835722.6399999997,1058392.32
10,1096682.8,1114399.72,1121380.04,1055006.4,1067814.6,961286.4400000001,1018374.38,617348.1599999999,906925.8799999999,1112167.76
11,1139952.0,1121564.0,1157261.6,1081472.0,1120789.0,1027076.7999999999,1142838.2000000002,676209.6,1037069.8,1162333.0
12,1203552.0,1169858.0399999998,1193336.42,1149446.64,1165256.3,1096474.92,1159719.94,704464.8,1067149.72,1186509.48
13,1208133.8,1199715.6,1207625.3199999998,1158687.4000000001,1189357.6,1113811.36,1184136.9200000002,775799.6000000001,1101032.96,1295019.16
14,1310273.9999999998,1291740.16,1302294.44,1195120.4800000002,1220642.3,1124444.48,1232672.58,892652.2000000001,1173726.52,1337866.36
15,1327033.6,1308598.28,1323571.68,1217653.48,1304715.6,1180191.84,1267215.6,997599.24,1196787.84,1400136.36
16,1391264.0,1347648.2,1334733.1,1293555.6,1319100.5,1189658.4,1272774.5,1038149.6000000007,1260050.4,1431373.4
17,1425066.4,1391079.2,1376478.96,1311644.4,1342720.8,1267412.0,1313866.16,1101956.24,1315179.24,1440222.84
18,1436697.6,1418183.16,1430485.92,1350636.68,1384334.2,1321311.52,1401066.22,1173718.52,1360207.4,1503379.6400000001
19,1447124.4,1432089.36,1441522.1600000001,1395105.6,1421237.0,1334030.16,1455002.6,1242245.8800000001,1402869.1999999997,1586675.24
20,1550175.3,1436637.0799999998,1441072.22,1420782.76,1460136.6,1367182.8800000001,1481958.26,1322240.6,1415076.88,1608852.44
21,1571814.0,1533775.3999999978,1518554.2,1436673.2,1466159.0,1417127.6,1493174.2,1371753.8,1432111.4000000001,1627995.2
22,1591476.8,1574293.2799999998,1594602.1400000001,1442038.36,1494785.1,1447730.12,1519314.06,1425960.56,1515508.3999999997,1639466.76
