index,373_1_www.surfmusik.de,373_2_www.surfmusik.de,373_3_www.surfmusik.de,373_4_www.surfmusik.de,373_5_www.surfmusik.de,373_6_www.surfmusik.de,373_7_www.surfmusik.de,373_8_www.surfmusik.de,373_9_www.surfmusik.de,373_10_www.surfmusik.de
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-2192.0,-442.0
2,12533.52,4095.2,11745.16,10942.1,1539.06,1418.799999999999,11715.859999999999,12384.32,10999.38,11780.26
3,25179.52,4361.400000000001,35493.72,39644.19999999996,4121.04,5096.959999999999,28843.599999999995,63438.72,25186.72,17267.64
4,60779.79999999998,10901.500000000007,114840.64000000001,134153.1,6675.68,7000.920000000001,83840.46,168971.84,125194.12000000017,77796.83999999997
5,152810.84,10303.599999999999,309252.36,253999.19999999992,8296.56,10603.64,198988.31999999992,310442.12,306281.52,268140.32
6,316822.80000000005,16267.0,314097.6,310378.5,11256.1,10843.2,308340.3,318177.60000000003,316318.2,312542.4
7,322762.56,24006.000000000015,355641.4,322656.4,11912.119999999999,15449.72,337443.52,356202.12,343763.04,331075.32
8,339467.04,33624.9,363803.32,351019.1,16367.119999999999,17779.72,348432.12,428982.26,356326.52,351660.28
9,363431.6,65274.6,434976.5200000001,388605.99999999994,17559.760000000002,21395.24,358302.2,482603.36,426454.28,362436.84
10,431418.0800000001,109553.20000000004,486097.8800000002,437493.3,33217.58,24338.48,429433.94,527863.62,475351.33999999997,432990.98
11,484359.4000000001,125754.0,556088.4,493885.0,45128.399999999994,38430.799999999996,453854.2,577849.4,527741.6,482186.8
12,502556.3599999999,178341.50000000003,575339.32,536431.9999999993,59966.24000000003,53868.32,497701.62,610594.14,570093.34,535730.6000000001
13,612233.08,232156.00000000003,610161.6799999999,597089.4,79908.08,68184.59999999998,506936.3599999999,697979.24,581644.92,570080.48
14,680380.32,278469.00000000006,639364.4000000001,618603.9,91090.08,100992.43999999999,539826.9400000001,800033.16,615516.22,589564.26
15,691432.7999999999,308093.2,716653.12,645814.4,100741.84000000003,105322.68,573805.04,812803.24,637895.32,594669.28
16,726718.4,308648.5,741029.8,657538.5,119274.4000000001,109453.8,585913.9,841784.7,677360.7000000002,630744.4
17,777849.48,312066.8,747625.9199999999,680196.2,164939.44,135257.95999999985,613348.7199999999,886121.52,725037.64,640912.16
18,833053.92,312534.9,777770.28,690848.7000000001,180147.7,187131.59999999998,720349.48,963182.3200000001,749642.22,658792.6
19,849393.28,312559.4,786124.48,724248.7999999999,234732.43999999994,260196.47999999995,778228.8399999997,1008446.04,800789.88,755359.36
20,879776.36,319430.19999999995,793859.04,741991.9,293123.0599999999,313498.72,801866.22,1017888.78,806979.34,774822.6
21,882953.8,325965.0,801844.6,762460.0,306635.19999999995,315396.4,833858.7999999999,1048095.6,813697.2,781403.4
22,898491.44,343504.7,804131.08,777102.7,308742.76,316519.68,869867.38,1055098.28,819213.98,789393.22
23,909338.56,348875.8,824179.52,814140.6,307975.48,317624.88,910152.36,1054456.64,824723.28,811176.28
24,918985.44,354116.4,842827.24,858599.4,311889.18,323515.0,936964.02,1074300.5999999999,838824.32,825829.86
25,938956.72,354956.2,861232.64,889815.4,310480.88,327252.92000000004,984317.88,1093499.96,843696.76,837658.9199999999
26,948816.0,362854.0,866598.0,887368.0,312861.0,329340.0,1012195.5,1101615.0,849055.5,841374.0
27,948694.64,366364.0,871945.4400000003,892722.2,314073.6,332212.39999999997,1022867.6,1117434.68,856991.2399999999,848440.24
28,965207.92,385353.2000000003,884029.4,907820.6,317895.18,330425.24,1027261.62,1124901.48,863810.68,851492.36
29,972658.08,430082.6,900434.3999999999,924041.3999999997,322971.92,333364.44,1035733.08,1139315.04,876218.32,857226.28
30,985502.04,434565.4,918437.4400000001,925798.0999999996,330884.32,334686.88,1037606.68,1155343.46,886745.48,861933.72
31,1011330.2,451380.0,933787.0,984071.0,340489.4,338865.2,1045482.0,1168852.4,912265.6000000001,864819.3999999999
32,1056879.16,476597.30000000005,948568.92,1006302.7,350482.54,351841.68,1060232.42,1188789.7000000002,929169.72,893635.16
33,1078744.48,481269.60000000003,949587.1199999999,1015413.8,353308.6,364257.19999999995,1079422.2,1197232.76,927605.08,902027.04
34,1084829.84,486236.2000000001,950513.2,1017711.1999999998,354624.33999999997,372294.63999999996,1091562.52,1205245.56,941684.72,932714.44
35,1078037.8,497648.6,952344.6,1022337.7999999997,355887.44,380784.8399999999,1098457.16,1211862.64,946451.6,937397.8
36,1095753.0,498026.5,975906.7999999999,1031465.5,359016.2,406237.8,1100638.9,1227428.3,958300.1,946150.1
37,1104817.44,498360.2,980618.4,1041333.7999999999,361971.64,438377.56,1105055.1600000001,1248449.64,966864.6800000006,952322.8
38,1117352.0399999998,507484.6000000002,989168.2800000004,1048552.7,367379.9,439924.5999999999,1113132.28,1254506.94,977675.6399999999,968277.38
39,1126411.32,522507.6,1000911.76,1048759.9999999998,384566.07999999996,458934.63999999996,1125934.7999999998,1261516.5600000003,990362.92,979020.84
40,1132818.04,525541.3,1006169.3599999999,1076909.4000000001,422579.38000000006,461013.56,1146522.1,1268239.52,999410.24,979962.22
41,1134555.0,538948.0,1007100.2,1079387.0,432757.4,488945.2,1158630.8,1279446.4,1001380.0,986873.2
42,1132591.24,547241.1,1014272.56,1086099.0,435395.52,494095.92,1168402.28,1296408.98,1009989.34,999868.62
43,1144865.1600000001,553694.0,1027519.48,1094337.4000000001,446568.2,496296.64,1173325.76,1306563.04,1019226.72,997852.44
44,1149826.2,578251.8999999999,1036560.24,1108988.0,452132.84,505973.59999999974,1177633.06,1321251.5,1028480.1599999999,1011744.46
45,1161398.16,583294.2000000001,1050897.56,1121187.0,455590.52,535415.12,1184735.84,1333718.16,1036863.04,1033474.16
46,1161946.0,588601.0,1065360.0,1126232.0000000002,481590.69999999995,536923.6,1191946.1,1348602.4,1046803.2999999999,1032319.7999999999
47,1170744.72,588255.2,1067899.5999999999,1140940.8,483816.48,545362.08,1203515.44,1360507.44,1046080.5999999999,1032888.28
48,1212565.92,586073.4,1069153.88,1143377.9,487226.04,552727.84,1210417.66,1355611.04,1052527.42,1036393.2000000001
49,1220133.4000000001,591976.2,1077023.68,1150929.4,490674.68,558059.56,1212209.44,1360944.76,1056712.64,1047051.2399999998
