index,273_1_www.transfermarkt.de,273_2_www.transfermarkt.de,273_3_www.transfermarkt.de,273_4_www.transfermarkt.de,273_5_www.transfermarkt.de,273_6_www.transfermarkt.de,273_7_www.transfermarkt.de,273_8_www.transfermarkt.de,273_9_www.transfermarkt.de,273_10_www.transfermarkt.de
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,61190.2,70840.5,70491.56,69922.12,57309.24,64586.06,63649.96,66572.52,69400.28,63106.0
3,90499.08,216877.0,208298.32,208803.68,91104.4,92885.96,91854.08,95248.28,96017.32,200741.0
4,101658.24,593768.0,610533.4000000003,562191.1199999996,139278.92,133058.72000000015,111955.04,106229.44,109671.48,205095.0
5,545038.5200000001,718903.0,730721.48,717361.52,237001.2,586504.36,280475.12,595063.32,194520.88,697204.0
6,709975.0,764139.5,789405.8,765722.5,696897.3,726012.0,687069.6,722941.2,704499.4,770860.0
7,769106.96,849787.0,854600.84,855825.28,762805.5599999999,783910.88,757724.2,806270.88,771157.92,788244.0
8,817719.6000000002,1049995.0,986883.56,1064736.28,797868.02,846966.96,810222.5199999998,994249.48,818554.72,824013.0
9,1011253.76,1276134.0,1156790.04,1418495.84,926030.8,1017756.64,928423.04,1152450.64,930740.8400000001,867438.0
10,1236929.96,1588461.0,1372013.04,1646477.08,1008896.78,1158482.34,1041487.56,1342387.72,1025273.2000000001,1042725.0
11,1427925.4000000001,2016326.0,1480072.4,2021571.0,1178977.4,1300935.6,1091618.6,1532169.0,1130823.8000000012,1094046.0
12,1558063.9600000002,2159486.0,1763999.4,2131470.28,1331212.2,1542598.4,1444051.0,1804683.72,1439374.4400000004,1429352.0
13,1818578.24,2272109.0,2165021.64,2336939.8,1665792.9200000002,1814191.8800000001,1650614.44,2072474.84,1745698.8800000004,1798221.0
14,2046360.08,2360810.5,2338547.28,2365508.84,1818157.84,2073434.74,1882631.0400000003,2238155.7600000007,1856912.0799999998,1927838.0
15,2197551.2,2484503.0,2402356.6,2512823.92,2133673.96,2156300.3600000003,2078214.2,2342175.16,2088761.9600000004,1998686.0
16,2339549.4,2613656.5,2532359.2,2536196.9,2181913.0,2337148.7,2182507.4,2434203.4,2204760.4,2027168.0
17,2448975.28,2655205.0,2558556.56,2571621.08,2342470.32,2432887.4,2322238.44,2486189.24,2346025.24,2067164.0
18,2493650.52,2675170.0,2589656.96,2595335.9000000004,2365526.42,2490293.3,2421972.96,2528547.36,2380417.72,2097573.0
