index,236_1_www.unicef.org,236_2_www.unicef.org,236_3_www.unicef.org,236_4_www.unicef.org,236_5_www.unicef.org,236_6_www.unicef.org,236_7_www.unicef.org,236_8_www.unicef.org,236_9_www.unicef.org,236_10_www.unicef.org
41,2015734.0,2185034.0,2026503.0,2045545.2,2139715.4,2120927.0,2057344.0,2045633.4000000006,2034360.0000000002,2026469.7999999998
42,2027431.28,2194623.1999999997,2048154.0000000002,2061992.92,2152802.18,2130464.3000000003,2064245.2,2058831.06,2063025.36,2043770.48
43,2038313.2,2206430.4,2064738.6,2078236.9200000004,2161728.72,2133385.6,2084934.6,2063594.04,2069393.6000000003,2060004.000000001
44,2040565.86,2212655.4,2076001.4,2078758.24,2170372.9,2150809.9,2102711.0,2066338.42,2077359.76,2068371.24
45,2037367.04,2222311.9999999995,2079191.2,2084406.04,2180732.04,2159693.6,2103794.8,2075275.72,2092230.92,2085626.36
46,2042552.9000000001,2235153.0,2089905.0,2088915.6,2192312.8,2167946.0,2110463.0,2083177.9,2097828.2,2081705.8
47,2061918.48,2245008.6,2105898.0,2104037.24,2207198.28,2174873.2,2123550.0,2089030.24,2108870.4000000004,2090949.1200000003
48,2060039.78,2257037.4,2109870.8,2108925.8,2211947.46,2186549.3,2127957.8,2092590.9,2118034.3200000003,2101197.64
49,2081490.52,2259923.4,2118341.0000000005,2116728.96,2220144.32,2199431.8,2135566.0,2105303.4,2123824.28,2116901.32
50,2087011.98,2267035.1999999997,2127009.4000000004,2126264.16,2222699.84,2205998.4,2142698.6,2113041.82,2132384.68,2120795.64
