index,226_1_www.gmx.net,226_2_www.gmx.net,226_3_www.gmx.net,226_4_www.gmx.net,226_5_www.gmx.net,226_6_www.gmx.net,226_7_www.gmx.net,226_8_www.gmx.net,226_9_www.gmx.net,226_10_www.gmx.net
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,15680.88,14423.16,7645.94,13012.300000000001,8095.92,15387.72,12491.960000000005,8271.679999999998,15037.94,15456.28
3,82250.68,81562.32,79161.04,81097.6,73319.96,81602.52,76926.92000000001,73528.76,83852.56,79708.72
4,102007.62,98653.18,88982.82,91553.2,82180.44,98848.46,96109.8,81404.72,171299.92,97860.52
5,374223.24000000005,297491.8399999998,115819.47999999998,121159.99999999996,119939.2,344465.08,324467.68,99880.2,418568.04,387877.1600000002
6,535397.0,529788.7,332105.8,350624.5,431196.39999999997,478503.1,447896.80000000005,255506.60000000006,420206.5,560532.2
7,588794.72,537137.12,445096.56,494761.6,512865.04000000004,550013.68,531011.32,503571.60000000003,774456.0400000002,642339.04
8,865307.44,759208.52,521991.74,571513.0,538346.72,665849.7,678044.92,528327.36,872632.14,862183.84
9,886917.68,890991.4799999999,620973.8,637321.6,534945.28,864777.6,877297.64,546353.1600000001,894254.44,908457.72
10,939771.64,922440.44,838909.46,877944.2999999998,801283.4799999997,894503.2,899091.08,811218.16,948643.88,933295.44
11,965476.8,957209.6,877185.6,896464.0,909621.6,930909.6,908684.4000000001,872530.4,967936.2,956513.2
12,984680.6599999999,977447.66,897537.04,916597.6,907691.4,960655.34,970878.88,899595.4,985225.82,975992.8
13,996136.2,991160.12,916316.9199999999,968097.6,939683.56,979247.56,989496.16,935708.7600000001,1079596.5600000003,993426.6799999999
14,1093549.02,1071130.48,962497.26,986469.1999999998,954003.24,991818.1199999999,997962.72,954640.9199999999,1187775.2,1093287.44
15,1229048.08,1166106.48,980700.08,998243.6,971205.64,1087662.96,1094861.9200000004,970049.96,1233190.48,1194272.92
16,1236560.2,1240486.3,990789.4,1009506.0,984759.8,1208494.2,1183972.8,980335.8,1243130.2,1236181.4
17,1254600.44,1245771.24,1067980.08,1109823.3999999994,994074.68,1229341.24,1243995.12,1062708.44,1262196.4,1249266.84
18,1273532.28,1260545.02,1176923.42,1195533.0,1091765.96,1239426.42,1255199.08,1156087.56,1276360.58,1269165.5999999999
19,1281893.92,1280101.1600000001,1229951.48,1249600.8,1177995.04,1259210.6,1261212.16,1218041.84,1294031.76,1279480.9200000002
20,1302619.8,1290415.04,1234719.86,1256341.7,1238062.92,1273383.46,1281310.48,1227918.24,1312804.74,1294135.2000000002
21,1327300.0,1311929.6,1246815.2,1269354.0,1238895.4,1278650.8,1293317.8,1233136.0,1364222.8000000005,1316288.0
22,1452827.62,1441120.14,1263614.02,1284790.7,1248929.04,1299675.1,1314816.24,1244163.72,1466422.5,1328456.5999999999
23,1472286.8,1460982.52,1271076.08,1292745.0,1268060.88,1318653.76,1334004.12,1269536.84,1497434.1999999995,1500250.92
24,1485968.48,1474353.5599999991,1287760.62,1308010.3,1280966.16,1432988.54,1441621.16,1274362.32,1543751.48,1539220.3600000003
25,1572093.64,1494274.8800000001,1301149.72,1331462.0,1300205.5999999999,1450839.56,1473497.76,1291583.24,1650278.8800000001,1638897.5600000003
26,1653549.5,1540409.5,1326927.0,1348126.5,1334251.0,1502956.5,1531244.0,1301369.0,1682139.0,1652769.0
27,1744147.36,1711420.9599999976,1429392.76,1369237.399999998,1341840.92,1550570.12,1536036.48,1337052.64,1692625.44,1685314.4400000002
28,1755903.22,1751491.82,1488423.72,1486521.4,1428534.72,1645750.38,1552616.2000000011,1460806.68,1721173.36,1710178.76
29,1768799.12,1758688.8,1524354.44,1567680.5999999999,1470884.4799999995,1661017.76,1641885.24,1506201.48,1766863.28,1730177.04
30,1793735.12,1787543.28,1660018.56,1650020.9,1552271.28,1730157.42,1653903.72,1554917.48,1779791.28,1781929.5200000016
31,1797162.2,1797472.0,1683466.6,1733370.0,1561752.2,1772736.2,1755238.5999999999,1562733.4,1807417.4,1874852.8
32,1838657.02,1817576.34,1708304.98,1769486.5,1666603.52,1780403.5600000003,1763132.64,1660173.8,1844923.56,1881771.28
33,1867678.28,1822088.92,1720725.56,1782715.8,1680709.48,1795507.32,1774437.4000000001,1677712.56,1880644.84,1900066.76
34,1873803.8800000001,1897149.42,1791230.88,1835360.2000000007,1748730.84,1827168.12,1795015.4000000001,1695565.28,1889590.94,2075345.28
35,1900427.04,1937898.9200000002,1833450.68,1906769.4,1790666.56,2002313.24,1804364.8,1729435.1199999999,1980255.88,2180853.64
36,1946457.5,1932954.4,1862859.7,1916024.5,1811671.4000000001,2049827.1,1824212.0000000002,1752873.8000000005,1987947.3,2217585.8
