index,137_1_www.office.com,137_2_www.office.com,137_3_www.office.com,137_4_www.office.com,137_5_www.office.com,137_6_www.office.com,137_7_www.office.com,137_8_www.office.com,137_9_www.office.com,137_10_www.office.com
1,-442.0,-442.0,67.0,67.0,67.0,67.0,67.0,67.0,-442.0,67.0
2,1500.84,1548.16,1516.58,1657.6999999999998,1612.2,1654.06,1548.7,1560.82,3575.3999999999996,1486.56
3,3833.28,4141.44,3691.6799999999994,4677.399999999999,4221.2,5719.48,4141.36,4275.52,5240.4800000000005,3705.88
4,4549.04,4394.04,5008.42,6777.100000000003,6332.6,6460.42,5295.18,4281.32,8445.16,4764.5599999999995
5,8460.360000000002,8194.16,8778.08,7060.2,8000.800000000001,8646.400000000001,6274.16,8358.28,16093.84,8454.24
6,7781.000000000004,15432.199999999986,10013.999999999989,12691.5,20688.0,20770.3,8147.3,21096.0,36832.2,7856.0000000000055
7,20753.56,20551.6,20705.039999999997,23235.000000000004,40257.8,39338.28,11961.72000000001,35411.08000000001,37425.23999999999,20417.32
8,33283.28,41340.24,42611.52,28587.8,37903.200000000004,36889.34,20349.66,41135.94,38028.32,36473.36
9,41045.44,39544.56,40290.12,47101.200000000004,36008.8,37489.04,39716.48,39032.48,35634.08,34753.159999999996
10,39095.84,37345.88,38405.26,45043.1,33703.6,35429.06,40944.14,39530.58,38684.68,32494.24
11,37584.6,35815.4,39511.600000000006,43024.0,34374.0,36630.6,39210.2,37920.6,44405.799999999996,31233.199999999997
12,38682.36,36662.04,38066.96,40833.299999999996,40537.8,42510.16000000001,37822.06,36711.840000000004,50814.48,34893.640000000014
13,37171.16,38327.32,39334.83999999999,46737.4,46886.600000000006,46479.68,38850.52,41969.439999999995,53480.16,38824.68
14,36104.92000000001,43536.59999999999,42761.86000000001,49023.599999999984,50876.4,50509.42,37650.14,48943.640000000014,57827.36,40874.12000000002
15,41793.04,46296.76,51972.04,55257.2,51149.2,56355.159999999996,37733.96000000001,52364.48000000002,61182.520000000004,44204.840000000004
16,48026.6,50221.6,59314.7,57698.0,57838.0,58668.1,42696.6,56045.299999999996,71222.2,50002.6
17,53469.44000000001,57500.56,65853.32,72225.8,59578.799999999996,62918.24,47970.24,58346.28,71118.96,51997.96
18,53937.32,70157.55999999998,67032.8,77814.19999999998,60322.40000000001,63203.42,48165.82,58547.26,71247.96,61721.88
19,56775.28,70681.72,68270.44,76253.6,58982.6,61237.68,50440.88,63918.03999999999,69024.84,60337.08
20,60594.159999999996,74043.76,68991.74,74918.19999999992,68041.8,63879.96,54644.14,67539.58,75910.12000000001,66610.56
21,59775.0,73874.2,67187.59999999999,94457.0,78887.0,63107.2,56131.800000000025,100543.99999999997,102179.4,69053.2
22,61383.36,71688.56,76641.22,108101.2,86541.2,85222.52000000018,69782.12000000001,110739.98,131580.44,66644.44
23,65489.12,69923.92,75935.79999999999,110148.39999999998,86445.4,105810.0,70706.52,128884.55999999985,176758.5599999999,73675.12
24,67774.32,69604.52,81198.04,112975.6,90937.99999999999,109448.68,70400.92,157059.94,207594.36,72853.95999999999
25,70161.16,68889.16,81402.59999999998,116999.6,99707.99999999993,116375.4,70476.36,179189.48000000007,212456.68,90532.76
26,105305.0,70159.0,87326.5,117719.5,156607.99999999997,126118.5,69683.0,196978.5,213710.0,93387.0
27,103383.64,80718.16,97783.04000000001,127457.20000000001,170212.19999999995,135535.12000000032,69116.64,205331.16,211266.52,99736.4
28,130268.60000000003,104315.4,116789.2,129806.09999999999,191708.39999999997,158702.71999999997,72165.60000000002,207149.80000000002,217914.96,107249.60000000006
29,133900.16,140016.08000000002,130523.8,158922.99999999994,211254.6,176885.84000000003,72280.31999999999,206155.4,252311.8,117616.2
30,184105.84,180128.43999999992,146107.16,213993.1999999999,211536.19999999998,212931.17999999996,82343.32,219494.6,280416.11999999994,119069.24
31,192727.40000000023,206500.0,145296.0,233312.0,237465.0,246602.40000000002,97210.2,244654.6,328316.1999999998,120852.00000000009
32,214181.63999999996,207154.44,172994.24000000005,248724.6,276271.79999999993,293538.8399999999,103700.80000000002,256892.60000000003,368312.36,141804.44
33,270665.4,208906.28,191805.92,281474.1999999999,289226.2,319394.04000000004,105989.92,295558.2,402275.39999999997,160524.80000000002
34,274236.04,209625.92,208672.13999999998,314266.79999999993,313534.5999999999,365127.88000000006,120409.62,315678.4799999998,404529.04,177586.68
35,275514.80000000005,220009.44,241852.6,380888.9999999995,348211.39999999985,385153.92,166813.12000000005,348121.24,404570.92,180176.8
36,280206.0,221813.0,289844.6,416180.5,381441.0,388704.9,208119.99999999994,391586.1,410189.2,198933.4
37,278229.88,262078.12000000008,333046.95999999973,422857.2,401317.6,398045.08,222583.4,392788.68,414962.72000000003,234119.80000000005
