index,266_1_translate.google.de,266_2_translate.google.de,266_3_translate.google.de,266_4_translate.google.de,266_5_translate.google.de,266_6_translate.google.de,266_7_translate.google.de,266_8_translate.google.de,266_9_translate.google.de,266_10_translate.google.de,267_1_translate.google.de,267_2_translate.google.de,267_3_translate.google.de,267_4_translate.google.de,267_5_translate.google.de,267_6_translate.google.de,267_7_translate.google.de,267_8_translate.google.de,267_9_translate.google.de,267_10_translate.google.de,268_1_translate.google.de,268_2_translate.google.de,268_3_translate.google.de,268_4_translate.google.de,268_5_translate.google.de,268_6_translate.google.de,268_7_translate.google.de,268_8_translate.google.de,268_9_translate.google.de,268_10_translate.google.de,269_1_translate.google.de,269_2_translate.google.de,269_3_translate.google.de,269_4_translate.google.de,269_5_translate.google.de,269_6_translate.google.de,269_7_translate.google.de,269_8_translate.google.de,269_9_translate.google.de,269_10_translate.google.de
1,-442.0,-442.0,-442.0,-442.0,-442.0,-235.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,3366.2,4102.08,2249.800000000001,3590.6000000000004,2332.8999999999996,1587.8799999999999,3814.999999999999,1462.2000000000003,1566.3600000000001,1511.76,1489.9199999999998,1533.6,1560.9,1453.72,1506.3,1456.8799999999999,1456.8799999999999,1499.02,1670.1000000000001,1526.8799999999999,1393.68,1357.34,1521.9,1482.6399999999999,1377.8799999999999,1369.98,1507.2,1106.4600000000003,1347.86,1591.16,1340.6,1637.04,1411.06,1363.66,1325.8999999999999,1358.92,1404.3,1600.04,1394.5,1392.1
3,5049.48,4629.08,5075.32,5199.04,5190.160000000001,5809.24,5005.200000000001,4106.2,4089.24,3973.919999999999,3692.639999999999,4127.4,4095.6,3586.56,3903.600000000001,3582.2400000000002,3582.2400000000002,3823.480000000001,3785.76,4182.52,3944.28,4041.88,1776.199999999999,3601.3599999999988,3987.48,4009.08,2024.6000000000008,5238.679999999999,4062.52,1397.5199999999998,3957.7999999999997,1486.28,3837.1200000000003,4026.36,4080.2000000000007,4038.44,3427.4000000000005,1526.8799999999999,3509.0000000000005,3948.6
4,8402.28,8337.14,7639.240000000002,8384.2,8203.12,8737.960000000001,8209.9,5763.599999999995,6729.12,4413.92,4523.52,4573.2,4173.5999999999985,4895.72,4449.299999999999,5236.88,5104.88,4695.619999999999,5308.62,4386.319999999999,5084.24,4575.379999999999,3576.84,4789.840000000001,5319.12,5356.54,3567.12,6028.700000000001,4162.32,3929.16,4128.72,4110.68,5221.58,5410.8,4187.82,5451.16,4126.280000000001,3968.04,4163.7,5506.3
5,12522.68,14528.759999999998,12450.080000000005,13216.64,13027.039999999997,10552.400000000001,14956.2,8598.199999999999,8211.36,8461.44,8348.92,8407.2,8154.400000000001,5904.88,8486.199999999999,6304.5199999999995,6633.5199999999995,8393.080000000005,8543.079999999998,8169.28,6132.2,4342.16,5242.08,8519.64,6116.079999999998,5183.680000000001,5455.44,7795.04,4359.64,4157.08,4377.76,3645.76,6325.8,4604.88,4768.5599999999995,4195.5599999999995,5202.36,4093.48,4862.4,5595.600000000003
6,36742.79999999998,55698.0,19948.00000000004,48318.20000000002,27344.999999999938,15698.999999999998,45234.5,15281.0,14704.400000000007,9092.999999999995,7546.600000000003,11661.0,14139.5,7984.400000000001,8477.0,8641.6,8131.599999999999,7813.000000000003,8417.9,14000.599999999997,8298.4,8301.699999999999,4345.099999999999,7970.200000000003,8288.0,8379.5,4506.5999999999985,12185.099999999999,6132.3,5214.7,5979.400000000001,5390.8,8457.3,7975.200000000006,6083.499999999999,8506.4,6473.8,5041.3,6229.5,8410.5
7,71167.96,71912.28,70465.72,71819.07999999999,71104.48,70883.64,70959.6,31966.999999999938,15000.28,15065.52,14705.24,14867.599999999997,14919.2,14768.12,14907.800000000003,15134.48,15002.48,14790.520000000004,12294.28,14960.44,11885.999999999998,7887.3600000000015,6015.32,12657.08,8118.400000000001,7580.920000000001,6271.76,13194.559999999992,8365.64,4291.28,8157.08,4633.679999999999,12514.199999999993,8067.84,8233.52,8007.08,8529.96,4606.840000000005,8227.800000000001,8378.000000000011
8,73491.74,74286.64000000001,74294.64,73391.64,71808.82,74215.68,73998.4,67767.19999999998,63284.7200000001,48928.48,21701.11999999999,42965.99999999997,49203.40000000001,14783.28,37938.800000000025,15530.519999999993,29139.239999999998,36571.80000000001,14760.66,45652.880000000005,12687.68,12630.08,8144.54,14019.960000000003,12600.96,12588.84,8405.72,17043.82,12343.239999999998,8547.98,10279.799999999996,6335.28,14593.36,15178.92,9206.199999999999,15011.04,8048.42,6150.62,7527.900000000001,14968.6
9,75815.71999999999,110122.36,75517.16,85907.56000000004,77616.52,77292.32,113643.79999999994,70346.2,69741.88,69800.96,82847.44,79222.19999999998,76386.6,64028.55999999999,62110.20000000002,57600.55999999997,45300.4,80819.20000000001,55951.479999999996,76056.72,13346.52,12569.04,8217.799999999996,14977.600000000002,14131.64,14117.28,9439.400000000003,23633.32,12168.32,8449.12,14713.12,6920.120000000001,28612.399999999994,15167.04,14880.84,15021.48,15167.92,8219.28,12954.199999999999,25150.20000000001
10,142400.74,205651.18,147321.6,170337.9600000001,155055.86,118795.52,177065.99999999997,71549.2,73733.56,73827.96,81453.28,83865.6,81910.9,82180.8,84040.1,82141.72,69654.92,83287.7,76285.48000000001,82186.08,14892.12,13199.86,11964.699999999997,17106.76,13952.679999999993,13024.44,11809.160000000002,33389.17999999998,13737.08,7642.340000000001,16102.320000000005,8249.44,69160.47999999998,24212.199999999997,15001.460000000001,37205.92000000012,14566.080000000002,7452.46,16245.00000000001,61954.4
