index,42_1_twitter.com,42_2_twitter.com,42_3_twitter.com,42_4_twitter.com,42_5_twitter.com,42_6_twitter.com,42_7_twitter.com,42_8_twitter.com,42_9_twitter.com,42_10_twitter.com
1,67.0,67.0,67.0,-48.0,67.0,67.0,67.0,67.0,67.0,-442.0
2,-329.7199999999998,1713.56,1440.74,1619.28,1688.4,1698.76,1744.64,1697.28,1475.2,1333.64
3,1539.12,926.8400000000003,613.9200000000022,1021.0799999999998,693.5999999999997,789.6400000000001,1243.0400000000002,775.9199999999998,464.2400000000001,541.6800000000001
4,632.3199999999999,3845.879999999999,4440.22,2226.64,2577.599999999999,2406.12,2437.8200000000006,2410.86,4535.92,2306.92
5,4596.28,4605.84,6952.959999999999,4399.4800000000005,4351.599999999999,4653.4400000000005,4470.24,4252.88,7099.12,4527.24
6,4536.599999999999,6773.200000000001,6307.900000000001,6979.8,6963.5,7141.799999999999,7163.8,6063.099999999999,7952.4000000000015,6658.2
7,4681.600000000001,8585.960000000001,14041.72,6641.96,7939.399999999997,8419.08,6283.44,8298.72,14258.08,7911.680000000001
8,9971.52,11288.319999999998,19208.800000000014,11262.92,13969.5,45020.48,9843.599999999993,10483.200000000003,15758.599999999991,10668.960000000001
9,9062.0,11962.599999999993,83460.52,11126.800000000005,24001.400000000016,78602.36,12426.639999999998,13042.800000000005,85169.04,10639.56
10,9059.16,28876.28,83693.46,28596.880000000012,29767.9,79937.12,14552.199999999995,74254.04000000001,83706.08,24353.799999999996
11,12548.2,27432.2,83339.60000000002,76693.20000000006,44852.0,79778.99999999999,27261.999999999996,83112.2,82722.40000000001,26481.2
12,28780.400000000038,28518.84,86108.14,83353.56,54591.2,79007.48,29928.780000000002,81495.42,86435.83999999998,25174.32
13,44573.200000000004,30402.24,92840.88,83048.52,58048.6,83137.12,73396.07999999987,82511.12,90149.28,51323.08
14,85581.28,34699.28,92616.26,82037.52,61975.3,87133.52,83444.74,86734.64,92315.68,52631.32
15,84294.88,36829.36,94607.64,88322.92,64242.4,89291.64,84649.04,88548.68,94692.95999999999,57026.96
16,83393.8,43559.59999999995,101589.6,90186.2,65471.0,91695.59999999999,85930.9,90899.9,101713.4,67183.00000000009
17,84574.72,60153.19999999999,101025.59999999999,92122.92,95386.4,93453.64,88137.96,93856.96,101271.4,89255.52
18,84064.44,64572.76,100861.40000000002,92154.04,93563.3,92814.32,92844.02,93569.86,104993.96000000002,89139.88
19,88307.44,82410.43999999999,172514.4800000002,94419.2,94073.0,99252.51999999999,92701.84,94504.2,201999.0,91953.08
20,90498.08,91442.44,244978.84000000023,97669.32,107615.4,99490.44,95356.3,98675.04,238943.6,89394.84
21,91746.59999999999,95590.4,328706.2000000003,97036.2,107217.0,98918.99999999999,98391.8,102162.2,347529.2000000001,88675.0
22,92557.72,100023.92,416712.48000000004,121898.47999999995,106722.7,155458.76000000013,98030.56,107860.12,414580.36,94104.20000000003
23,94672.8,99518.76,428243.4,136077.19999999998,114864.00000000009,234667.31999999998,97413.68000000001,108812.88,427320.6,104228.28000000001
24,98022.36,114655.39999999994,499831.60000000003,200150.63999999996,166701.2000000002,308836.56,125548.21999999999,111035.79999999999,507021.39999999997,106697.68
25,97849.08,202299.76,569478.2,247612.31999999998,213788.20000000013,388253.80000000005,200188.6,173420.31999999998,563587.48,106602.16
26,97215.0,255248.0,641126.0,290916.0,258334.0,402247.0,234017.0,237050.0,630901.0,106816.0
27,100171.72000000015,345632.80000000005,654115.72,331963.6,316866.4000000001,416240.19999999995,297344.3999999998,304347.84,654113.16,122004.95999999995
28,118367.84,399935.92,655407.98,368984.96,373839.0,464605.6399999998,340671.32,358588.20000000007,655578.72,187279.2799999999
29,151358.88,419393.67999999993,679723.32,387085.04000000004,386570.00000000006,561149.0,366173.56,385783.8,656872.08,234296.72000000012
30,207059.9199999999,489558.7199999997,681204.26,445282.4,473913.6000000004,639201.7999999999,393451.36000000004,399818.4,681137.64,289984.64
31,260154.40000000008,536150.3999999997,682683.2,489848.00000000006,537594.0,652276.2,466909.39999999997,456485.20000000007,682596.8,346232.80000000016
32,309589.1199999999,592040.1599999999,684041.46,547210.2400000001,575081.0,652865.96,522855.04000000004,506818.0400000001,684069.16,417013.44000000006
33,346095.36000000004,651632.8399999999,687652.72,611306.96,648012.0,658470.7999999999,608027.8799999999,542340.2000000001,685940.08,504778.7200000001
34,385137.84000000026,653659.16,715641.68,650354.68,661057.2,677639.2799999999,650289.34,618524.96,688555.4,568800.72
35,397842.4,656842.64,718419.08,651775.84,677332.0000000003,679299.16,651784.92,665678.2,716204.2,614504.64
36,436550.0,659855.6,717425.8,653403.8,687671.5,681007.4,668255.9999999999,668161.4,721795.6,658475.4
37,475321.6,664198.4,723863.4000000001,677048.12,687642.4,682660.92,675661.7999999999,670106.6,723836.04,660046.04
38,513349.2,684450.96,739319.8799999999,679650.2000000001,689227.8,685650.52,679735.46,693502.02,727242.36,679291.92
39,567446.2399999999,686129.72,738613.5599999999,706174.24,690221.2,688404.68,698772.48,695243.56,741618.12,686515.08
40,620644.8,687901.36,738026.66,706573.08,693317.1,691509.8,707423.22,696616.18,744872.84,686361.84
41,650290.6,689258.6,739572.7999999999,708225.4,720056.0,717907.0,707688.6,696144.2,743713.0,687609.6
42,651860.12,689924.2,741616.36,709976.92,721868.9,721078.4400000001,710635.24,701758.2200000001,744395.76,689495.32
43,664346.8000000002,701534.5999999997,745715.92,712543.52,724169.0,739932.88,711894.6,717412.48,746424.28,691978.0800000001
44,677339.04,720357.6,749127.34,712555.44,730248.4,735818.88,712065.92,730973.9,748058.04,705367.3999999999
45,678264.64,723829.96,749256.52,714511.12,728530.6,738644.4,715713.2,730035.52,751112.48,720676.04
46,679799.4,724205.2,752300.0000000001,717161.4,731406.0,738476.4,717577.7000000001,736761.5,753197.2,720600.2
47,679408.24,740700.3999999999,755863.2000000001,719555.6,747400.4,739957.84,718494.68,735712.2,755700.36,726234.72
48,681364.04,744683.24,757450.6,736623.28,745725.2,743247.4,737338.9,754763.4400000001,757118.92,725079.16
49,682249.8,746096.32,757667.84,732007.88,745429.2000000001,743652.48,733347.52,751708.04,758008.12,740816.04
50,685890.4,740459.56,760470.56,733354.12,748757.2,743645.76,734242.36,752005.72,760078.12,744897.24
