index,265_1_www.kicker.de,265_2_www.kicker.de,265_3_www.kicker.de,265_4_www.kicker.de,265_5_www.kicker.de,265_6_www.kicker.de,265_7_www.kicker.de,265_8_www.kicker.de,265_9_www.kicker.de,265_10_www.kicker.de
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,70987.6,64824.100000000006,81509.0,66725.19999999998,64915.999999999985,64631.14,68458.56,64865.96,64220.68,60679.9
3,477555.96,427930.6,328968.48,478167.92,444285.6,296463.52,308268.44,296200.12,444726.51999999996,269412.36
4,593048.86,490568.7,461922.3600000001,549226.88,486669.0,369289.38,442665.72000000003,350746.68,491151.56,331623.48000000004
5,770745.88,615411.8,730775.04,670824.64,647726.7999999999,485631.12,665134.92,376367.16,664629.6399999998,394018.64
6,967801.3,899227.0,824649.8000000002,949357.5,947840.0,756194.2,823313.8,519385.0,878542.8,484095.1
7,986832.8800000001,969287.0000000001,847104.96,976083.68,971570.8,835429.92,851194.36,840126.04,971923.92,609021.52
8,1066134.34,1057367.2,914264.44,1007849.9600000001,996961.3999999998,850752.32,931622.4,866708.72,989640.16,823175.32
9,1148144.96,1077521.2,1041493.3200000001,1101725.24,1099187.2,915261.3200000001,1004806.92,898822.56,1052216.68,834845.5599999999
10,1284408.96,1091014.2,1340116.0,1204986.16,1180768.9999999998,995141.16,1242011.32,977490.28,1120027.48,852641.74
11,1619690.4,1303358.0,1535179.4,1606207.5999999999,1429762.0,1317385.5999999999,1481510.6,1070467.9999999998,1237082.0,947602.8
12,1826153.42,1579456.9,1761077.52,1701053.5599999998,1628305.6,1475535.52,1673332.04,1468304.2399999995,1615878.72,975920.4
13,2004543.52,1765082.9999999981,1909804.1199999999,1876250.24,1851781.8,1578738.3199999987,1777439.24,1618579.08,1816731.56,1088727.6000000017
14,2143371.64,1869901.4,2067273.4800000002,1927775.34,1902992.0,1770557.7999999996,1993975.32,1703268.52,1903727.56,1464370.12
15,2236584.68,1990791.3999999978,2105243.64,2143936.08,2124557.1999999997,1804476.48,2049746.04,1836195.4799999981,2052313.2,1501181.56
16,2251538.7,2127239.5,2150498.8,2232234.9,2188291.0,1962457.3999999997,2098575.6,2016275.8,2189645.9999999986,1722627.6
17,2349487.0,2210714.4,2253738.76,2246518.76,2241806.6,2080921.0799999998,2202682.96,2072908.52,2245105.08,1756986.4
18,2397147.34,2221702.7,2266960.2,2346552.1999999997,2276153.3999999994,2125133.92,2271111.16,2095763.52,2271034.16,1912522.8000000005
19,2418011.92,2268602.6,2301194.8800000004,2392920.12,2383090.4,2160029.64,2282976.36,2137116.48,2382033.2,2002307.8
20,2445620.52,2356107.4,2324748.44,2408737.4,2400972.2,2257025.54,2303098.12,2268842.96,2396903.04,2055040.44
21,2460072.6,2375345.0,2367058.8,2422034.1999999997,2413770.0,2281505.4,2342030.2,2280813.4,2412554.4,2107979.8
22,2598274.74,2390829.1,2403261.96,2450274.16,2428201.8,2295620.72,2370533.44,2312182.1999999997,2438625.92,2127631.16
23,2638232.16,2409486.4,2421439.92,2495327.2,2453263.8,2319284.52,2429358.92,2337402.56,2452719.52,2178020.8
24,2807790.26,2420442.7,2468192.68,2498708.5999999996,2487516.7999999993,2333324.52,2433304.6799999997,2358133.8,2493189.3200000003,2243318.48
25,2914459.320000004,2517576.399999994,2496934.52,2534772.36,2520332.2,2382983.1599999997,2447237.12,2391555.04,2525350.12,2265516.36
26,2958932.0,2612629.5,2828593.0,2575622.5,2547114.0,2412377.5,2475212.0,2429837.0,2539506.0,2269116.0
27,3055227.4800000004,2872737.5999999996,2873438.04,2600510.2399999998,2584423.8,2431322.08,2478910.36,2441659.36,2643986.2,2288722.2800000007
28,3062505.74,2895948.7,2974660.08,2740783.4000000004,2610928.6,2491174.08,2552742.4,2465319.9600000004,2668901.24,2289612.36
29,3107599.92,2929275.999999999,2994739.92,3005986.7600000002,2844269.0,2597940.1199999996,2559123.08,2457322.52,3009016.36,2308932.4800000004
30,3139429.92,2966992.1,3021973.16,3024525.66,3025163.4000000004,2834636.2,2617907.92,2471294.48,3057462.88,2347382.66
31,3161229.4,3012481.0,3060465.8,3080056.4,3138909.0,2852443.2,2785303.4,2506325.8000000003,3076529.999999999,2369330.0
32,3183784.24,3032822.6,3073916.88,3125727.1,3186586.0,2903057.56,3030279.1999999997,2521913.76,3094741.2,2378836.1
33,3200034.16,3069430.2,3113802.2,3142385.28,3210117.1999999997,2932613.88,3096751.24,2584510.48,3122804.5599999996,2406509.2399999998
34,3228603.34,3083959.4,3141993.44,3156801.88,3243184.0,2952735.8400000003,3127472.48,2596286.2,3151334.16,2431235.16
35,3290753.08,3104304.6,3188100.12,3191609.64,3261201.8000000003,2990690.84,3162114.96,3370680.839999998,3179105.7600000002,2441849.84
36,3327487.8,3121249.0,3204851.6,3219286.4,3282594.0,3005633.4,3175812.0,3516821.2,3203674.2,2448525.8
37,3359823.6,3137653.6,3548789.7600000002,3243239.08,3296757.6,3055400.5999999996,3267949.96,3595167.24,3223544.48,2742603.92
38,3690275.94,3198959.0,3622108.4400000004,3253576.94,3326618.4,3194732.8400000003,3282108.12,3610003.52,3285052.24,2806610.98
39,3747622.56,3244371.1999999983,3708934.36,3264158.52,3343924.8000000003,3203747.24,3359719.76,3635141.2800000003,3302487.56,2850824.44
40,3948565.56,3359485.7,3787510.56,3278557.279999999,3412122.799999999,3210708.7,3399972.36,3663765.56,3307934.7600000002,2952871.74
41,3958628.6,3568840.0,3812815.4,3331629.999999999,3434603.0,3242790.4,3414826.8,3694751.2,3333173.2,2964128.2
42,3987598.48,3637301.6,3830000.12,3478307.7599999993,3598364.0,3256925.82,3449721.96,3979666.999999997,3363901.44,2982950.32
43,4042993.440000001,3640652.0,3883529.2,3682054.0800000005,3776705.6,3275955.88,3599560.3600000003,4191775.52,3389749.04,3003264.72
44,4067000.14,3676965.0,4057284.6000000006,3746813.28,3844427.7999999993,3313325.32,3736144.48,4238810.079999997,3436257.6,3024549.82
45,4083966.32,3830816.999999999,4076102.7600000002,3908700.64,3997691.6,3355906.1999999997,3744297.28,4263087.96,3511557.479999999,3029089.56
46,4122540.4,3855369.0,4101717.8,3943930.2,4059619.0,3534265.5999999964,3765173.5999999996,4271801.4,3541958.400000001,3051804.2
47,4141183.5199999996,3874256.999999999,4143271.28,3985838.64,4075608.6,3555913.28,3793129.12,4287024.32,3633819.68,3065476.36
48,4161386.84,3931163.7,4177456.4000000004,4023723.88,4122456.8,3588658.44,3804810.92,4320576.2,3714184.64,3077249.1
49,4173746.4,3961708.1999999997,4210691.48,4042262.84,4141762.399999997,3625738.6399999983,3864741.2,4370666.28,3732314.0799999987,3084258.52
50,4190977.4000000004,3974151.3000000003,4226813.96,4062273.66,4178989.4,3667165.38,3905006.48,4391150.64,3774095.16,3092667.2600000002
