index,390_1_www.watchbox.de,390_2_www.watchbox.de,390_3_www.watchbox.de,390_4_www.watchbox.de,390_5_www.watchbox.de,390_6_www.watchbox.de,390_7_www.watchbox.de,390_8_www.watchbox.de,390_9_www.watchbox.de,390_10_www.watchbox.de
1,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,54765.68000000002,27573.8,58998.34,86084.04,51836.28,87188.76000000001,85771.16,53891.39999999999,58837.47999999999,27583.6
3,204749.48,200729.92000000007,204060.76,238205.92,204037.08,263546.48,202849.08,237309.36,240674.84,177455.60000000006
4,310549.68,305944.4,364773.68,436744.52,278842.52,441579.19999999995,342995.27999999997,366604.12,356489.78,242382.8
5,643265.76,451035.4000000001,614159.3199999998,642760.48,445801.64,680087.56,684545.64,639820.48,639190.6,551612.64
6,807597.5,641955.4000000001,854567.7999999999,892634.2,684376.9999999999,931209.7999999998,883926.0,838227.3999999999,882166.6,851979.8
7,943181.2,931309.44,994935.72,1048479.88,895054.36,1078084.12,1035060.2800000005,1086606.72,1044561.4,1064999.4000000001
8,1133814.7000000002,1040997.72,1147926.94,1390669.1,1080286.5599999998,1376425.9,1197615.8,1246054.68,1303060.9199999997,1415998.2000000002
9,1338871.12,1309333.12,1516771.44,1692243.76,1325843.56,1582275.32,1468717.9600000002,1544072.0799999998,1574200.76,1727964.64
10,1733168.0799999996,1493426.7600000002,1799767.9,1904330.48,1496853.4,1832518.4799999997,1767111.4000000001,1990090.96,1812384.06,1866090.9999999998
11,2128783.0,1866787.8000000012,2026456.7999999998,2073968.7999999998,1856300.7999999996,2057674.7999999996,2033614.8,2036149.5999999996,2027662.6,2252226.2
12,2598068.2,2332334.64,2453444.48,2407804.44,2251561.359999999,2350902.96,2453019.64,2384669.1599999997,2324371.0399999986,2548508.64
13,2924062.4800000004,2704458.2,2876371.92,2757281.6,2490927.2,2728082.76,2761178.56,2784436.32,2636890.1599999997,2914973.12
14,3062733.62,2876417.64,3089971.36,2986912.8000000003,2808850.04,2988045.06,2876092.6,3019003.399999999,2920620.9,3098244.6
15,3247862.16,3200838.48,3217584.32,3167735.68,3211106.479999999,3166554.36,3188574.6800000006,3173972.48,3154140.5599999996,3179586.7600000002
16,3393116.6000000006,3279481.2,3294936.9,3288076.400000001,3535421.4,3302829.0,3260756.2,3301163.0,3268336.8,3325343.0000000014
17,3748292.08,3437386.3200000003,3467532.7199999997,3521206.8800000004,3588489.36,3521610.92,3410642.9600000014,3566366.36,3308445.64,3672159.7200000007
18,3795690.02,3682943.360000001,3743216.3200000003,3796368.76,3653040.1199999996,3675280.06,3700648.2,3711638.0399999996,3607270.8800000004,3761998.84
19,3859883.08,3814654.8000000003,3853530.52,3839581.96,3717522.64,3832928.04,3801923.64,3857905.04,3805218.84,3894365.8
20,3912384.9,3887557.84,3864733.14,3898752.68,3767213.7999999984,3896174.92,3873082.44,3890260.9999999995,3864512.6399999997,3904220.44
21,3958464.2,3965146.4,3963132.9999999995,3925632.5999999996,3834706.6,3914753.9999999995,3948566.2,3963181.0,3881541.8,3976983.2
22,3965374.52,3977680.12,3969613.46,4000262.2,3961201.64,3987869.18,3977700.2,3991857.72,3972687.5,3982201.96
23,4008373.32,4007519.4,4018969.4,4028527.0,3996172.2,4020373.7600000002,4022418.24,4016341.64,3996457.32,4028243.68
24,4020953.6,4033462.24,4045519.78,4048363.92,4010410.56,4048454.7,4047584.4,4029648.64,4016415.16,4046309.32
25,4068673.84,4058963.28,4054071.84,4057305.96,4023013.04,4056919.72,4062506.2399999998,4044039.68,4033432.56,4059401.76
26,4092321.0,4088538.0,4075276.0,4070848.5,4029303.0,4074451.0,4079989.0,4055499.0,4063772.5,4071476.0
27,4125484.96,4128444.88,4101770.4,4097626.4800000004,4041966.28,4098991.32,4104120.6,4075521.799999997,4082422.4,4088142.0
28,4144607.38,4154311.92,4122780.32,4121416.2799999993,4061678.96,4118450.86,4123766.36,4108623.88,4100196.12,4130441.92
29,4171678.4000000004,4172371.96,4134725.48,4152836.88,4074720.88,4145485.16,4165669.4800000004,4129096.96,4120617.799999999,4193624.36
30,4188152.8000000003,4198431.5200000005,4161099.52,4173972.88,4108356.2800000003,4156555.28,4222592.28,4130248.5999999996,4139617.24,4193998.76
31,4200350.600000001,4216064.4,4201128.8,4178284.6,4147656.6,4170286.6,4340446.0,4213135.4,4162676.8,4245365.0
32,4222007.4,4252462.28,4270761.36,4218910.24,4165814.1599999997,4189103.64,4420749.359999999,4329136.92,4199981.9,4337790.44
33,4488950.56,4349405.800000004,4429667.68,4273071.24,4221400.52,4358783.879999999,4633709.4,4448560.079999999,4333122.8,4439315.8
34,4573578.78,4480222.56,4695626.4799999995,4446043.140000001,4303586.72,4580914.1,4880538.840000002,4813695.32,4494005.68,4671697.04
35,4936896.239999999,4685701.88,5090114.8,4658593.64,4713866.24,4743775.8,5154866.040000003,5106606.399999995,4871932.68,4881556.4399999995
36,5382258.5,4986673.800000003,5553101.5,4747037.5,4996579.199999999,5050327.3999999985,5409857.0,5489271.199999997,5140863.800000001,5094953.2
37,5723382.76,5250167.0,6008481.559999996,4981153.48,5202294.52,5346155.719999998,5603990.44,5821743.479999998,5445203.88,5383328.199999999
38,6227903.280000001,5522044.16,6436457.040000001,5187001.48,5466269.04,5666954.579999999,6000409.2,6135600.319999999,5565502.6,5656416.2
39,6614824.28,5902933.040000003,6824317.84,5561190.8,5542589.599999999,6064229.319999999,6354978.600000001,6521691.08,6063020.399999999,6037431.680000003
40,6916965.9,6379950.480000002,7101824.899999999,5893645.62,5973525.799999999,6389873.879999992,6717310.480000004,6779838.1599999955,6530683.26,6427301.000000001
41,7451963.800000001,6834819.0,7622657.799999994,6242274.6,6467536.3999999985,6750128.0,7043056.2,7206629.799999995,7042803.399999999,6664744.800000001
42,8030375.88,7147510.52,8160184.1,6615098.6,6879055.6,7240252.399999999,7568916.600000001,7504523.2,7558603.8,7039406.56
43,8573337.24,7702728.880000001,8721165.999999998,6996612.560000003,7359781.919999995,7707324.4399999995,8064666.8,7997141.16,8171399.4,7511479.96
44,9068155.3,8285216.800000001,9153331.64,7355769.9799999995,7841372.6,8135557.199999999,8657318.040000001,8560541.36,8690921.0,8008711.479999999
45,9187350.36,8812237.0,9174794.04,7778641.0,8407479.16,8555875.879999999,9178508.4,9066831.24,9123818.32,8583047.8
46,9312385.8,9197026.0,9188300.2,8173931.9,8881948.4,9105243.399999997,9192546.8,9264749.2,9142767.0,9176909.200000003
47,9328294.76,9207692.6,9210489.28,8702618.120000001,9144247.08,9163603.88,9216220.2,9292027.96,9155152.6,9248873.24
48,9350234.120000001,9263539.96,9221043.52,9175905.159999998,9150497.48,9182639.78,9230817.88,9297933.959999999,9167475.26,9260475.24
49,9360559.84,9336594.24,9257596.879999999,9362670.04,9178983.56,9196517.28,9283343.840000005,9322701.44,9184669.92,9282662.48
50,9390685.62,9359484.48,9274489.84,9384755.3,9197376.68,9210777.22,9357230.32,9337904.76,9208934.22,9394000.16
