index,319_1_derbiokoch.de,319_2_derbiokoch.de,319_3_derbiokoch.de,319_4_derbiokoch.de,319_5_derbiokoch.de,319_6_derbiokoch.de,319_7_derbiokoch.de,319_8_derbiokoch.de,319_9_derbiokoch.de,319_10_derbiokoch.de
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,1502.66,1224.9000000000008,2722.8999999999996,1074.1200000000001,1419.0800000000004,1214.26,2769.7999999999997,1031.0,1559.0800000000002,1273.2
3,4478.639999999999,5234.400000000001,5039.64,5432.5199999999995,4531.319999999999,4497.68,3256.76,5394.0,4097.72,4638.400000000001
4,7034.28,7008.22,8438.04,6238.92,6056.439999999991,6142.48,6981.08,6911.0,4632.48,4120.800000000001
5,10225.68,12808.480000000003,15407.719999999998,8071.88,8397.92,7929.04,14782.759999999998,13083.0,8570.52,12081.4
6,9270.799999999994,14033.9,28945.79999999998,15963.4,13563.0,15588.500000000002,18508.399999999998,13869.0,10462.000000000011,11122.0
7,13465.56,15867.44,36149.67999999999,34746.8,21588.559999999958,34707.4,16419.280000000002,15169.0,16234.76,15633.999999999995
8,15879.02,23687.96,53429.54,32814.6,34250.24,32955.38,17578.52,23517.0,34998.119999999995,15568.6
9,20744.079999999994,42447.88,51712.6,33711.44,32409.56,33840.04,23140.88,41998.0,33249.96,20922.199999999997
10,32423.820000000025,40861.68,55476.98,37907.6,44399.08,49186.26,29084.16,40081.0,34467.76,34815.999999999985
11,41520.200000000004,41753.6,87941.19999999997,44531.00000000001,48599.0,53349.4,44479.00000000001,48426.0,45880.799999999996,41759.0
12,43355.48,54467.66,95637.7,72533.31999999999,55143.43999999998,123106.20000000001,77854.12,68525.0,50104.72,40229.0
13,65129.60000000001,81632.68,138985.08,115843.23999999987,85669.95999999985,182506.68000000002,91773.12,70409.0,58587.200000000004,44325.200000000004
14,74882.92,106577.67999999996,171295.52,189589.2,107145.16,211288.86,94952.64,154868.0,92515.20000000017,46256.2
15,73794.8,124297.96000000002,191846.28,204121.8,147975.15999999997,219723.28,120273.59999999999,185672.0,149401.88,50335.6
16,129289.39999999986,160803.50000000003,227294.30000000002,219979.2,161137.4,220879.6,132225.8,219649.0,214310.6000000001,79639.0
17,167087.63999999998,208493.2400000001,230066.47999999998,220694.08,159787.32,221803.04,174716.87999999998,230332.0,221574.19999999998,89804.19999999992
18,205024.88,234174.82,253262.1,240532.79999999996,197632.75999999998,250914.75999999998,237288.44,230132.0,225824.48000000004,115638.8
19,226745.52,233685.36,266433.24,253116.84,227190.67999999996,257949.52,256373.12,260113.0,252252.56,131871.99999999997
20,228030.16,250288.56000000006,269963.94,258028.92,255353.04,260919.5,267882.04000000004,262072.0,254134.88,136563.2
21,233864.9999999999,252491.4,275386.6,261629.2,258534.6,262870.39999999997,280711.8,268490.0,253512.6,154634.0
22,261349.62,264626.12,309394.16,265667.79999999993,259790.0,276936.64,285676.0399999999,272909.0,258780.56,156085.4
23,262857.2,269732.08,348620.24,321846.92000000016,264901.04,279421.2,332868.11999999994,279203.0,265369.76,183782.59999999998
24,265850.78,269671.82,363573.1,340121.28,285607.6,330847.0800000001,359591.8,330450.0,270018.36,215890.6
25,269405.56,280121.04,429284.68,346878.2,292508.84,386738.24000000005,383027.31999999954,343889.0,271968.48,238348.3999999999
26,271930.5,347790.0,507941.5,444138.0,298052.0,459511.0,434864.0,386768.0,314207.0000000001,255905.0
27,282588.56,403983.4,582391.6,505840.96000000014,333003.8,513813.95999999996,495901.52,472908.0,322597.36,268063.4
28,333182.4799999999,412530.98,606074.94,560934.8399999997,377750.6,594950.74,539607.88,558112.0,352739.24,311934.2
29,353076.96,446725.08,604634.4399999998,596600.48,416434.52,597862.28,576740.48,604183.0,360381.2400000002,310627.2
30,435302.2399999999,467297.22000000003,668611.3999999999,622104.88,433645.84,607046.94,637284.28,614120.0,435109.12000000064,312054.39999999997
31,505384.1999999998,520735.00000000006,690129.8,629952.2,470900.39999999997,616260.8,694650.0,631702.0,509399.40000000043,344601.0
32,564046.04,598669.3200000001,734414.4399999998,635867.96,506757.64,641016.2,740871.28,650291.0,580181.3600000002,439345.39999999973
33,600634.76,632433.6000000001,776793.36,667491.88,559191.9599999997,660991.4,741912.48,681021.0,604922.56,511333.3999999999
34,617874.3599999999,678019.52,783861.98,704119.04,584602.6799999994,679161.6000000001,768305.92,728558.0,608941.8,584975.8
35,636746.48,710533.76,786850.84,726082.84,627952.32,698090.88,785251.4,777813.0,630042.0,608211.6
36,643226.5999999999,741071.3,791203.0,772047.6,668568.9999999999,738207.1,786777.8,784099.0,635758.6,644406.0
37,668437.64,784739.84,795421.68,776094.04,695559.6,746505.6,787184.96,787172.0,650301.7600000001,690305.3999999996
38,697642.52,787582.68,799172.24,779466.64,722331.5599999998,778600.7200000001,791102.88,789686.0,658689.96,695760.6
39,714292.92,788627.32,801042.7999999999,780494.84,777533.96,785325.36,790323.16,794026.0,675543.6000000004,703046.8
40,766191.96,793800.78,814604.46,785049.84,778024.4400000001,787653.24,805015.88,794949.0,734224.4000000001,763434.6
41,765897.4,795986.2000000001,819155.2,788702.8,779326.4,790626.4,805354.4,799991.0,786368.4,766837.0
42,783850.74,797720.02,820422.66,791056.92,780582.52,793461.08,805880.92,799664.0,787987.88,777978.1999999998
43,786996.68,799628.96,821415.96,793925.24,781716.04,795901.04,809742.12,813304.0,792702.2000000002,786021.2
44,792529.74,813711.72,833772.8,807597.84,785535.4400000001,796956.02,810220.92,815149.0,794717.12,789044.6
45,795027.76,815844.88,836984.56,808354.44,792322.76,800259.04,814853.2,815586.0,794101.96,794307.6
46,794029.6,819222.8,839946.9,812526.8,795653.6,800171.7,818295.8,816686.0,800342.6,793736.0
47,797385.84,819774.56,844420.92,820022.28,796933.36,814840.52,820277.96,820644.0,800709.68,797257.4
48,800226.42,822113.5399999999,847616.22,822384.3200000001,810774.24,818488.52,825803.56,823490.0,801375.2000000001,799356.2
49,798797.52,821633.88,850470.64,822403.16,812606.16,821517.48,832642.32,824878.0,816100.68,799616.2
50,809180.0800000001,832375.66,852690.32,825436.4400000001,812592.72,824513.12,835780.84,829257.0,818070.84,804544.1999999998
