index,216_1_www.iso.org,216_2_www.iso.org,216_3_www.iso.org,216_4_www.iso.org,216_5_www.iso.org,216_6_www.iso.org,216_7_www.iso.org,216_8_www.iso.org,216_9_www.iso.org,216_10_www.iso.org
1,110.0,-113.0,-442.0,-442.0,-442.0,-442.0,-442.0,-113.0,-442.0,-442.0
2,-250.96000000000006,-330.06,-36.84000000000049,-618.36,-535.3599999999999,1413.3999999999999,-444.7199999999998,-233.10000000000005,-535.3599999999999,1141.4799999999996
3,367.0400000000009,1638.12,1362.08,1330.8,1327.32,1463.2,1333.64,287.4000000000008,1651.32,1444.24
4,1329.64,1421.22,1149.5800000000004,1564.54,1505.3199999999995,3814.999999999999,1440.6399999999999,1335.9,1505.3199999999995,3447.7999999999997
5,1555.0800000000002,1534.8000000000004,4030.6800000000003,4039.4,4107.24,3573.6,4093.48,1558.8000000000002,4107.24,3599.52
6,3709.0000000000014,4009.6,3737.099999999998,3638.1,3595.2,4723.5,3584.4,3618.0,3595.2,4132.7
7,3820.2799999999997,3769.9599999999996,5426.84,4122.36,4377.120000000003,5005.599999999999,4110.44,3869.7999999999993,4097.72,4976.32
8,4131.88,4711.580000000003,4842.76,5315.54,4827.72,4324.4,5084.919999999999,4086.4000000000015,5267.96,4206.280000000001
9,5208.640000000002,5137.52,4329.279999999996,4742.12,4205.68,6035.8,4431.48,4925.000000000002,4628.24,5981.96
10,5191.52,4517.46,6137.86,4123.76,6130.36,8347.1,5656.519999999998,5403.099999999999,4927.759999999998,8308.42
11,4537.8,6402.599999999999,8490.6,6063.8,5964.599999999999,8390.0,6051.2,4880.0,6106.599999999999,8314.8
12,6319.720000000004,6275.14,8378.94,8424.62,8103.240000000001,9265.999999999996,8346.88,4368.5999999999985,8466.44,8546.599999999997
13,7648.240000000002,8329.12,7968.3200000000015,8199.039999999999,8176.68,13700.199999999995,8263.84,6354.399999999999,8312.92,14140.52
14,8595.36,8493.98,12161.819999999994,7989.1399999999985,7495.719999999998,15909.2,7888.4400000000005,6601.600000000003,7953.320000000001,15893.64
15,8404.32,7613.239999999998,14132.36,8891.399999999998,11469.840000000004,16124.800000000001,11677.680000000006,8383.8,10687.200000000004,15552.68
16,8136.799999999997,12917.099999999999,15985.4,13696.800000000007,13871.4,16170.5,13965.800000000001,8541.5,13477.400000000001,16166.900000000001
17,8657.400000000007,14197.04,15842.679999999997,13815.24,15747.64,17857.600000000002,15908.28,8031.199999999999,15200.240000000002,18011.48
18,13443.360000000002,16002.419999999998,16410.940000000002,15601.86,15424.72,17814.0,15533.44,11533.000000000011,15566.72,17920.219999999994
19,14251.04,15807.839999999998,17469.879999999983,16156.720000000001,16304.72,18001.4,16445.44,14312.199999999999,16536.28,18393.08
20,16088.68,16539.98,17764.26,16249.34,15763.68,18222.4,15989.359999999999,14571.80000000001,16251.24,17814.96
21,15746.6,16415.200000000008,18714.2,17195.600000000002,17519.2,18824.0,17739.399999999998,16163.0,18099.8,19944.000000000004
22,16663.12,17743.54,18411.88,17642.82,18302.480000000003,18616.3,17837.2,16406.600000000002,17799.36,23396.520000000004
23,16382.16,18735.68,17982.16,18615.44,18307.760000000002,19841.999999999993,18599.76,16523.8,18661.88,28373.35999999999
24,18240.56,18590.64,20434.719999999998,18374.079999999998,18231.64,23813.100000000006,18359.32,16261.600000000004,18388.76,44200.439999999995
25,17878.12,18292.920000000002,23663.960000000003,18415.56,17797.32,23040.399999999998,19816.400000000005,18290.2,18020.279999999995,60703.28
26,18806.0,19125.0,27838.0,18999.0,19639.0,26607.0,24241.0,18377.5,19867.0,62426.5
27,18527.44,22443.40000000001,41892.95999999998,21987.20000000002,22969.800000000014,29636.6,24523.8,18771.399999999998,23757.159999999996,68609.52000000002
28,18346.919999999995,24489.40000000001,73135.05999999997,24849.179999999975,29022.679999999997,29404.4,32533.07999999997,18530.2,22862.440000000002,80489.45999999999
29,18475.200000000023,34057.84000000006,84854.96000000002,29298.239999999994,47165.720000000074,31115.8,58537.08000000005,18111.8,25604.40000000001,95202.03999999982
30,20077.399999999994,52056.63999999995,117227.75999999995,39752.80000000001,66744.12,63567.399999999936,78660.52,20361.499999999993,46257.11999999995,113501.11999999998
31,23547.399999999994,78800.79999999999,153334.0,60262.40000000001,79235.6,82286.0,86268.80000000008,23903.0,62757.2,126429.19999999994
32,31951.160000000065,95357.15999999999,153832.3599999998,72298.62,80561.24,127477.69999999985,117554.40000000002,27975.10000000001,62649.68,147776.86
33,45866.60000000004,119966.40000000001,187935.83999999994,74217.36,80377.12,144731.8,154557.12,39175.80000000003,62740.48,163930.11999999997
34,66384.92000000003,119861.64,194831.18,74046.86,82192.68000000001,163461.7,188482.72,61982.7,64094.28,187216.59999999998
35,80358.76,152707.08000000002,208674.03999999983,80437.24,100369.12,162476.8,216897.31999999998,61467.399999999994,64123.96,223706.51999999967
36,84898.00000000004,155862.1,230869.59999999992,80542.0,116943.40000000001,197684.0,222746.4,63468.5,82043.2,258345.9
37,105031.40000000001,158438.95999999993,267129.5199999998,115029.24,118034.76,221711.40000000008,224660.48,66793.20000000004,81260.92,274848.7199999998
38,104708.52,193032.31999999998,312811.42,117743.45999999999,117990.28,233068.30000000002,240540.76000000013,80777.7,83129.08,312511.35999999975
39,106680.56,228842.68000000002,343150.2799999999,117753.84,151146.0,236313.59999999983,275375.2400000001,80062.2,83255.88,362642.23999999993
40,108004.4800000002,263214.04000000004,378111.6,137299.31999999998,161005.36000000004,265992.4,292030.32,80263.00000000003,92828.80000000003,366527.56
41,133234.0000000001,298433.4000000001,387206.99999999965,151595.4,185121.4,265380.0,313560.00000000006,114524.0,122744.79999999994,400120.6
42,147672.36000000013,332557.7600000001,408854.75999999995,170260.07999999987,202290.72,281008.20000000007,354750.72000000003,123454.2,131281.04,429680.35999999987
43,176494.40000000005,382760.12000000017,429899.71999999986,193880.39999999997,218061.48,316321.6,358907.72,123313.6,144482.0800000001,448183.76
44,197278.8000000001,391208.38,447615.06,206254.83999999976,250161.72,335980.1,381849.63999999996,123393.4,168099.44,448194.46
45,213472.2800000001,393174.28,453332.19999999995,221034.32,254041.24,371733.6,424247.32,152351.8000000002,180099.55999999985,467939.3599999999
46,217731.0,420402.19999999984,482914.0,238606.59999999992,300007.80000000016,390385.5,438598.5999999999,181932.00000000023,214736.8000000002,484589.0
