index,218_1_moodle.org,218_2_moodle.org,218_3_moodle.org,218_4_moodle.org,218_5_moodle.org,218_6_moodle.org,218_7_moodle.org,218_8_moodle.org,218_9_moodle.org,218_10_moodle.org
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,4019.0000000000005,4040.16,4030.6800000000003,3059.600000000001,3427.4000000000005,4047.04,3917.000000000001,4036.72,4067.6800000000003,1945.1000000000004
3,4879.4,4014.84,6740.04,5625.44,5283.36,4639.28,4834.799999999999,4633.04,4359.76,5142.24
4,8320.300000000001,7841.62,10515.599999999993,6489.26,8628.96,8309.380000000001,8175.6,8677.539999999999,8377.26,6121.42
5,12061.6,11938.72,14222.559999999992,11695.400000000003,11974.76,11976.999999999998,11953.2,12210.0,11680.84,10744.800000000001
6,33777.0,35753.5,19792.8,12367.7,34455.8,33131.6,33701.0,33012.1,34098.200000000004,12039.1
7,34402.2,59642.08,41580.64,33195.36,35314.68,40431.95999999994,34293.399999999994,67926.51999999997,34496.16,32545.12
8,96429.79999999999,156219.52,41992.84,35720.479999999996,91950.44000000015,135890.3,94125.6000000001,186416.63999999998,131312.03999999983,36543.16000000002
9,167163.0,222064.59999999995,105863.95999999995,105756.76000000001,195178.36000000004,169735.04,198025.60000000003,260852.76,169679.52,124511.48
10,197655.60000000015,296593.7599999999,198909.91999999998,214882.32,266465.2799999999,247278.19999999992,276124.60000000003,294698.9200000001,236709.39999999997,177021.71999999997
11,239282.0,318602.0,280974.3999999999,303128.8,316086.0,275633.4,317929.0,317703.2,314790.8,260082.59999999992
12,318305.2,326029.56,319433.8,310935.54,320797.64,324947.34,321379.4,323812.48,321590.12,313604.78
13,323089.0,327199.6,327915.36,316820.12,323853.44,333628.44,322285.6,325470.24,326605.8,321304.92
14,332175.60000000003,366499.78,333147.19999999995,321866.46,337096.24,338434.38,333183.60000000003,355837.64,334847.02,322470.82
15,335130.8,367325.52,341582.32,323532.8,342302.24,345989.68,364370.2,367984.76,369757.6799999998,332068.32
