index,347_1_www.notebooksbilliger.de,347_2_www.notebooksbilliger.de,347_3_www.notebooksbilliger.de,347_4_www.notebooksbilliger.de,347_5_www.notebooksbilliger.de,347_6_www.notebooksbilliger.de,347_7_www.notebooksbilliger.de,347_8_www.notebooksbilliger.de,347_9_www.notebooksbilliger.de,347_10_www.notebooksbilliger.de
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,1539.0,-442.0,-442.0,-442.0
2,5152.42,5342.3,4964.96,4950.5199999999995,5573.6,4818.28,3046.66,5073.72,6906.5,4852.82
3,15135.12,15230.800000000001,14894.08,13279.800000000003,8754.400000000007,12533.68,9298.200000000006,15001.44,16605.0,13349.199999999999
4,19382.52,19317.600000000002,19245.68,19253.08,19045.440000000002,20315.839999999997,18523.84,19249.04,45187.5,19209.04
5,46258.11999999995,45764.0,47239.799999999996,54100.24,44246.32,45766.92000000001,43005.96,49978.72,77594.0,44255.04
6,127877.4,80093.5,105350.5999999999,81272.20000000001,75142.80000000003,50067.399999999994,46731.000000000015,101818.39999999992,143181.0,53605.2
7,222090.51999999993,106284.8,257211.36,148139.44,94011.16,95768.19999999998,102444.0,165095.2,216057.0,68529.28
8,312480.66,217543.5,292024.8,243090.80000000002,146723.20000000004,188027.56,174568.2,178099.58,346391.0,146103.19999999998
9,426772.96,327581.8,417858.12,328572.32,204727.68000000002,220646.16000000003,213339.40000000002,217332.15999999995,426349.0,313313.32
10,438623.47999999963,432836.2,426046.8,357275.28,275331.84,303844.4,323351.4,349238.6399999999,518454.0,425359.82
11,494244.0,477906.0,512062.7999999999,440101.4000000001,386634.00000000023,391742.80000000005,452954.0,440771.8,638157.0,454315.20000000007
12,601137.24,553817.7,637486.4,593946.92,465622.60000000003,480296.88,635351.0599999999,511692.12,663943.0,523860.42
13,652244.12,639191.4,657717.52,649718.72,590624.6,552412.9199999999,655381.6,644461.64,679306.0,641286.72
14,666786.72,668625.9999999999,669048.84,665613.2,641251.84,630065.8,678937.3,666167.36,686835.0,662735.94
15,678576.12,682944.8,685655.4400000001,681222.32,648806.2000000001,668839.56,680805.12,675265.24,699296.0,675203.28
16,683566.3,681678.5,689815.8,684305.6,674391.0,674450.0,688192.7,679437.9999999999,746802.0,688148.3
17,691980.88,696479.0,698146.3999999999,693196.8,678984.16,680153.36,710250.28,705558.52,811955.0,690129.16
18,718564.1199999999,701918.2,744372.06,738855.4,681470.88,710965.36,781428.48,725967.14,911771.0,702090.46
19,746946.48,771633.7999999999,754655.16,749267.36,701477.68,754114.2800000001,884415.5200000003,751329.8799999999,965873.0,743612.96
20,765212.7,785885.8,853220.6799999995,803144.2000000001,788437.84,797979.3200000001,903189.18,759846.1,1032932.0,752788.12
21,818947.7999999999,855857.0,912082.8,911702.2,877473.0,844227.6,911854.6,800282.5999999997,1041140.0,805578.6000000003
22,911671.3599999999,922820.2,917443.82,918885.4,879519.88,887532.12,918669.64,893716.1199999999,1075139.0,879949.5799999998
23,922929.08,930363.8,970379.7999999999,968225.7600000001,919344.72,968206.24,987532.6000000001,967426.2,1171254.0,919872.56
24,982506.7999999998,1024739.8,1006670.54,1013526.2000000001,977724.5200000001,1009838.2800000001,1038626.44,1007963.1,1177892.0,970248.7999999999
