index,187_1_www.python.org,187_2_www.python.org,187_3_www.python.org,187_4_www.python.org,187_5_www.python.org,187_6_www.python.org,187_7_www.python.org,187_8_www.python.org,187_9_www.python.org,187_10_www.python.org
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,1484.46,1420.54,1418.96,3950.500000000001,4040.16,1529.96,1442.66,1528.1399999999999,1149.5800000000004,1395.26
3,3622.3200000000006,3760.08,4005.16,4650.4,4326.5199999999995,4131.64,3601.68,4133.76,4832.959999999998,4067.3199999999997
4,5041.82,5590.42,5268.84,8075.3,8091.0199999999995,4409.32,5194.38,4435.38,6178.100000000001,5123.74
5,6090.96,6588.04,4422.04,14402.400000000003,17389.04,8309.6,6654.64,8360.400000000001,7858.92,6362.76
6,8274.299999999997,8420.699999999999,8410.199999999999,17759.5,19345.000000000007,11119.00000000001,8517.7,10943.99999999999,17461.399999999998,8280.300000000001
7,13461.48,10582.880000000006,7679.840000000001,34337.20000000005,55504.44,17204.44,11546.32,17226.96,17942.68,10999.560000000001
8,18248.08,14969.32,12855.32,52940.799999999996,74931.59999999999,17822.2,15640.300000000001,17870.3,34522.959999999985,17732.079999999998
9,17990.6,18515.92,15802.68,71854.0,108838.48,27251.04,18078.2,36546.35999999996,52574.76,18216.2
10,33000.52,18039.8,18021.16,99180.2,163119.02,55982.760000000024,40529.899999999994,52624.020000000004,79366.11999999994,17871.48
11,62624.00000000003,24051.599999999984,23437.20000000005,143912.0,195631.80000000002,64816.6,42382.400000000016,59258.199999999924,132962.99999999997,23516.600000000002
12,81926.16,37207.78,44849.24,181486.90000000002,241430.90000000002,98214.56,56829.319999999985,89659.3,179220.3,31821.92
13,116863.31999999998,58645.159999999996,75805.12,222793.4,251732.76,116628.43999999999,66416.04000000001,130067.79999999999,199850.48,31355.480000000003
14,150794.3,65707.02,77656.40000000001,236316.3,286020.92,130060.6,90035.84,195730.81999999998,203888.44,36200.56
15,193264.80000000002,107664.4,104854.76,238617.0,327984.24,186533.08000000002,114019.20000000001,203311.15999999995,213209.76,62105.40000000007
16,201703.40000000002,139227.9,123512.00000000001,292280.5,362733.8,196097.0,134983.39999999997,254732.8,219730.6,92461.40000000005
17,203995.32,174987.6,132119.24,298086.60000000003,384009.83999999997,206645.6,153195.4,262008.96,257624.56,103434.40000000001
18,216727.94,194183.02000000002,155380.76,357376.3,411537.3,232548.96000000008,177682.24000000002,268657.07999999967,289089.87999999995,136865.88000000006
19,221313.0,201225.24,179616.71999999997,392150.2,422959.39999999997,237926.6,198282.2,293782.84,356382.39999999997,159073.2
20,252269.58,202576.26,216507.48,406017.5,462697.82,239239.63999999998,212814.09999999998,295617.54,383931.48,196926.46000000005
21,274142.80000000005,210692.19999999998,234745.40000000002,414947.0,470757.2,239840.2,226508.4,304608.0,406217.0,219521.2
22,305346.10000000003,212740.1,237972.04,437028.00000000006,473447.46,272962.96,240873.12,315550.7399999999,426986.82,246072.82
23,362661.1600000002,232663.76,255470.96,464627.6,479500.88,285995.2,246635.8,365753.3999999999,429745.56,249507.6
24,388254.30000000005,265451.87999999983,269293.56,466223.5,490019.98,325070.16000000003,265174.63999999996,397373.72,438800.48,291230.42
25,405311.4,303463.4,273400.36,473312.6,497289.08,344489.44,267945.44,401072.12,458319.08,293709.56
26,406995.5,354250.5,291387.0,474595.5,498759.5,347048.0,269196.5,414216.0,459309.5,295187.0
27,408989.24,356715.36,292791.96,489148.8,515005.8,382855.28,295492.64,432825.44,463915.8,295104.68
28,422500.84,362658.95999999996,310702.68,496414.9,513714.66,410590.12,296933.44,436151.94,473180.82,313680.2800000002
29,430530.16,383164.92,339927.04,498473.0,515054.12,424569.28,312704.2,437767.12,475066.36,362606.24
30,448426.1600000001,406362.46,345863.60000000003,503298.4,521111.16,437046.4,323147.1,464914.19999999995,475973.98,366791.54
31,453351.4,412386.2,352262.0,507611.0,526576.0,452173.20000000007,330396.0,469367.0,488643.4,382093.60000000003
32,462169.06,421864.96,367832.12,519363.3,539164.06,458584.56,336314.34,478559.04,493139.82,384612.18
33,466384.4,438911.75999999995,397022.8400000001,516901.4,536709.6,467061.04000000004,362214.8,478433.04000000004,494871.4,388294.3200000001
34,473276.72,460003.18,416889.84,533270.3,553736.7,470313.48,386147.32,480325.38,499487.7,421313.96
35,472830.6400000001,462305.4,439599.0,539376.4,557711.04,477346.96,403038.28,482459.1999999999,515071.64,437074.44
36,475421.4,467248.5,459230.0,541573.5,561478.4,480659.0,420716.5999999999,489593.8,512953.4,435505.1
37,490564.52,469524.76,463282.88,541741.8,559721.48,481236.48,441404.12,496191.52,513313.08,437221.2
38,492000.72,471549.04,466570.88,542659.0,567737.4199999999,491386.52,459143.7800000001,504259.67999999993,528710.7599999999,453822.57999999996
39,493884.12,471091.84,470889.92,560039.4,581397.7599999999,490869.76,471563.51999999996,505083.32,533345.88,463289.2
40,495370.80000000005,472460.76,472688.04,563710.4,586487.0599999999,495002.56,479115.42,508755.44,535263.18,468912.58
41,499009.2,482811.7999999997,474389.8,567112.0,627587.0,500338.6,480575.4,520032.2,535343.6,473703.4
42,500088.20000000007,493962.76,474121.52,589534.0000000005,664356.8399999999,504237.04000000004,482010.06,518345.52,539107.18,479733.72
