index,57_1_www.flickr.com,57_2_www.flickr.com,57_3_www.flickr.com,57_4_www.flickr.com,57_5_www.flickr.com,57_6_www.flickr.com,57_7_www.flickr.com,57_8_www.flickr.com,57_9_www.flickr.com,57_10_www.flickr.com
1,-442.0,67.0,67.0,-442.0,67.0,67.0,-442.0,67.0,67.0,-442.0
2,372.1600000000003,975.6399999999999,662.6200000000001,2478.2000000000003,636.8799999999999,533.0,486.7599999999999,722.02,418.39999999999975,4351.120000000001
3,5856.519999999998,4580.84,5709.2000000000035,6786.6,4632.7999999999965,5758.0,5345.800000000001,7183.280000000001,6400.000000000003,6559.44
4,11043.199999999999,8685.799999999996,11630.02,12744.0,8376.199999999999,28786.0,11382.44,11846.66,11064.4,13928.96
5,18545.599999999995,13997.84,26551.32000000001,46526.4,16913.599999999995,79837.0,50590.68000000002,46892.44,48640.00000000002,46048.96
6,101738.59999999993,82150.1,57593.2,111402.0,43533.999999999985,92050.5,76632.2,46358.2,108733.0,66438.9
7,110162.28,94633.83999999997,108681.72,110301.8,99234.64,106079.0,105514.56,93926.07999999999,106268.4,107610.44
8,109641.38,107522.02,111251.62,107301.6,109387.88,108271.0,107724.68,93677.02,107799.2,111299.84000000003
9,107115.84,110582.84,111763.28,117128.4,112217.04,116460.0,110909.08,113530.84,110623.4,116424.24
10,113744.28,114834.12000000001,118137.72000000003,121308.2,112670.36,123583.0,115511.07999999999,121337.11999999998,115548.8,123033.46
11,118843.19999999997,118982.59999999999,126992.80000000003,128140.0,118051.40000000001,127158.0,119930.19999999997,127677.59999999999,122275.0,127533.8
12,127371.11999999998,125095.48,129511.22,132779.19999999998,123642.28,133035.5,124138.84,130520.62,126997.8,133294.78000000003
13,129632.76,127859.04,132202.16,135955.99999999994,128666.76,130036.0,126763.36,131364.80000000002,130687.6,133638.4
14,133953.78,133032.34,141968.66,142434.2,132482.08,126262.5,131939.76,145778.24,132628.2,132432.26
15,136757.68,139073.88,141477.32,140734.0,134090.59999999995,143324.0,138216.72000000003,145015.96,230264.4000000001,171116.60000000003
16,172264.8,138107.2,141243.5,207297.0,140129.8,156105.0,140291.4,153768.40000000023,305796.0,224334.7
17,241891.36,136417.48,211129.28,233499.0,139240.48,159740.0,139059.32,268435.60000000003,384575.60000000003,238163.68000000002
