index,333_1_www.wetter.com,333_2_www.wetter.com,333_3_www.wetter.com,333_4_www.wetter.com,333_5_www.wetter.com,333_6_www.wetter.com,333_7_www.wetter.com,333_8_www.wetter.com,333_9_www.wetter.com,333_10_www.wetter.com
1,-442.0,-277.0,-442.0,-442.0,150.0,-442.0,-442.0,-442.0,67.0,-442.0
2,5445.68,5852.44,14116.16,9703.199999999999,6233.78,6062.86,8371.88,9143.400000000003,14047.499999999996,14142.800000000003
3,45951.52,46438.840000000004,45787.880000000005,39679.20000000001,44627.48,43378.68,44149.68,45638.84,42480.2,45214.56
4,50337.840000000004,50821.76,54027.96,50583.799999999996,42951.54,48475.02,43137.52,53295.72,56250.199999999975,55470.08
5,65190.12,56663.76,70518.88,62882.200000000004,59863.12,72483.84,56564.719999999994,72168.68,65611.6,86842.68000000001
6,92955.59999999999,64840.200000000004,109791.99999999996,70433.0,74111.4,73168.2,73709.6,127888.6,103225.0,229822.80000000002
7,95604.08,109842.4,241533.44000000003,120058.2,81365.8,151024.47999999998,96016.72,284403.39999999997,192148.99999999997,485343.8
8,130713.52000000002,125528.59999999999,372659.2,226996.0000000001,145590.48,334659.7,120548.44000000005,471299.12,371345.5,618013.92
9,228335.16,157492.83999999997,555697.8799999999,397473.0000000002,386463.16000000003,523963.56000000006,224472.44,625621.36,556228.0,686036.0800000001
10,394561.11999999994,316974.76000000007,704938.5599999999,536117.8,559761.36,700992.54,439304.2,719027.4,704699.1,769661.6
11,615245.2,492600.6000000004,814937.2,630106.0,708589.6,793408.2000000001,610520.6000000001,725612.8,727184.0,794765.2
12,739221.76,657880.16,823564.52,725617.0,730218.52,830813.1,727547.8,747423.92,830317.2,893195.08
13,755502.36,743346.04,858073.6800000002,827282.0,735689.88,890445.36,739535.08,870806.8799999995,878091.2000000001,937455.36
14,767666.76,861870.2400000001,929310.56,837896.4,757422.1000000001,915685.96,748750.04,934438.6,930030.3,966661.72
15,881585.8,885367.16,936653.48,896591.6,763820.2,936414.44,768473.64,975979.8,999888.6000000001,1133669.16
16,948606.0,915223.0,963531.1999999997,922801.0,905498.1999999998,964362.0,789556.8,1085342.2,1055744.5,1151094.0
17,965143.32,945495.64,1100378.3599999999,934857.2000000001,943303.16,1064091.36,940631.0,1319982.2,1123506.4,1256079.64
18,1073990.04,999665.5599999999,1284556.36,959664.8000000006,968013.2000000001,1267424.36,956324.28,1453361.56,1204460.5,1274351.8
19,1296578.88,1005523.68,1404618.04,1102013.2,1126468.8399999999,1487091.9999999998,986195.24,1480879.92,1320709.5999999999,1430771.8
20,1344495.92,1115462.6,1516457.4,1245661.0000000002,1287522.06,1778962.52,1060621.28,1564133.2000000002,1490887.7,1693700.4800000002
21,1392057.4,1223733.8000000005,1581075.4,1441633.0,1295655.8,1983769.4000000001,1121134.6,1785985.0000000014,1657662.0,2011972.4000000001
22,1474376.96,1474509.3599999999,1678623.0399999998,1602537.6,1374670.38,2184667.62,1247312.04,2048216.1600000004,1724779.8,2378623.56
23,1499085.04,1658393.2,1805648.92,1725466.4000000001,1454936.16,2228472.48,1259788.96,2250053.6,1876359.5999999999,2409991.76
24,1634263.2400000002,1749868.96,2028047.0399999986,1921232.8000000003,1590127.1600000001,2293841.44,1275818.6800000002,2388799.84,1941981.1,2414752.24
25,1746043.76,1826931.52,2178974.16,2076743.7999999998,1781364.52,2373159.4,1387388.04,2400292.08,1990220.3999999994,2434541.72
26,1928577.0,1939816.0,2249129.0,2200141.000000001,1888787.0,2427769.5,1597855.0000000002,2410000.0,2100631.5,2436046.0
27,1993117.68,2001481.44,2411010.92,2269852.0,1965859.0000000005,2432929.04,1819488.680000001,2422301.92,2136061.9999999995,2451013.36
28,2041493.1199999999,2108758.24,2425884.5599999996,2327870.000000001,2138312.76,2441606.72,2074721.0000000014,2425407.12,2185394.3,2489771.84
29,2183512.36,2242442.3599999994,2434015.64,2376854.0,2371594.92,2456991.2399999998,2235142.56,2446088.24,2254523.2,2485256.48
30,2318616.44,2416476.5600000005,2445900.68,2415013.800000001,2385202.22,2472631.84,2428713.92,2459362.56,2341704.2,2508078.44
31,2412599.8,2429378.8,2445904.2,2424905.0,2397223.8,2471937.8,2428597.2,2507298.0,2402544.0,2513325.2
32,2457703.4000000004,2465622.12,2506099.4,2428019.2,2446009.18,2499179.2,2439477.08,2508428.84,2488526.7999999993,2530964.2
33,2482394.84,2472556.68,2515471.6,2436616.6,2451268.28,2532950.2,2449481.4,2546369.1600000006,2543093.8,2542452.72
34,2490211.1999999997,2476756.52,2517906.6,2436815.4,2449404.94,2536210.2,2461530.04,2592888.48,2550619.2,2544805.0
35,2502917.88,2487539.64,2528802.28,2448886.8,2459270.6,2548407.12,2461823.92,2632637.0,2558500.6,2568472.64
36,2520555.8,2496855.6,2539202.0,2443964.0,2482646.0,2595729.800000001,2480988.8,2695426.4,2574052.5,2575738.4
37,2527145.44,2498176.04,2561547.68,2463819.0,2506471.72,2724957.119999999,2507321.8000000003,2931027.3200000003,2633859.3999999976,2598766.32
38,2557671.44,2503794.52,2568391.36,2501938.6,2530844.68,2753079.8,2521177.56,3225882.16,2887667.5,2787074.4
39,2564379.88,2531632.8000000003,2733935.2399999993,2606215.2,2532974.08,2761777.72,2535057.56,3232007.6,3078109.2,2802002.8
40,2569624.68,2537603.32,2762207.88,2654131.8,2531773.2,2770387.26,2562850.4000000004,3242172.72,3087668.8,3099184.16
41,2588838.8,2546960.8000000003,2771632.4,2717455.0,2556165.2,2815444.2,2619461.4,3251822.4,3124457.0,3311287.6
42,2606690.04,2578984.32,2781419.6,2732500.6,2558677.16,3009911.96,2629946.32,3278927.2,3284389.2,3321965.72
43,2609537.56,2582343.8,2787624.96,2748530.4,2572038.28,3108776.36,2655374.6,3291803.92,3337094.6,3328109.6
44,2673018.92,2590053.0,2816621.44,2754426.1999999997,2580394.66,3283566.58,2715355.36,3297143.08,3347594.8,3337211.7600000002
45,2866443.4799999986,2621077.24,2861484.92,2759215.2,2595872.8,3296664.96,2765619.6000000006,3308214.2,3349719.4,3339885.96
46,3118621.6,2704223.6000000006,3154360.3999999985,2902573.0,2630592.2,3306897.3,2781491.2,3344564.2,3352967.5,3548251.0
47,3225484.08,2758513.68,3313506.8,3019308.6,2742681.4,3313103.56,2786620.52,3496160.480000002,3366920.8,3580338.48
48,3308875.16,2796620.68,3317222.04,3234165.2,2801999.46,3341068.9200000004,2795465.7600000002,3571463.8800000018,3411556.4999999995,3579957.92
49,3310623.0,2819615.88,3513583.2399999998,3269098.4,3016027.160000002,3346049.8,2801093.76,3590409.5999999996,3420912.2,3591800.8
50,3310908.32,3011388.48,3534410.2,3277417.6,3284731.26,3348487.66,2808339.84,3597679.0,3434448.6,3644907.84
