index,233_1_www.msn.com,233_2_www.msn.com,233_3_www.msn.com,233_4_www.msn.com,233_5_www.msn.com,233_6_www.msn.com,233_7_www.msn.com,233_8_www.msn.com,233_9_www.msn.com,233_10_www.msn.com
1,-442.0,-442.0,67.0,-442.0,-442.0,-113.0,-442.0,-442.0,-442.0,-442.0
2,1506.3,1411.06,1587.9,3997.360000000001,1516.1000000000001,1334.32,1540.8799999999999,4018.699999999999,3942.12,4022.04
3,3922.2000000000007,3837.1200000000003,4170.64,8382.52,3790.3999999999996,3882.64,4118.92,4936.84,6600.72,4216.320000000001
4,4638.1,5245.78,5723.46,18727.44,4728.7,5132.76,4617.96,8413.78,11004.599999999997,7752.76
5,8533.199999999999,4193.080000000001,5597.319999999999,59921.72,8637.4,6888.120000000001,8664.72,19378.76,34564.079999999994,18975.92
6,10717.0,8360.2,8525.9,59460.200000000004,13904.5,8317.400000000001,9615.999999999998,40613.39999999996,59010.4,49762.599999999984
7,18947.0,7457.240000000002,10414.600000000002,65420.96000000001,19870.0,19395.8,19285.84,58913.52,59270.84,58465.28
8,37122.000000000015,18657.199999999986,19427.84,69899.28,61185.9,19988.600000000002,46648.87999999998,58824.42,65251.94,61452.840000000004
9,59463.6,27985.199999999997,32725.8,75125.60000000002,59281.4,50802.84000000001,59973.92,59498.08,68742.52,64305.96
10,57660.6,60930.82,60573.56,77737.08,59709.39999999998,59199.96,60422.12,65603.62,71200.14,68330.32
11,58928.0,59287.8,61332.6,135638.59999999998,61283.0,60092.2,59379.4,69820.40000000001,81530.4,71862.2
12,62579.700000000004,57883.46,60577.82,192051.28000000003,65443.6,58587.52,60155.92,73363.74,83031.19999999995,80759.2
13,64505.2,59206.72,59058.159999999996,196205.84,67732.19999999997,60296.56,68858.64,78686.56,126537.35999999999,91122.48
14,70825.4,65796.78,60158.26,201020.60000000003,71439.7,66767.88,68474.36,88043.0,178860.00000000006,114900.76000000001
15,70135.8,65306.12,65084.11999999999,222198.80000000002,69739.4,66084.88,72586.08,103340.2,200979.43999999997,154474.9199999999
16,71576.5,69705.9,68457.9,230862.6,79517.5,71888.2,72717.20000000001,138385.39999999997,260120.0,185831.79999999996
17,71395.00000000003,69389.76,69972.32,241159.52,86248.2,71744.48,80686.71999999999,184447.91999999998,262912.88,214299.39999999997
18,82356.40000000002,70592.02,72605.09999999999,257218.08,92782.69999999998,72834.07999999999,101355.12,219183.59999999998,303098.14,249921.55999999994
19,107508.40000000002,71625.72000000002,74397.44,291425.88,106494.39999999997,79530.84,106679.8,252093.91999999998,334320.88,309372.6
20,117966.4,73683.06,72279.4,333611.6400000009,115403.00000000001,80241.40000000002,136752.24,290117.72,368759.83999999973,349488.3599999998
21,115186.0,82718.3999999999,94371.19999999995,402136.60000000015,128438.0,96728.79999999999,148306.4,374238.1999999999,409095.4,388406.8
22,121284.40000000005,100198.95999999998,109687.33999999994,407883.44,152585.9,116894.56000000004,154283.6,399634.8,406565.94,400293.08
23,167588.2000000001,101473.87999999996,114733.6,416944.88,154238.99999999997,138461.39999999994,165721.5599999999,414895.88,426759.68,418062.04
24,195545.2,112066.64,118663.9,441716.27999999997,169504.49999999997,157602.28,188141.36,417167.42,477246.0399999998,427919.36
25,197010.00000000003,129280.11999999991,138582.76,475112.24,190559.99999999994,193515.2,200126.67999999996,423849.24,498552.72,440651.52
26,215287.00000000012,150821.0,155282.0,523590.00000000076,206630.5,197135.0,219204.0,427206.0,523058.5,483531.0
27,220391.6,162916.0399999999,160363.55999999997,600717.48,205057.8,195246.56,221719.32,429892.92,535320.44,496097.04
28,223168.9,177112.28,178386.56,644006.7600000004,221206.3,196495.56,222735.44,483410.89999999997,535341.38,505201.3999999999
29,224927.00000000006,189146.12,202596.51999999984,666086.12,224629.99999999997,199233.40000000002,225232.63999999998,511148.6,541534.5199999999,559181.5999999999
30,232216.8,201153.86,206042.13999999998,674169.16,230769.4,215767.83999999997,231175.16,543275.48,558065.34,598593.2399999999
31,234203.0,201746.4,221928.4,674511.2,232897.0,222327.6,230561.6,599123.6,569250.0,604649.3999999999
32,234686.6,200862.8,223799.62,689711.8800000001,247443.1999999998,226479.71999999997,231810.32,599972.24,581369.18,609198.5199999999
33,239505.8,205880.67999999996,227931.19999999998,759831.2000000001,287808.39999999997,230608.72,236182.04,603550.6,623496.2,608197.44
34,242264.50000000006,208048.06,230847.66,782598.9200000003,326464.2,231218.88,234977.96,607974.48,627181.88,614045.96
35,280690.80000000045,220547.16,233007.08,857464.2000000004,349977.8,232864.28,248370.68,640931.4,642536.4,616720.8
36,303080.5,223615.99999999994,233699.7,925937.2,351256.5,239756.6,267996.8000000001,651373.1,681990.6,620221.3999999999
37,359772.2000000001,227491.16,241853.28000000003,945687.76,380818.99999999994,241322.52,298800.04000000004,664726.36,705928.4,664069.76
38,413241.50000000006,229673.32,270245.06,953505.4,398779.7,268603.55999999994,318323.6,664802.46,722972.7000000001,673220.44
39,449660.20000000007,229922.44,280963.04,990345.2000000001,430917.0,282411.6800000001,339164.12,673403.88,733511.7999999999,687325.88
40,478178.60000000015,235237.94,302029.36,992742.0400000002,462416.6,298296.36,342878.48,675605.94,748019.9400000001,688408.32
41,489443.0,238611.99999999994,329677.19999999995,1019025.6000000003,486105.0,316984.8,349448.59999999986,675426.0,775323.2,691703.4
42,539635.4000000001,246745.76000000004,336560.5199999999,1084650.04,507995.29999999993,326811.56,363926.88,673032.7999999999,804012.64,691387.92
43,546186.2,249960.12,354697.19999999995,1089173.92,530913.4,330876.36,367908.96,686645.32,804951.48,691701.4400000001
44,547109.2,255810.94,374747.1,1091905.32,531729.8,331316.92,410004.84,686373.3,807459.16,701749.6
45,553786.8,264633.03999999986,383829.04000000004,1095820.76,535360.4,333834.08,413227.0799999998,689262.68,817271.4399999998,741334.8799999997
46,553456.5,285615.5,384756.9,1095148.4000000001,537341.5,338261.6,427366.0,720394.2999999998,828148.3,752604.2
47,552303.8,302970.12,390739.92,1111995.0,537807.6,349659.04000000004,428860.60000000003,790974.04,834845.0399999999,750957.76
48,559940.6,322651.4999999999,403626.36,1154132.56,551902.3,365320.6,474673.75999999966,827590.1999999996,852157.4399999995,750370.96
49,563096.6,352897.04,405541.96,1158410.72,554171.7999999999,379526.4,526583.6,860482.48,928592.0799999998,806444.08
50,563521.0000000001,382700.45999999985,418586.98,1168555.76,555472.0,399470.52000000025,559843.6799999999,858811.24,960913.7999999999,867128.1599999999
