index,282_1_www.ing-diba.de,282_2_www.ing-diba.de,282_3_www.ing-diba.de,282_4_www.ing-diba.de,282_5_www.ing-diba.de,282_6_www.ing-diba.de,282_7_www.ing-diba.de,282_8_www.ing-diba.de,282_9_www.ing-diba.de,282_10_www.ing-diba.de
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,1466.36,1343.6200000000001,1526.32,1570.0,1429.8600000000001,3018.2000000000016,1445.82,1486.28,1493.56,3651.7999999999993
3,3569.28,4129.52,4135.88,4191.0,4830.999999999999,4948.44,3597.36,3650.7200000000003,3749.44,5189.4400000000005
4,4945.360000000001,6462.76,4432.44,4706.0,6006.480000000002,8381.52,4767.32,4397.76,4555.52,10173.04
5,6198.44,8503.88,8405.32,8392.0,8468.64,15648.400000000016,7301.28,8446.32,8556.64,12346.559999999992
6,7932.2,21323.8,10735.999999999989,16754.0,17912.999999999985,24723.2,9167.9,8248.999999999996,9210.999999999995,16364.699999999999
7,21266.72,24854.96,22644.48,22944.0,24941.56,24742.24,16994.52,23085.48,23183.96,30840.4
8,24849.12,24877.18,24588.64,23541.0,24884.54,25914.920000000002,23678.580000000005,24623.88,24823.76,31249.04
9,24830.16,26387.44,24764.120000000003,25032.0,26366.32,59193.96,25278.88,24806.36,24942.16,32901.68
10,25481.960000000006,33059.66,26377.88,24926.0,33083.98,74684.64,25241.78,26189.88,26437.12,34053.46000000001
11,29942.00000000003,58334.4,47986.79999999987,26318.0,58415.8,92713.6,27132.8,32388.600000000002,32883.2,67184.2
12,59257.8,77301.12,58254.36,59784.0,73030.94,141008.32,36404.19999999997,58968.64,59182.28,83466.04
13,75677.76,93342.79999999999,75697.2,60608.0,89029.76000000001,224521.12000000017,59393.719999999994,62528.840000000004,75599.92,123715.31999999988
14,77400.68,156436.7599999999,91634.32,105118.0,107854.23999999999,285514.60000000003,60767.7,92989.31999999999,77490.59999999999,172578.83999999973
15,95329.64,228935.91999999995,148326.96000000002,147607.0,133567.4,298216.12,95663.72,115465.68,110799.32000000004,284508.6
16,156190.59999999992,284462.5,257321.99999999997,182779.0,166270.90000000002,342754.20000000007,105374.4,172481.4,190048.40000000008,308648.5
17,225265.63999999996,300548.6,295751.2,238740.0,229249.43999999997,426727.0800000002,175922.56,207685.68000000002,265289.92000000004,374494.51999999996
18,285975.56,368106.95999999996,300379.2,284878.0,269963.83999999985,495057.24,239655.56000000003,278374.3600000002,284319.2,426735.59999999986
19,295870.16,463595.36000000004,350028.36,304112.0,329737.68000000005,506047.96,291294.8,295582.4,289398.0,469293.99999999977
20,300140.8,505968.64,378339.24,401069.0,382335.12,509058.96,301270.64,329522.96000000014,349636.04,514921.68
21,336271.2,507207.8,416797.7999999997,495598.0,415140.6,516475.8,361847.5999999999,380186.8,417630.6,518658.6
22,402495.0399999999,517032.34,449677.16,506784.0,452057.08,523981.6,440988.08000000013,427906.00000000006,442668.28,526662.84
23,481804.87999999983,516126.6,490910.64,508986.0,477503.56,525723.4,497228.95999999996,451854.48,465091.96,532046.0
24,503644.39999999997,522623.6,505998.52,516702.0,482608.4,536040.04,508119.88,476784.32,495095.92000000004,547255.38
25,507819.88,539871.12,511828.92,518076.0,505726.4,545300.9600000001,509406.24,495471.52,498175.88,562242.2
26,509774.0,547886.0,516458.0,522267.0,515381.0,590900.0,517464.5,507335.0,496864.0,604027.0
27,515793.12,590671.96,525228.76,540460.0,516594.88,602075.12,519122.28,509333.32,504831.52,622660.72
28,517316.24,608554.04,553903.96,570787.0,554886.14,621873.92,520226.74,514860.96,515381.44,629721.82
29,524256.39999999997,622485.76,555511.16,590803.0,556222.8,624963.88,523390.12,521560.2,516564.24000000005,635268.92
30,532648.84,629521.22,563660.9999999999,601672.0,575854.82,629000.36,534491.94,529043.16,544053.24,642910.7199999999
31,544418.0,634362.2000000001,575775.0,605082.0,589424.6,632367.6,565146.0,554045.2,549610.0,676855.3999999999
32,570791.4,636480.98,590864.4,609672.0,595142.1,636860.84,571990.94,555732.68,559473.72,748188.18
33,591768.6,640298.44,603192.24,612848.0,601738.52,658773.1200000001,587824.24,581861.6,581800.64,753342.9599999997
34,602704.5199999999,644237.78,604385.76,630671.0,637113.6,745295.68,599961.04,590892.12,591057.96,771525.98
35,603458.04,644161.0,611290.68,649292.0,692303.1999999996,768789.56,604832.88,602120.04,592659.04,770276.7599999999
36,608829.6,688729.1999999998,614989.5999999999,703347.0,711157.9,770928.2,606459.5,603904.8,598281.2,772960.1
37,610567.96,740791.0,710039.9199999997,756637.0,713734.6000000001,769412.4400000001,610184.16,609398.16,599602.72,783298.12
38,613196.3599999999,761535.78,714299.76,761049.0,733012.84,771660.3200000001,629619.34,610845.0,601459.28,786948.7
39,629668.28,762942.04,732185.32,763925.0,749079.84,777806.68,631510.36,638056.6000000001,621154.72,802596.04
40,654801.24,766337.58,759549.96,765761.0,752811.06,795801.16,654919.76,682911.4,656045.68,806224.14
41,685151.0000000001,774526.4,761769.2,766997.0,763155.4,797322.6,714621.9999999999,712660.8,729250.8,806508.9999999999
42,739905.08,787727.78,762900.4,763201.0,763622.02,799417.2000000001,760012.46,714675.88,750030.56,814388.52
43,759097.48,791586.16,766671.44,775063.0,774254.6000000001,810881.44,761783.76,734904.2000000001,751269.28,823051.32
44,762304.76,790274.96,769037.76,788766.0,777780.56,812131.04,763895.96,760287.56,754689.32,824303.74
45,762898.44,797598.64,774176.64,801743.0,785141.7999999999,816033.8,763260.0800000001,761868.72,756959.8400000001,823892.88
46,761356.4,805689.3999999999,783687.3999999998,802854.0,787976.6,815537.0000000001,762982.9,766116.0,759804.6,826940.8
47,762840.56,810812.28,788100.36,804004.0,788586.28,824312.48,763629.52,765432.32,757740.4,830605.72
48,764318.92,812405.38,788688.04,805388.0,792988.3,824609.04,765817.2,766998.76,760298.4,845234.02
49,768307.12,815949.6,791846.84,808904.0,792675.28,830562.16,775467.4400000002,772494.68,761862.68,847594.68
50,774255.2,815577.42,793376.92,810664.0,796244.24,843096.96,783100.9000000001,778941.88,762606.8,851852.34
