index,100_1_www.paypal.com,100_2_www.paypal.com,100_3_www.paypal.com,100_4_www.paypal.com,100_5_www.paypal.com,100_6_www.paypal.com,100_7_www.paypal.com,100_8_www.paypal.com,100_9_www.paypal.com,100_10_www.paypal.com
1,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,326.76,1608.92,1536.6,1490.8,1594.12,1629.64,1614.84,1611.88,1570.44,1149.8600000000001
3,32.639999999999844,1190.88,1143.32,2504.4000000000005,1159.76,1382.9600000000003,1245.7600000000002,1218.3200000000002,1223.1200000000001,4472.12
4,1916.88,509.68000000000006,2466.36,4457.6,280.48000000000025,551.5799999999998,601.3600000000001,926.2400000000013,2085.120000000001,6141.160000000003
5,1065.04,4525.2,4572.48,5907.2,2300.92,2287.4,4713.44,2686.08,4589.04,8473.92
6,4925.8,4306.900000000001,4602.6,6046.0,4385.900000000001,4556.2,4369.5,4605.099999999999,4520.7,9866.699999999999
7,4872.76,4056.32,10233.959999999995,7905.5999999999985,3711.9200000000005,4533.44,4091.7999999999984,4588.600000000002,6955.800000000001,17466.36
8,7498.52,8657.919999999998,11676.64,10365.4,6700.800000000005,7012.72,6991.96,6691.14,12355.440000000006,24372.96
9,7525.24,9766.399999999998,14211.360000000002,11839.0,7104.16,6629.92,7097.84,8039.799999999998,12014.84,24072.319999999996
10,8788.200000000008,11926.22,14002.880000000001,14896.999999999998,11748.44,6235.22,8608.659999999998,9777.619999999999,13581.74,29834.500000000007
11,14453.799999999997,14381.199999999999,15449.000000000004,16597.0,13443.800000000001,10537.999999999996,12150.199999999993,15761.199999999999,14378.200000000004,37178.2
12,15881.16,14698.139999999998,21370.76,16289.2,15268.98,20470.46,20468.559999999994,17174.22,19402.280000000013,35285.72
13,22346.72,22443.96,23356.72,18736.4,17510.88,22032.920000000002,22361.08,22669.44,22464.56,35884.24
14,23015.12,22135.96,23841.12,20165.4,19888.94,22920.68,21875.94,22337.44,21924.6,39601.82
15,22858.4,21898.399999999998,23471.4,20396.4,22406.4,22581.96,23603.76,22176.68,32959.880000000034,48702.840000000004
16,28050.799999999996,29563.999999999996,42326.0,23194.0,43897.59999999997,22399.899999999998,24357.4,29575.000000000004,42886.000000000015,48943.9
