index,277_1_www.sparkasse.de,277_2_www.sparkasse.de,277_3_www.sparkasse.de,277_4_www.sparkasse.de,277_5_www.sparkasse.de,277_6_www.sparkasse.de,277_7_www.sparkasse.de,277_8_www.sparkasse.de,277_9_www.sparkasse.de,277_10_www.sparkasse.de
1,-442.0,-442.0,256.0,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0
2,2687.0000000000014,2355.800000000001,955.84,3814.999999999999,4108.96,3182.6,2976.7999999999993,1928.76,4035.0,3677.7000000000003
3,5296.4,5332.96,5556.24,5684.399999999997,5221.04,5110.84,5206.160000000001,4655.719999999999,4625.0,4692.639999999999
4,8270.6,6281.68,6303.96,10001.999999999989,8417.18,8428.960000000001,8225.12,4932.72,8017.0,7949.38
5,9693.000000000004,10732.200000000004,10311.400000000001,14132.800000000001,15957.960000000005,16310.28,14404.039999999994,9086.16,19961.0,14252.279999999999
6,19817.0,20546.800000000007,21195.599999999995,19534.5,23116.899999999998,23171.4,22591.399999999994,18950.600000000002,24491.0,22587.3
7,24173.2,24333.36,24459.920000000002,25787.2,27977.399999999998,28022.52,24497.56,20684.64,42226.0,27549.4
8,28005.800000000003,27983.319999999996,27789.52,27178.7,87919.26000000002,39820.160000000025,27815.86,25219.920000000002,100479.0,94032.32000000004
9,67631.60000000006,86133.40000000001,101238.48,41053.99999999992,100741.16,101133.36,100922.36,28839.36,97204.0,98879.44
10,100341.8,100605.31999999999,98965.28,103172.8,97323.81999999999,99019.28,99307.54,87845.24000000002,99780.0,95925.34
11,101171.0,98591.2,96038.4,101923.0,101238.40000000001,95642.6,99674.8,100159.4,113768.0,115293.4
12,101918.2,98324.16,112611.87999999999,100693.19999999997,118235.14,98357.07999999999,113350.38,97143.64,153968.0,135172.52
13,109258.60000000005,112574.48,144633.48000000007,101888.8,133129.68,99409.95999999999,112773.96,109996.68000000002,172920.0,151746.88
14,125691.20000000006,127007.24,167073.63999999998,110264.9,136521.78,117172.04000000001,137922.31999999998,115961.95999999999,179795.0,156937.62
15,136713.4,155142.36000000002,179578.32,113799.2,167573.84,136229.48,181961.16,134784.64,214098.0,187530.40000000005
