index,18_1_www.amazon.com,18_2_www.amazon.com,18_3_www.amazon.com,18_4_www.amazon.com,18_5_www.amazon.com,18_6_www.amazon.com,18_7_www.amazon.com,18_8_www.amazon.com,18_9_www.amazon.com,18_10_www.amazon.com
1,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,67.0,-442.0
2,8.479999999999563,217.04,-549.5999999999999,235.0799999999998,280.39999999999975,-503.76000000000005,5.240000000000052,-595.44,5.240000000000052,-172.7999999999996
3,1365.24,-365.44,1419.0,1381.04,1459.2,1477.8,-373.4799999999999,1360.2,-373.4799999999999,1352.6000000000001
4,1219.16,1581.02,1341.8000000000004,1181.5199999999998,2243.2,1465.2799999999997,1683.96,1218.3200000000002,1683.96,1195.4
5,563.1600000000003,1449.16,784.4000000000002,410.3600000000001,1750.8000000000002,959.9599999999998,1770.4,619.7600000000001,1537.12,2322.8000000000015
6,2325.0000000000005,724.3999999999997,227.0,2207.5000000000005,3620.0,2815.6,1310.3999999999999,1586.5999999999992,1310.3999999999999,2566.0
7,4582.72,2470.4000000000005,2231.000000000001,4587.28,4457.6,2572.32,652.4400000000006,2225.08,652.4400000000006,2795.200000000006
8,4374.84,4821.72,4484.6,4430.14,4184.2,2323.04,885.8399999999965,4575.4400000000005,885.8399999999965,4330.6
9,4505.7999999999965,4661.72,4644.599999999999,6119.719999999999,5980.0,4430.599999999999,2402.4,4406.44,2402.4,4224.599999999999
10,6954.84,4254.54,4440.200000000001,6768.18,6403.999999999998,4467.92,2447.52,4588.600000000002,4634.5199999999995,7028.2
11,7021.5999999999985,8541.800000000001,7097.0,7071.6,6329.0,5665.000000000002,4602.0,6989.4,4602.0,6528.0
12,8301.28,11959.52,6646.200000000001,8318.38,8282.4,6959.16,4534.08,6538.92,4534.08,8384.8
13,7742.96,11393.92,7113.200000000001,11744.560000000007,8210.199999999999,6626.720000000002,4210.240000000002,6149.4400000000005,4210.240000000002,8302.399999999998
14,13618.640000000001,11289.2,8277.4,12580.18,8827.400000000001,8234.400000000005,7198.240000000001,6167.12,7198.240000000001,10152.000000000004
15,14201.240000000002,12553.519999999997,7776.200000000003,12759.52,9629.600000000004,8201.719999999998,6863.920000000001,9509.599999999991,6863.920000000001,18099.6
16,17684.6,15830.8,11485.0,12551.699999999999,10371.0,13234.4,6715.8,17933.19999999999,6715.8,17783.0
17,20199.559999999998,15574.72,17868.600000000002,14815.92,11105.6,12690.359999999999,6221.3200000000015,18281.44,6221.3200000000015,17753.8
18,19923.68,14970.76,17681.4,14227.54,10570.400000000001,12347.84,8727.799999999996,18166.4,6340.68,18844.20000000001
19,19296.64,14301.48,17356.2,16102.84,12456.8,14648.6,10463.72,18095.4,9241.199999999995,19953.4
20,21154.28,16359.94,18066.79999999999,16478.519999999997,12315.4,17717.84,12088.079999999994,20345.36,12012.519999999995,19347.2
21,23508.600000000002,18699.2,19866.0,17950.399999999998,11729.0,20411.4,18270.8,19746.8,18325.8,21177.0
22,23358.52,18502.14,19220.2,17815.02,13445.000000000002,20262.04,18016.72,19983.12,18071.72,23268.8
23,25474.95999999999,18174.92000000001,21079.600000000002,19541.68,15712.199999999999,19739.04,17904.88,21199.96,17959.88,23020.600000000002
24,27747.44,19903.82,20891.6,19615.34,15513.800000000001,23077.24,17877.4,23593.16,17936.64,23292.600000000002
25,27501.76,19626.79999999999,23077.200000000004,24183.239999999998,16370.999999999989,23575.28,19632.99999999998,23347.32,19347.599999999984,23907.000000000022
26,44092.0,24463.5,23020.0,23740.5,18023.0,23634.0,20205.0,22972.0,20040.000000000004,32453.0
27,56224.04,23897.72,22470.4,23721.2,18243.8,23609.079999999998,19511.68,27936.84,19647.24,32110.0
28,58029.56,32341.600000000024,24443.800000000003,42713.839999999895,19558.8,23820.199999999997,20647.239999999983,27494.52,19268.520000000004,31637.8
29,57901.36,47700.12,24543.399999999998,53611.36,21091.199999999997,28023.399999999998,21130.760000000002,27600.4,23572.359999999986,31877.0
30,58792.67999999992,49426.84,24042.200000000004,55385.52,25892.2,27639.16,23487.12,29763.32,23342.12,60846.600000000064
31,75944.39999999998,49279.2,27751.0,55182.6,25707.0,27725.0,23308.600000000002,56454.59999999998,23433.600000000002,61303.0
32,79940.63999999998,57057.1,33694.6,62436.600000000006,28883.199999999997,41012.67999999999,23352.68,57390.36,23207.68,63302.8
33,88416.71999999996,73677.92,33507.4,74110.96,31380.600000000002,57501.32,23407.79999999999,57838.03999999999,23254.640000000003,63179.2
34,88587.83999999998,77643.44,32997.8,77580.32,30705.8,57072.64,27929.120000000003,58820.44,26348.359999999957,70891.0
35,90036.08,85947.24,37238.79999999987,85977.72,32624.600000000002,59155.08,27727.88,62685.04,27696.8,82180.0
36,89812.8,85721.8,52107.0,85650.4,32484.0,59085.200000000004,27253.2,74129.00000000001,27283.4,85742.0
37,94910.8,87435.04,62234.2,87411.12,34438.6,65686.6,27536.16,78480.52000000002,27486.8,93884.4
38,94403.72,87567.22,61594.8,87550.66,34224.8,66867.6,36180.71999999989,89884.28,27594.44,94233.40000000001
39,89533.32000000004,90823.72,63601.6,90831.16,39088.2,77860.24,57371.12,89287.28,43966.43999999996,95329.4
40,79981.96000000004,90942.84,64777.79999999993,91178.28,38492.6,80887.44000000002,56998.64000000001,91251.92,56904.36,95176.2
41,73671.40000000001,93811.6,72969.0,93775.2,38017.0,84810.40000000002,58468.799999999996,91453.8,56519.4,97006.0
42,74201.67999999998,95107.19999999997,82441.59999999999,97288.93999999994,50163.000000000044,89620.12,58616.479999999996,95373.95999999999,58556.12,96941.2
43,75129.04,98419.32,85663.79999999999,98385.96,67841.6,91474.56,58667.32,96017.64,58284.76,99862.20000000001
44,75535.84,95658.64,90723.79999999994,94009.91999999998,67799.19999999997,91298.96,60563.6,93905.28,58167.04,101560.6
45,75701.48,85583.11999999997,94488.99999999997,84167.36,69344.4,90954.12,76163.95999999999,85402.24000000003,67030.03999999998,98761.19999999997
46,78879.4,77634.90000000001,95901.0,77378.8,77447.0,96185.2,78330.99999999999,77627.19999999998,76320.99999999999,92342.0
47,79097.88,77943.36,99190.59999999998,77786.56,87392.8,95896.0,81094.76,75555.8,78201.4,83751.59999999995
