index,22_1_www.dotdash.com,22_2_www.dotdash.com,22_3_www.dotdash.com,22_4_www.dotdash.com,22_5_www.dotdash.com,22_6_www.dotdash.com,22_7_www.dotdash.com,22_8_www.dotdash.com,22_9_www.dotdash.com,22_10_www.dotdash.com
1,-442.0,0.0,67.0,67.0,-442.0,67.0,67.0,67.0,67.0,-442.0
2,1390.52,467.28000000000003,638.6999999999999,1506.74,1458.46,571.16,317.55999999999995,446.08,837.6800000000005,1406.32
3,318.68000000000006,865.1199999999999,2388.0000000000005,4845.32,3580.680000000001,1834.8799999999994,1678.64,892.16,3225.2400000000007,589.5600000000004
4,4558.64,2316.6799999999994,3315.3000000000015,8052.579999999999,4391.38,1330.3600000000001,1398.8400000000045,2585.54,7509.5199999999995,4475.12
5,6301.959999999999,3263.16,6580.9999999999945,36610.799999999996,6590.84,5322.44,2944.7599999999998,1269.2400000000002,19634.600000000002,5763.68
6,7607.199999999998,5409.4,9087.5,77046.7,9166.000000000005,8050.4,4834.4,5428.299999999999,75915.40000000001,8532.6
7,10078.600000000002,7740.160000000003,20023.8,122174.36000000004,14917.24,14092.4,7089.919999999998,7968.280000000001,121186.04,9248.920000000006
8,19081.84,8661.159999999998,76166.09999999998,236806.9199999999,58564.079999999994,55034.43999999996,8985.960000000001,7532.18,221278.95999999996,12251.200000000004
9,53177.399999999994,20114.4,77511.4,369955.12,74756.04,73853.28,14099.960000000003,15191.199999999999,341608.5199999998,20686.36
10,74921.56,56378.079999999994,95555.79999999999,418895.66000000003,89620.95999999995,76428.96,19705.28,26813.64000000001,446799.16,60066.87999999999
11,76507.2,75650.6,185949.0,455702.0,132949.40000000002,79230.8,38288.99999999999,60571.0,521231.2,76196.6
12,116480.31999999999,94105.27999999993,305667.19999999984,462618.3,184878.24,99892.27999999998,72791.64,76113.28,637698.56,79965.59999999999
13,151080.16,117640.56,393192.2,530986.64,221249.28,122168.16,75260.52,77972.79999999999,737085.2,120946.04
14,209431.63999999996,186155.2400000001,444493.6,573371.2799999999,289585.2,130995.88,77292.8,128872.23999999998,827617.88,156201.16
