index,259_1_www.samsung.com,259_2_www.samsung.com,259_3_www.samsung.com,259_4_www.samsung.com,259_5_www.samsung.com,259_6_www.samsung.com,259_7_www.samsung.com,259_8_www.samsung.com,259_9_www.samsung.com,259_10_www.samsung.com
1,-442.0,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0
2,3570.2000000000007,4062.52,3243.8000000000006,4399.84,2976.7999999999993,1974.0000000000007,1462.2000000000003,6603.72,3509.0000000000005,4115.84
3,5082.08,6833.36,4789.04,17462.24,5361.32,5009.2,4106.2,15895.44,5100.2,4704.839999999999
4,8296.939999999999,10259.559999999998,8093.46,54207.9,8387.78,8104.8,5694.599999999995,61448.24,8369.599999999999,8281.22
5,14447.4,13810.88,17555.12,135950.71999999997,11075.199999999995,15857.000000000004,8545.199999999999,66078.4,14505.0,17522.4
6,35974.80000000001,23585.999999999996,53043.20000000001,273652.6,17383.0,53954.0,17937.0,189513.20000000004,42893.0,54191.9
7,53813.24,62407.0,54343.44000000001,473550.28,53843.28,54671.6,20516.79999999998,462563.7199999999,53310.6,54698.36
8,54789.96,62632.880000000005,55761.94,549264.46,54295.08,55537.8,54158.8,547159.5599999999,56172.799999999996,63939.28000000002
9,72977.8,63949.840000000004,99344.24000000006,688380.2,55983.72,127169.60000000002,54960.4,741544.84,57627.00000000001,119292.48000000001
10,108575.12000000004,69621.68000000001,147788.1,800769.18,62408.840000000004,213822.00000000006,56344.4,809255.04,109411.00000000007,160228.12000000002
11,169150.00000000003,130180.99999999999,235419.40000000008,803119.2,96853.8,291537.0,57203.0,811640.4,184491.0,250555.00000000006
12,211052.94000000003,229493.55999999994,256493.16,813369.84,176850.55999999988,386961.00000000006,61743.99999999999,821784.28,273422.8,332014.66
13,296400.88,357495.95999999996,333872.12000000005,827738.76,256794.68000000002,440624.6,114768.2,844628.0399999998,353525.4000000001,434796.24
14,371772.98000000004,490858.04000000004,466831.3599999999,857691.32,332558.4,516146.00000000023,184629.19999999998,949110.16,451396.2000000003,440154.34
15,458365.68,551558.3999999999,545254.3200000001,949833.76,441010.32,547693.4,226399.1999999998,1025233.7599999998,539866.9999999999,483881.8
16,530639.0,561369.2,548887.1,1002595.7,531957.4999999999,554172.0,264198.0,1037980.8,553775.0,546006.3
17,553644.44,585653.64,578557.52,1035969.92,547239.88,561390.6,351145.6,1048402.68,563295.2000000001,550328.92
18,554841.6,704732.4400000001,687929.4,1043039.02,560418.2,582865.0,463657.7999999997,1056739.44,667295.2000000001,593048.5800000001
19,646089.0000000002,764977.0,724391.3200000001,1050389.96,656620.5199999999,753823.6,532809.0,1059665.96,756554.4,672167.6400000002
20,755746.8,807046.56,798903.88,1059960.38,687292.92,766259.2,535772.0,1065125.08,791914.0,718684.4800000002
21,762757.6000000003,809243.4,801299.6,1081134.6,776084.0,807891.0,555535.0,1075771.6,800744.0,787194.2000000001
22,800966.16,812307.12,802120.92,1089968.42,801346.34,809348.2,556477.2,1085182.28,799841.8,800675.54
23,800872.16,809259.28,801680.92,1098210.36,807309.76,812883.4,588084.8,1226633.6400000004,804070.2,803412.8
24,801366.0599999999,818423.24,805557.1799999999,1183869.52,809541.8200000001,813593.2,668793.7999999999,1259804.2799999998,809231.8,804740.18
25,804547.04,822576.16,810464.36,1308153.6400000001,813702.24,817240.6,736862.3999999999,1465261.5599999991,816994.8,810030.24
26,809444.5,833246.0,816335.5,1442168.0,815114.5,853456.0,768980.0,1681429.0,845996.0,814011.0
27,845132.04,830302.6,825783.72,1557818.88,814507.84,856705.2,806987.6,1799650.76,847715.4,818096.96
28,849062.92,871358.92,824670.3,1607236.42,817897.3,861665.2,809223.2000000001,1878935.1600000001,851361.0,827287.78
29,852263.6,949463.28,858428.4,1780889.48,825617.28,863194.6,807255.2,2010561.8,854267.4,830062.48
30,857293.4400000002,955470.2000000001,927625.2000000001,1860098.1199999996,834475.66,950714.0,811252.8,2014274.28,903918.0000000002,832544.8
31,911938.6000000002,981648.9999999997,947436.0000000001,1983150.3999999997,839625.5999999999,957957.0,813343.0,2020424.6,944091.0,906369.0
32,942736.54,1033831.28,951121.14,2017450.34,862396.7999999999,966538.4000000004,811328.6,2024868.92,954363.6,944191.86
33,952867.88,1035023.44,1024000.52,2023186.16,874780.5199999999,1034861.6,821323.5999999997,2029955.8,988506.2000000002,953384.32
34,1009853.9600000001,1043060.76,1026178.4,2027810.46,945627.5399999999,1035660.0,853781.6,2035581.76,1015868.0,964278.48
35,1027134.56,1043966.84,1028806.2,2033073.92,959374.1199999999,1041204.6,856574.2,2058729.68,1027439.6,982307.2800000003
36,1027626.9,1047023.0,1035106.1,2035805.0,964474.8,1045476.0,861609.0,2111044.6,1028039.0,1029337.5
37,1035203.9600000001,1051340.8800000001,1040816.16,2050620.24,1034947.88,1048975.6,862387.0,2130319.68,1036371.4,1031475.56
38,1037443.58,1054599.64,1040108.24,2088567.12,1035954.9,1052472.2,900409.7999999999,2239328.52,1037707.2,1036469.72
39,1044099.68,1056971.8,1045629.12,2098089.08,1038165.84,1055415.0,950598.0,2264395.88,1038590.2,1038919.08
40,1049671.4,1061206.2,1045686.8200000001,2196588.0599999996,1045508.26,1056295.6,956617.7999999997,2273398.72,1039117.2,1044962.76
41,1069495.4000000001,1061253.6,1046360.0,2223676.6,1048624.8,1059396.0,961090.0,2302477.0,1046424.0,1048103.0000000001
42,1070777.94,1065086.72,1051476.84,2273548.08,1051868.64,1060879.0,998573.1999999998,2310651.12,1050314.4,1049746.94
43,1074620.48,1068831.24,1054887.96,2280473.28,1052912.5999999999,1069519.6,1024791.6,2320046.56,1051950.2,1052002.32
44,1076846.82,1074028.6,1053098.58,2298072.84,1058342.88,1072189.4,1036836.0,2327606.36,1053053.8,1053821.8800000001
45,1075752.64,1079773.6,1059289.04,2322092.28,1065259.2,1075037.0,1039074.4,2335145.08,1057426.6,1058982.64
46,1078441.3,1090582.0,1057833.4,2330635.6,1067873.7,1075423.0,1043697.0,2334649.4,1060811.0,1063557.8
47,1083450.56,1156819.0399999998,1061698.04,2335026.68,1079526.32,1081381.4000000001,1045884.0,2334189.04,1061846.6,1066766.04
48,1084716.98,1161622.96,1069457.16,2344910.96,1086367.76,1113210.2,1046510.4,2361511.56,1066070.8,1077016.42
49,1091948.88,1161318.64,1070205.04,2375803.24,1089044.12,1113841.8,1047533.8,2371688.48,1066850.2,1094946.76
50,1095232.46,1161557.68,1075858.46,2375168.88,1092345.08,1113774.6,1051836.6,2377748.96,1072727.6,1096380.3
