index,306_1_www.sueddeutsche.de,306_2_www.sueddeutsche.de,306_3_www.sueddeutsche.de,306_4_www.sueddeutsche.de,306_5_www.sueddeutsche.de,306_6_www.sueddeutsche.de,306_7_www.sueddeutsche.de,306_8_www.sueddeutsche.de,306_9_www.sueddeutsche.de,306_10_www.sueddeutsche.de,307_1_www.sueddeutsche.de,307_2_www.sueddeutsche.de,307_3_www.sueddeutsche.de,307_4_www.sueddeutsche.de,307_5_www.sueddeutsche.de,307_6_www.sueddeutsche.de,307_7_www.sueddeutsche.de,307_8_www.sueddeutsche.de,307_9_www.sueddeutsche.de,307_10_www.sueddeutsche.de,308_1_www.sueddeutsche.de,308_2_www.sueddeutsche.de,308_3_www.sueddeutsche.de,308_4_www.sueddeutsche.de,308_5_www.sueddeutsche.de,308_6_www.sueddeutsche.de,308_7_www.sueddeutsche.de,308_8_www.sueddeutsche.de,308_9_www.sueddeutsche.de,308_10_www.sueddeutsche.de,309_1_www.sueddeutsche.de,309_2_www.sueddeutsche.de,309_3_www.sueddeutsche.de,309_4_www.sueddeutsche.de,309_5_www.sueddeutsche.de,309_6_www.sueddeutsche.de,309_7_www.sueddeutsche.de,309_8_www.sueddeutsche.de,309_9_www.sueddeutsche.de,309_10_www.sueddeutsche.de
28,1785634.4000000004,1784819.14,1650962.46,1755582.6,1573323.14,1532400.7,1596555.92,1616527.68,1914412.9199999997,1506380.52,2286804.2399999998,2153822.12,2137397.44,1973864.08,2076290.72,2143360.22,2350354.0,2364911.64,2125373.0,2293193.26,1789469.0800000003,1919455.48,2116807.12,1662297.94,1751984.0,1904112.74,1733880.4000000001,1729047.7,1918825.96,1747183.88,1849959.9,1914837.28,1733668.3999999994,1777024.76,1799889.4,1619846.2,1807404.28,1570350.8800000006,1701724.56,1923406.6
29,1817241.6,1788793.44,1670889.88,1769935.7999999998,1599499.04,1558432.8,1640594.2,1625711.44,1991177.6800000032,1521690.48,2306207.32,2161690.12,2144590.52,1998992.36,2085767.44,2185334.1999999997,2361441.7999999993,2407998.64,2152908.0,2306906.84,1866822.48,1916168.12,2152639.6799999997,1704681.28,1838562.0,1973409.5199999998,1762515.2,1801950.4000000001,1949583.04,1845318.8399999999,1970469.4,1940857.92,1780030.52,1812766.04,1813687.4,1644121.48,1879671.12,1599715.2,1709256.4,1984615.8000000003
30,1863099.8,1799962.86,1691631.1199999999,1799277.0,1626812.3,1568900.0000000002,1666486.48,1631894.92,2084270.16,1532012.66,2320151.1,2174655.92,2181115.96,2092480.24,2112767.32,2201293.16,2381820.6,2414062.46,2177251.0,2326328.88,1947179.88,1959317.42,2167470.24,1718040.96,2004621.0,1984813.84,1877293.5999999999,1834549.4999999995,1977073.9200000002,1996811.64,1995221.2999999993,1953188.68,1873259.76,1823016.4799999997,1839219.9000000001,1669652.8399999999,1898962.98,1615473.2000000002,1767077.92,2109288.4
31,1883086.8,1834871.4000000001,1751906.2,1928314.0,1645745.4,1601374.0,1685540.2,1664815.1999999997,2129762.8000000003,1567017.5999999999,2363339.8,2245785.8,2195712.8,2100259.4000000004,2159929.6,2208576.0,2398925.0,2434781.6,2242722.0,2387734.4,1967376.8,2065457.2,2175223.6,1805411.2,2023124.0,2108694.3999999994,1981737.0,1984375.0,2253552.6,2006665.2000000002,2144416.0,2004958.4,2023091.2,1847264.0000000005,1851375.0,1734073.4,1992680.7999999998,1642335.6,1830187.2,2244446.0000000005
32,1889332.52,1932226.320000002,1760746.32,1954982.8,1654907.44,1636529.9,1717617.94,1668513.64,2147909.44,1587277.1,2470356.8,2292007.56,2257789.1999999997,2108317.68,2216055.12,2276776.24,2419220.2,2486052.64,2257210.0,2504497.72,1978576.24,2203990.42,2222413.04,1855110.78,2054546.5,2323006.399999996,2155371.6,2026897.7,2335444.76,2038300.92,2187307.1,2010994.92,2050749.54,1871890.24,1898674.5000000002,1753291.0799999996,2053457.94,1738753.16,1916325.88,2342717.4
33,2035009.16,1993977.6400000001,1779363.2000000002,1969910.1999999995,1657858.24,1662172.4000000001,1730857.2000000002,1749395.9599999997,2168561.28,1614640.72,2522835.52,2305196.56,2279039.56,2108155.28,2231570.64,2287216.8,2464925.0,2567098.36,2315029.0,2516315.04,1988345.44,2323635.32,2256393.48,1869873.9600000002,2060161.0,2535462.88,2286743.2,2031558.6,2350329.5999999996,2072516.12,2244288.4,2040536.64,2075572.8,2145774.04,1967892.8,1951906.92,2063573.1200000003,1769197.88,1967083.4,2411422.2
34,2140492.04,2045556.08,1801839.08,2084697.8,1666306.34,1687272.4,1767977.02,1779281.3599999999,2208322.88,1634993.08,2540348.38,2318969.72,2310270.62,2116169.54,2238752.16,2314252.2800000003,2493495.2,2570340.78,2364986.5,2528323.1999999997,2034453.1800000002,2367754.82,2362798.16,2021698.6400000008,2085041.0,2545905.66,2311557.2,2069175.1,2364961.16,2157832.16,2390299.1,2094753.16,2093538.72,2161493.9200000004,1982746.5999999999,1979611.96,2096133.42,1880135.6,2079521.16,2445513.44
35,2172746.8,2149050.56,1894321.48,2126723.6,1705941.24,1699372.6,1814930.16,1812924.5999999999,2247395.12,1633640.44,2553402.12,2352538.2,2349898.0399999996,2145098.96,2272377.24,2317431.88,2512815.6,2604943.959999998,2385472.0,2538589.68,2063054.76,2382844.88,2416453.68,2079694.92,2148149.0,2591728.56,2325660.8000000003,2087768.2,2380372.24,2195239.56,2515568.8,2147720.1599999997,2314460.76,2169282.44,2011563.800000001,1975648.48,2111289.32,2039447.08,2190190.4799999995,2483717.68
36,2191623.2,2177433.7,1953304.1000000013,2143474.0,1702902.7,1706547.0,1837388.4,1862692.5999999999,2279486.8,1651201.3,2593728.3,2360925.6,2400658.9,2148185.7,2291906.2,2341820.1999999997,2611134.0,2728886.3,2535161.5,2576476.4,2174451.2,2435160.000000001,2456251.2,2096369.8000000003,2174771.0,2600041.4,2344459.0,2125925.0,2422165.9999999995,2308707.0000000005,2521793.0,2176713.6,2352662.3,2191227.1999999997,2031402.5,2012513.4000000001,2150096.6,2131935.6,2207055.6,2520124.0
37,2232140.28,2189062.52,2050286.24,2177251.6,1774504.2,1719206.4,1855492.32,1891731.28,2313629.44,1661566.64,2627183.7600000002,2373648.36,2456827.1999999997,2218787.3600000003,2429697.5599999996,2466563.7600000002,2677608.6,2735844.9200000004,2640566.0,2621687.44,2346027.96,2503257.7600000002,2524941.16,2146067.2000000034,2240134.0,2662490.36,2360278.6,2169969.2,2466490.479999998,2508706.32,2531373.2,2237471.08,2361468.3600000003,2230307.08,2115688.2,2044861.8800000001,2212707.2800000003,2209596.84,2235227.88,2555587.64
38,2291262.6,2258849.12,2105442.6,2175965.0,1792374.14,1741608.0000000007,1867402.66,1993496.6400000008,2371165.8,1667240.16,2644167.62,2401918.52,2657993.58,2226872.24,2494051.88,2593903.26,2685292.8,2761358.66,2943175.5,2735589.06,2372041.7,2543408.38,2531268.28,2191429.88,2438422.5,2713828.56,2456304.1999999997,2184459.5000000005,2556601.559999999,2621289.64,2558601.3,2391547.76,2453564.56,2243079.32,2202098.0000000014,2053339.64,2384018.820000001,2299762.32,2325007.68,2635437.1599999997
39,2296918.08,2282843.44,2243672.56,2231226.2,1803730.2,1798362.4,2020541.7200000004,2075572.92,2480585.44,1682368.8800000001,2725914.64,2499882.88,2777748.92,2268551.64,2511727.12,2621888.16,2703472.8000000003,2819485.6399999997,3126970.0,2757275.96,2424801.3200000008,2641492.52,2552797.04,2206976.4,2472181.0,2720821.56,2495945.2,2201305.4,2667201.48,2703984.84,2587702.0,2429527.7199999997,2456893.08,2306610.1999999997,2322630.0000000005,2127845.48,2497132.4,2321684.72,2355855.3600000003,2649968.84
40,2310516.68,2290054.38,2331215.02,2282547.2,1835685.32,1813651.5,2120631.16,2143339.8,2554121.64,1692843.12,2743639.58,2510806.32,3073177.34,2277399.92,2573380.0,2731787.0599999996,2756954.4000000004,2832586.8600000003,3191406.0,2828988.04,2592249.0400000047,2698696.98,2660448.12,2232869.48,2600032.0,2745919.119999999,2504340.0000000005,2243466.2,2786756.64,2712991.08,2589889.9999999995,2488084.6399999997,2485181.4,2339058.36,2349026.4,2235612.7200000007,2544965.3400000003,2378292.04,2434383.5999999996,2661108.24
41,2319552.2,2310342.2,2597079.1999999997,2328964.0,1926423.2000000002,1915418.0,2189804.0,2242538.5999999996,2567605.4,1701254.0,2801083.8,2519720.0,3172179.0,2283274.8,2698279.6,2748127.8,2830777.0,2841461.6,3204072.0,2877882.2,2695240.8,2760575.4,2685916.2,2237974.2,2736368.0,2774781.2,2539990.0,2259703.0,2803247.0,2714219.6,2755733.0,2544666.4000000004,2501036.6,2344678.8,2370190.0,2275054.6,2590809.6,2394293.6,2548028.7999999993,2680763.0
42,2320850.08,2339970.72,2745126.0,2340360.6,2065364.0800000003,1940424.4999999998,2227047.92,2401296.2,2583014.56,1777981.319999998,3112396.640000001,2545482.64,3185036.76,2299459.48,2705739.48,2760829.18,2922714.4,2922162.82,3210478.5,2976009.22,2704975.8000000007,2794483.84,2699987.04,2254481.88,2757356.5,2803323.92,2557552.2,2271388.7,2931952.1199999987,2751546.0800000005,2754887.9,2644786.32,2521197.44,2357642.5600000005,2415708.9000000004,2310126.48,2624599.14,2409732.76,2588024.7599999993,2720059.84
43,2343452.68,2375364.68,2870595.5599999996,2367905.8,2171634.1599999997,2007180.2000000007,2276215.32,2541480.4,2620263.16,1803613.7199999997,3178732.52,2602973.2,3198700.04,2398050.6799999997,2764980.52,2922570.24,3049046.199999999,2945025.92,3218530.0,3089332.92,2734903.880000001,2818247.72,2710843.8,2255003.44,2903605.0,2807773.28,2680606.4,2318374.0,3043939.32,2782331.84,2761681.0,2735708.7999999993,2534887.72,2377256.92,2456894.8000000003,2374711.96,2674675.24,2438658.8,2683942.3999999994,2749534.12
44,2361215.2400000007,2385592.32,3131350.96,2397926.0,2325561.04,2045722.2,2343206.92,2684424.28,2644183.6,1811350.76,3258735.34,2628118.08,3211070.8400000003,2412663.68,3153991.96,3653892.9599999976,3062197.8,3012978.1999999997,3220101.5,3264012.36,2769916.98,2853142.68,2770872.96,2295996.4800000004,2905302.5,2824881.7,2715808.599999998,2438866.4000000004,3160788.32,2800991.2000000007,2808785.1,2761778.64,2562679.1199999987,2425724.88,2489931.2,2382117.04,2723181.6000000006,2460593.4400000004,2741699.559999999,2768026.2399999998
45,2393321.72,2380699.96,3369122.2,2432018.1999999997,2413548.6400000006,2054405.4,2364580.64,2691966.56,2666677.04,1823087.68,3278137.4,2646975.52,3216338.04,2523963.64,3747599.3599999994,4349673.679999996,3212328.599999996,3186550.12,3235831.0,3270197.24,2778989.6799999997,2874875.64,2824417.32,2310541.12,2939708.0,2947657.72,2796851.6,2507822.2,3220843.56,2804485.8,2842552.2,2781755.96,2574443.96,2432502.6,2506776.4,2427303.28,2816025.4,2483289.04,2877673.88,2791847.12
46,2411193.0,2387017.4,3667494.399999999,2444219.0,2556662.9999999995,2051618.0,2354197.3,2706332.6,2670303.6,1831381.7,3337239.1,2719054.9999999963,3226963.9999999995,2566507.0,4432792.4,4873415.1,3273109.999999999,3193574.999999999,3246693.0,3292195.9,2803962.0000000005,2911973.8,2891658.2,2329751.0,2963239.0,3036809.3,2809584.999999999,2514615.5,3242172.4,3363176.4,2861484.5,2799678.2,2716239.8,2440580.8,2525659.5,2564939.8,2992404.5000000005,2542404.2,2993157.4,2799972.6
