index,250_1_www.faz.net,250_2_www.faz.net,250_3_www.faz.net,250_4_www.faz.net,250_5_www.faz.net,250_6_www.faz.net,250_7_www.faz.net,250_8_www.faz.net,250_9_www.faz.net,250_10_www.faz.net
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,202695.48,130077.68000000002,183328.4,140588.63999999996,205886.24,203562.87999999998,204168.88,204820.52,206249.22,203098.72
3,422616.36,214683.28,264500.6,251543.63999999998,219786.91999999998,238633.3199999999,306442.91999999987,292778.48,244973.15999999997,370027.72000000015
4,729403.12,598473.4,628579.7999999999,548310.36,636288.9600000001,629728.6399999999,665693.42,660728.36,524488.76,690513.3600000001
5,816022.88,757238.84,761800.2,699024.1199999999,757251.88,758373.96,765493.7999999999,759834.72,759115.44,837020.12
6,966536.0,855384.8,956127.0,775110.6,823813.6,778911.6,958158.7999999999,952830.7999999999,784281.3999999996,970114.8
7,1130782.64,969114.32,1094476.2,951457.76,965993.32,999870.1199999999,1095363.04,1096952.84,962786.6,1134145.96
8,1510567.1199999996,1122371.28,1212909.8,1094239.24,1094201.56,1099108.24,1267093.76,1234205.2,1094178.96,1410287.8
9,1783987.08,1558754.04,1523848.7999999998,1162985.08,1227585.36,1343931.5199999993,1716483.04,1672350.6400000001,1260278.64,1706380.7200000002
10,1818549.32,1662117.44,1789378.6,1403929.8,1554973.4000000001,1669108.64,1797116.92,1793365.32,1611010.72,1798715.36
11,1848589.8,1800599.8,1793131.0,1711583.9999999998,1784972.2,1788529.4,1812206.4,1807545.4,1785429.4,1834751.6
12,2067422.2000000002,1873904.8399999999,1854400.2,1792057.28,1789455.48,1794761.04,2108475.36,1853002.12,1826239.94,1937445.12
13,2189962.12,1932718.8,2049093.5999999999,1799096.64,1819349.1199999999,1835230.9599999993,2208966.08,2068505.44,1837855.48,2186698.52
14,2264555.48,2294705.1200000015,2222765.2,1828488.2,1995568.3200000003,2132048.48,2275426.5999999996,2221816.76,1932074.1199999996,2262332.8
15,2362632.44,2459797.96,2294696.8,2135276.84,2162889.2,2204997.3999999994,2364173.84,2289850.2,2218883.76,2351429.56
16,2433772.400000001,2557480.0,2361601.0,2182895.2,2220580.6,2258292.6,2395641.6,2380442.2,2261279.6,2443408.1999999997
17,2532824.88,2715219.2,2627597.4,2224851.72,2318011.08,2480534.76,2521384.3999999994,2445246.32,2375357.36,2574081.32
