index,400_1_www.opodo.de,400_2_www.opodo.de,400_3_www.opodo.de,400_4_www.opodo.de,400_5_www.opodo.de,400_6_www.opodo.de,400_7_www.opodo.de,400_8_www.opodo.de,400_9_www.opodo.de,400_10_www.opodo.de
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,67.0,67.0,-442.0
2,9601.84,10013.72,9030.800000000001,8371.840000000002,7877.04,7842.34,12967.400000000001,8536.22,8478.539999999999,10849.799999999996
3,72880.2,78164.48,86751.72,84103.52,91996.16,80782.36,50344.200000000004,88973.44,86742.52,91334.12
4,102813.88,106697.44,98432.56,167588.12,98164.72,93484.02,102634.72,94938.14,96835.74,99409.54
5,148152.56,122258.12,184366.64,206834.15999999997,202104.32,143761.04000000004,133779.84000000008,182172.28,116654.91999999995,222265.36
6,227062.40000000005,203753.8,236660.8,249372.8,265957.0,238208.3,218728.8,220842.5,166135.7,249252.1
7,236540.52,357062.8,302144.32,345348.87999999995,306581.56,345685.32,282546.6,264912.7199999998,189496.8,318922.39999999997
8,305557.72000000003,441024.6,451608.64,505723.07999999996,382317.04000000015,492616.88,408621.4800000001,364457.1,218284.78,477384.22000000003
9,378915.52,488641.64,528474.88,532206.32,484184.76,507172.12,512425.60000000003,396950.92,301788.39999999997,517983.36
10,457713.4,542231.76,556440.04,564576.6,540555.3999999999,528884.06,579151.64,481331.12,371942.1,568789.22
11,522469.6,678361.0,612954.4,639682.9999999998,661042.9999999999,565811.0000000001,605982.0,524189.8,415688.99999999994,582699.3999999999
12,628104.44,794451.28,712996.12,769837.84,770277.96,593372.88,620266.88,599013.1,622764.1199999999,626191.84
13,723951.0,832447.6799999999,739212.72,827232.7999999999,791793.76,639694.24,649343.4,645675.3200000001,761742.7999999999,655662.0399999999
14,837700.76,849579.4400000001,797546.12,857631.88,805638.12,712484.4400000001,667913.12,732961.6799999999,792571.42,745018.7000000001
15,881494.72,876433.2,825411.2400000001,869680.36,858763.6000000001,801392.92,751673.8400000003,795925.32,838310.76,813143.76
16,905846.4,930238.6000000002,885338.8,913522.4,898102.4,857347.9,795113.4,835739.2,875938.6,916244.9
17,948454.4,950239.12,936185.24,941098.6799999998,938584.84,906358.4400000001,880141.0,911563.8,915330.8799999999,966583.04
18,968092.6,1002233.9199999999,963638.32,965041.92,967801.12,928739.42,952571.3999999999,933445.18,940651.02,1006946.86
19,1005402.52,1072944.6400000001,1005596.52,1005878.68,1004906.92,996524.32,984635.5599999999,992511.96,965074.64,1125129.72
20,1017242.16,1139671.12,1029838.16,1047109.76,1125891.32,1008886.4400000003,1003600.2400000002,1017795.36,1014068.7599999998,1148725.52
21,1125874.4000000001,1167448.6,1144263.5999999999,1142273.2,1156004.8,1100612.8,1123531.2,1023780.6,1023606.7999999998,1179699.6
22,1158819.4,1190316.72,1178515.56,1166155.04,1196654.44,1143691.94,1140941.3199999998,1116992.74,1145376.46,1196538.24
23,1185812.5999999999,1194265.44,1177912.68,1189513.68,1195162.92,1176683.72,1165634.2800000003,1178077.84,1172767.04,1204956.8
24,1200411.28,1210768.4,1191129.4000000001,1192562.92,1204530.4000000001,1184684.52,1183375.32,1183541.36,1185998.12,1221037.7
25,1202912.36,1230170.48,1217910.8800000001,1212006.2,1220652.6400000001,1188420.16,1197048.44,1190945.52,1199646.96,1255438.2
26,1206846.0,1282094.0,1252714.0,1235676.0,1257646.0,1226675.5,1205814.0,1209353.0,1213095.0,1263449.0
27,1257106.44,1282816.04,1252456.56,1246122.5200000005,1256475.52,1241823.08,1237266.7999999998,1247281.4,1226354.88,1311053.84
28,1265228.08,1303981.76,1261914.8,1275379.36,1272827.3599999999,1258192.22,1242870.1200000003,1263696.72,1258288.86,1340583.48
29,1290686.56,1325981.84,1288745.68,1278212.52,1311275.7200000002,1266777.88,1278451.9600000004,1277083.72,1270079.68,1347013.96
30,1314010.92,1348714.0,1309483.16,1302006.2,1316395.44,1299791.96,1299599.48,1292133.52,1305679.66,1352493.74
31,1322447.0,1351040.8,1320001.0,1324894.2,1314319.8,1328792.6,1317490.4,1312253.4,1307656.8,1379089.6
32,1327063.6,1389826.56,1324339.76,1333419.28,1334562.6399999997,1349021.34,1327641.96,1350549.82,1337552.06,1400788.16
33,1353481.3199999998,1396608.52,1361133.44,1332687.44,1374933.6,1359896.8800000001,1340406.44,1369591.04,1365408.56,1399474.44
34,1390739.3999999983,1392578.04,1382399.8,1353999.52,1387888.16,1358792.92,1351230.04,1374485.06,1364422.52,1413363.32
35,1394473.68,1422803.68,1386261.76,1363941.36,1389262.6,1374904.4000000001,1374894.56,1382673.84,1373950.2000000002,1424664.6
36,1394990.6,1425642.7999999998,1399846.4,1384551.0,1392085.4000000001,1398762.0,1385062.4,1389239.8,1379642.1,1430617.4
37,1418726.6,1427827.24,1412360.56,1396642.28,1408990.48,1406422.2400000002,1403526.16,1404066.4,1400458.24,1442384.68
38,1433370.32,1434432.72,1419014.4400000002,1420008.5999999999,1419542.52,1412380.18,1411861.2,1421345.16,1406285.22,1442340.62
39,1438879.56,1443705.36,1427063.28,1426638.8,1421120.28,1420620.04,1421773.0000000002,1426173.24,1417462.2,1447829.72
