index,39_1_en.wikipedia.org,39_2_en.wikipedia.org,39_3_en.wikipedia.org,39_4_en.wikipedia.org,39_5_en.wikipedia.org,39_6_en.wikipedia.org,39_7_en.wikipedia.org,39_8_en.wikipedia.org,39_9_en.wikipedia.org,39_10_en.wikipedia.org
1,-442.0,67.0,67.0,67.0,0.0,-442.0,67.0,67.0,67.0,-115.0
2,-366.23999999999995,-173.11999999999995,25.82000000000008,-228.0,-46.56,-335.68000000000006,66.97999999999996,-77.08000000000001,-35.91999999999999,70.36
3,1592.64,1029.8799999999994,-327.6399999999999,1755.0,-50.88,1604.48,-235.9600000000001,-239.07999999999976,-465.15999999999997,188.72
4,1396.84,1477.08,1697.28,1515.0,-190.2600000000001,1377.88,1723.92,1514.4,1602.6,-95.42000000000002
5,1163.72,1286.6399999999999,1518.1599999999999,1350.0,1674.76,1149.7199999999998,1480.24,1511.6799999999998,1575.04,848.9600000000012
6,647.2000000000002,644.8,1280.6999999999998,724.0,1329.9000000000003,784.3999999999996,1353.8999999999996,1044.3999999999996,1273.6000000000004,1600.4999999999998
7,257.5600000000007,2698.639999999998,775.9200000000004,2534.0,664.36,440.9199999999995,1029.1200000000001,586.4800000000002,688.36,1672.36
8,2361.6400000000003,4589.68,410.76000000000056,2453.0,2371.3800000000006,2442.68,2845.6800000000007,4692.720000000004,2602.08,1439.02
9,2303.24,4665.72,2514.8800000000006,4406.0,4656.52,2252.6800000000003,2887.3199999999997,4598.92,3473.319999999999,727.8800000000001
10,4538.88,4529.24,4587.86,4655.0,4581.86,4592.16,2656.6799999999994,4635.4400000000005,4715.84,1022.1600000000035
11,4385.8,4943.999999999997,4674.6,7204.0,7145.6,4322.6,3359.400000000005,4532.400000000001,4437.599999999999,4935.4
12,4259.72,7092.08,4473.94,6689.0,6641.94,4507.24,4515.94,4659.76,4640.44,4694.66
13,6926.119999999996,6800.599999999997,4590.3200000000015,7168.0,5879.080000000001,5822.600000000006,4538.72,5158.399999999998,4056.0799999999995,4759.68
