index,54_1_www.flickr.com,54_2_www.flickr.com,54_3_www.flickr.com,54_4_www.flickr.com,54_5_www.flickr.com,54_6_www.flickr.com,54_7_www.flickr.com,54_8_www.flickr.com,54_9_www.flickr.com,54_10_www.flickr.com
1,67.0,-442.0,67.0,0.0,0.0,67.0,-442.0,67.0,67.0,67.0
2,5099.599999999999,2464.88,1572.08,7503.88,4829.5,1332.5600000000004,6588.42,4896.46,4814.3,4909.400000000001
3,65244.79999999995,9938.080000000005,4440.24,71082.2,27391.999999999978,7650.400000000001,57152.96,18967.599999999995,19865.999999999996,18842.84
4,89595.8,23823.800000000003,14118.52,93355.16,92473.9,26229.84000000004,93925.06,89549.38,92788.9,74334.32
5,94774.4,83601.52,77034.76,100242.52,96074.2,78335.84000000001,101618.72,93517.72,97715.2,96196.56
6,124012.0,86811.1,89701.4,231472.40000000008,102770.5,92220.4,121531.1,101718.9,111320.5,102293.2
7,414259.3999999996,87686.48,92648.52,481994.87999999983,265690.19999999984,94136.28,195489.16,237860.63999999996,149989.19999999992,145789.75999999995
8,576496.6,93655.24,95586.76,566614.12,494982.0,101853.96,483558.1600000002,506160.04,318969.70000000007,321638.32
9,616604.6,95612.04,96746.76,617203.2,654339.7999999999,120067.12,636238.44,651407.4,586717.0,516169.2799999999
10,803226.9999999995,99317.18000000001,103415.84,778074.7200000001,685002.4000000001,183423.84,728619.32,777472.28,726357.8,664010.36
11,865219.0,105462.8,143876.79999999993,901674.6,837614.0,192006.0,874506.0,926029.3999999999,802479.0,694528.0
12,1032707.0,143577.5,152638.40000000002,1020543.52,953696.0,345668.76,871612.64,1045747.46,896091.1999999998,884008.64
13,1166183.7999999993,287945.36000000004,178089.04,1165296.16,1119557.3999999997,458998.52,1034230.5599999998,1086078.88,1078075.2,981282.4400000001
14,1269343.8,427846.63999999996,176463.36,1241824.8800000001,1311914.0,585991.5999999999,1190681.26,1256773.84,1207183.4,1015081.16
15,1494577.5999999994,496845.68,242152.15999999995,1399425.3199999998,1536424.0,680806.8,1251388.9600000002,1440705.76,1269604.2,1156494.7199999995
16,1752661.0,511296.4000000002,333602.20000000007,1610118.2000000002,1776740.0,763027.2,1358819.4,1480311.6,1464886.0,1181026.1999999997
17,1925019.6,606512.88,481874.32,1868879.28,1997219.5999999999,808240.96,1586984.04,1758163.72,1645337.7999999998,1275535.04
18,2230869.4,638043.1,635125.8399999997,2113730.159999999,2271593.9,836239.8000000002,1748399.1999999997,2054712.4799999988,1860601.3999999997,1423999.68
19,2494694.199999999,670084.8,739193.08,2368376.44,2418489.2,909819.9199999999,1970829.8,2363009.919999999,2127151.0,1577577.72
20,2688801.6000000006,792771.4,754345.68,2597232.88,2656342.4,1091753.4000000001,2233154.64,2618276.1999999997,2326039.8,1825904.8
21,2885118.0,789679.7999999999,789851.6,2854143.0,2827230.0,1081637.4,2499174.8,2870775.0,2494091.0,2007854.2000000007
22,3100978.2,804281.0800000001,833078.0,3076731.2399999998,2930341.2,1195359.4800000002,2815348.4800000004,3128975.32,2742683.199999999,2212642.1999999997
23,3345891.3999999994,901098.7200000001,873760.3600000001,3410498.5600000005,2949643.8,1253716.08,3110381.360000001,3420383.6,2946850.4,2535956.5999999996
24,3638857.7999999993,985644.4400000002,938305.2400000001,3738473.92,3053457.6,1284683.6,3399643.04,3594016.4,3264530.8,2767880.6799999997
25,3976516.599999999,1004690.36,1002961.52,4031563.919999999,3253694.1999999997,1287423.4400000002,3688732.04,3911139.56,3553593.0,3028271.84
26,4298843.0,1118984.0,1053486.0,4222472.0,3436516.5,1295268.0,3874690.0,4120246.0,3824732.0,3303002.0
27,4577359.399999999,1208020.72,1090062.5200000003,4416780.6,3698911.599999999,1302080.24,4069672.24,4330067.44,4078728.6,3598200.24
28,4848832.0,1229401.84,1168535.0399999996,4713783.84,3933622.0,1307105.36,4345417.92,4586909.879999998,4350193.399999999,3876280.3200000003
29,5093614.199999999,1248004.3599999999,1239712.32,4856335.239999999,4114806.6000000006,1314955.4000000001,4533021.68,4850124.319999998,4595523.4,4197826.239999999
