index,235_1_www.unicef.org,235_2_www.unicef.org,235_3_www.unicef.org,235_4_www.unicef.org,235_5_www.unicef.org,235_6_www.unicef.org,235_7_www.unicef.org,235_8_www.unicef.org,235_9_www.unicef.org,235_10_www.unicef.org
1,-442.0,-442.0,-442.0,-113.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,5025.88,8238.16,8136.360000000001,8234.58,5084.04,4980.4400000000005,8606.44,5186.8,8486.74,8314.34
3,13073.64,35908.36,34911.32,34384.96,13292.119999999999,13023.32,31339.99999999996,12934.199999999999,35104.04,34377.44
4,35649.560000000005,126121.12000000001,83961.08,124751.36000000004,36024.08000000001,36079.44,45344.44,26850.199999999968,79493.62,137789.56
5,42298.8,302829.4,287070.72,302143.44,42693.92000000001,45043.240000000005,150078.15999999997,45462.99999999999,188175.36000000004,281790.8
6,160446.39999999997,353041.19999999984,347393.8,336197.7,107306.80000000008,210877.19999999992,213244.8,177963.0,317227.60000000003,351113.80000000016
7,289336.92,499211.76,399262.64,475519.92000000004,198283.64,276239.92,338723.56,300663.4,375853.56,437087.92
8,308941.4,592660.6,474827.8,608667.8800000002,305470.92,304486.16,458955.47999999975,310683.4,533923.6000000002,627475.86
9,349275.96,681395.72,717456.28,700072.0000000002,308877.24,335487.64,601382.0399999999,343906.5999999999,699636.8,772540.6
10,381257.8,837948.1600000003,936917.5600000009,979822.66,317076.83999999997,397954.79999999964,735220.04,350323.2,976681.5599999998,1028753.86
11,534270.5999999999,1029064.8,1042366.0000000001,1075591.2,472861.2000000001,554155.9999999999,975124.2000000001,506718.0,1040160.6,1073265.0
12,607886.2,1194760.68,1209011.52,1158403.66,563009.92,597191.6,1049968.32,617890.3999999999,1139544.02,1238245.8800000001
13,650138.76,1232820.28,1235614.6,1319725.4,662556.8,627289.8,1223340.12,654877.0,1233758.32,1259869.2
14,769369.84,1309477.32,1311306.96,1422094.4800000002,727343.7999999999,680686.6799999998,1284410.5999999999,777115.5999999999,1317979.34,1362929.64
15,944942.68,1390886.4,1396766.5600000008,1451419.0799999998,868811.12,791439.88,1324867.88,922767.8,1407419.4000000004,1436174.96
16,1034298.0,1548000.6000000003,1451690.8,1476185.7,1029805.4,1027991.6,1365744.6,1031858.0,1571296.9,1464470.1
17,1100258.6,1570072.24,1558943.16,1495469.4,1042506.48,1040331.28,1499886.88,1042805.2,1580771.84,1498949.6400000001
18,1223690.88,1598160.64,1581090.4800000002,1567552.9200000004,1154620.72,1063112.1599999992,1575111.48,1123459.4,1610153.08,1593527.18
19,1233629.96,1620194.88,1591688.64,1683085.92,1223355.6400000001,1210553.44,1587551.04,1230204.5999999999,1633214.48,1603812.92
