index,105_1_www.huffingtonpost.de,105_2_www.huffingtonpost.de,105_3_www.huffingtonpost.de,105_4_www.huffingtonpost.de,105_5_www.huffingtonpost.de,105_6_www.huffingtonpost.de,105_7_www.huffingtonpost.de,105_8_www.huffingtonpost.de,105_9_www.huffingtonpost.de,105_10_www.huffingtonpost.de
1,-442.0,-48.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,67.0
2,1549.3600000000001,-102.89999999999993,-343.31999999999994,-366.23999999999995,-381.52,-350.9599999999999,1634.08,-457.92,-480.84000000000003,-1.6199999999999477
3,1472.68,-473.1999999999999,1601.52,1592.64,1586.72,1598.56,1424.12,1536.6,1507.2,-388.7599999999999
4,551.1600000000003,1573.4,1382.62,1396.84,1406.32,1387.36,533.76,1453.72,1467.94,1676.1000000000001
5,4396.44,1415.8,1139.9599999999998,1163.72,1179.56,1147.8799999999999,2341.24,1143.32,1051.6399999999999,1543.44
6,4584.2,1185.5,750.1000000000004,647.2000000000002,578.6000000000004,715.8000000000005,4478.599999999999,589.2,570.7999999999995,1320.3
7,4422.04,578.6000000000004,395.0800000000005,257.5600000000007,589.5600000000004,349.2400000000001,4484.68,2466.36,2439.72,628.9599999999999
8,6795.959999999999,453.59999999999513,2432.32,2360.6800000000003,2292.6400000000003,4668.359999999998,7032.84,2248.6800000000003,3347.4399999999996,1203.0799999999977
9,6529.28,4729.400000000001,4448.32,2299.24,2324.52,4424.24,6906.88,4564.48,4528.96,2359.0400000000004
10,5810.04,4497.3,4574.84,4534.88,4467.68,4166.08,8381.52,4365.16,4407.82,4631.56
11,7414.4,4526.0,4330.4,4377.8,4409.4,4346.2,8595.999999999996,4208.599999999999,4407.0000000000055,4543.8
12,15727.680000000006,4385.7,4519.26,4251.72,4014.5600000000013,4488.880000000001,17161.76,7067.24,7010.48,4535.46
13,16004.919999999998,4208.600000000001,6185.159999999997,6139.44,7053.48,6429.48,16949.16,6655.88,6542.24,4273.599999999997
14,22930.11999999999,6979.199999999999,6953.960000000001,5619.760000000002,6668.72,6925.88,25057.28,6628.4800000000005,7048.18,7159.88
15,24278.56,6822.800000000001,6531.4400000000005,6143.72,6606.64,6516.32,24060.84,5702.239999999998,8385.52,6758.040000000001
16,23305.6,6557.5,6684.9,5734.200000000001,5939.400000000001,6586.200000000003,25727.2,6170.2,7945.3,6727.099999999999
17,23515.76,6262.800000000001,5714.7199999999975,6195.64,6192.72,5897.279999999998,25792.480000000003,7329.44,8822.400000000003,6032.840000000001
18,26907.32,6227.700000000001,6704.1599999999935,7112.799999999996,7612.399999999995,6189.28,27230.44,12957.320000000009,14396.08,6306.66
19,27422.480000000003,7491.6,8774.599999999984,11402.959999999997,11474.72,9791.359999999999,29433.76,17039.16,16945.679999999997,7619.399999999995
20,29083.52,10973.99999999999,14201.039999999994,14772.279999999995,16716.439999999988,12024.119999999977,29297.079999999998,16465.44,16945.88,12505.359999999979
21,29178.2,14313.0,14171.199999999988,17201.8,16753.600000000002,17158.2,29032.6,19507.800000000007,25133.6,17124.600000000002
22,28177.760000000002,16507.600000000002,16452.16,16699.12,16713.76,16399.24,31060.60000000001,24616.639999999996,24782.98,16361.44
23,33720.080000000016,16877.6,20035.679999999993,22962.8,22910.479999999978,17247.199999999993,42912.080000000016,24936.24,24278.48,18302.07999999999
24,39570.36,22498.399999999994,25047.52,25205.36,24939.28,25034.56,43547.84,24465.84,23811.679999999997,24724.79999999999
25,39155.28,25135.8,24704.76,24914.32,24642.36,24777.04,43458.08,23777.56,23291.84,24992.120000000003
26,39548.0,24959.500000000004,24226.500000000004,24221.000000000004,23953.0,24398.000000000004,43490.0,23550.0,25324.5,24612.0
27,43990.159999999996,24581.4,23787.239999999998,23854.760000000002,23571.48,23739.72,52147.039999999986,25392.56,27565.48,23789.88
28,77138.68,23828.899999999998,23520.36,23449.520000000004,23150.96,24697.95999999999,70857.75999999997,25221.48,27393.019999999997,23469.82
29,115971.95999999999,23575.6,25391.28,25506.96,25217.84,25731.84,103648.40000000004,27506.68,29707.44,24347.319999999992
30,136334.04000000007,24839.199999999975,25153.66,27565.12,25122.76,25382.919999999976,139106.96,29540.96,29461.54,25165.78
31,155419.0,25218.0,27081.799999999992,27656.600000000002,27373.8,27212.2,148562.60000000006,29590.2,29669.600000000002,25745.199999999975
32,156187.24,27341.9,27369.959999999974,29484.720000000005,27223.64,29395.72,155732.52,29682.28,29139.420000000002,29784.04
33,157936.72,27309.399999999998,29604.28,29689.96,29517.52,29428.96,157498.8,29711.72,30265.44,29592.52
34,157940.04,27491.1,29452.34,29567.239999999998,29324.52,29529.52,158583.56000000003,29012.28,33286.68000000002,29557.06
35,163550.48,29645.600000000002,29502.36,29761.079999999998,29374.640000000003,29477.079999999998,164038.28,30345.800000000014,34823.08,29503.24
36,165365.6,29582.5,29273.99999999999,31464.599999999955,32959.79999999998,29174.800000000003,163471.4,36327.800000000025,34793.8,29143.900000000005
37,165632.2,29281.800000000003,34314.04,34368.840000000004,34053.32,34339.12,165486.52,37413.16,34469.24,29138.79999999999
38,165635.48,34443.4,34136.12,34272.840000000004,33901.8,34143.36,166245.96,40583.72,34921.7,32834.78
39,167411.4,34248.4,33830.200000000004,34334.4,33471.16,33905.600000000006,167882.04,43815.72,38207.52000000001,35285.35999999996
40,167334.84,33993.0,33549.74,33876.76,33575.079999999994,33547.04,167879.4,43402.88,52933.84000000006,35341.76
41,170730.8,33644.0,34146.39999999999,33928.2,34164.0,34208.2,168145.8,43950.8,67071.40000000004,37225.39999999998
