index,200_1_siteorigin.com,200_2_siteorigin.com,200_3_siteorigin.com,200_4_siteorigin.com,200_5_siteorigin.com,200_6_siteorigin.com,200_7_siteorigin.com,200_8_siteorigin.com,200_9_siteorigin.com,200_10_siteorigin.com
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,3963.72,3692.639999999999,3914.1600000000003,3920.58,3824.2799999999997,952.1200000000007,4004.76,3907.74,3933.48,3933.48
3,4801.120000000001,7470.679999999993,6892.28,6428.6,6421.64,4727.720000000001,4552.080000000001,6653.12,5986.079999999998,6243.079999999998
4,7420.779999999998,10708.08,12502.84,11221.84,11112.04,22408.400000000005,8242.44,9537.52,8820.04,9077.86
5,15758.800000000001,25113.280000000002,16253.56,26706.2,26352.96,34713.12,12838.559999999996,24364.68,24781.64,24631.24
6,27049.8,58834.2,18769.6,27286.599999999988,32560.399999999998,54783.599999999984,25384.2,27715.7,26898.200000000008,36553.40000000001
7,53151.32000000004,65039.76,32746.96,57999.84,57530.44,58853.12,41309.39999999989,53761.399999999994,56424.24,58204.8
8,60513.619999999995,68325.76000000001,38472.04,64189.24,68298.24,68921.80000000002,61020.359999999986,66347.18,62399.28,63737.42
9,68349.48,101783.31999999996,66670.68,71081.79999999994,68343.32,107337.6,67565.72,75421.56,67354.72,68965.72
10,78594.79999999999,174234.19999999998,78446.28,115610.46,114159.79999999999,151490.2799999999,85853.31999999999,115030.66000000002,113609.23999999999,110198.86
11,118298.0,208987.19999999963,88912.99999999996,118256.8,134162.59999999998,170883.7999999999,120568.0,117899.59999999999,155431.00000000003,116741.8
12,166223.82,305062.52,132307.07999999996,171967.56,175876.56,255472.92,122155.36,181580.55999999997,169244.04000000007,124833.94
13,173467.08,342227.79999999993,188985.64,248802.52000000002,220958.12,259715.80000000002,171155.79999999978,257324.56,201704.68000000002,168263.44
14,216899.44,417589.2,202440.1199999997,297453.7,284755.88,338744.75999999995,214141.16,295189.92,263945.8,187002.52
