index,206_1_java.com,206_2_java.com,206_3_java.com,206_4_java.com,206_5_java.com,206_6_java.com,206_7_java.com,206_8_java.com,206_9_java.com,206_10_java.com
1,0.0,-442.0,-442.0,-48.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,-70.56,1453.72,1325.74,-65.28,1507.2,1571.5,1512.1000000000001,1640.0,1325.8999999999999,1370.0
3,-141.12,3586.56,4110.68,-226.56,2024.6000000000008,4069.4,1941.7999999999988,1479.0,4080.2000000000007,3438.9999999999995
4,-259.68,4546.280000000001,4094.54,-188.16,3567.12,4132.7,3570.36,4121.0,4187.82,4147.8
5,-149.75999999999996,6030.88,5209.8399999999965,-26.880000000000024,5488.44,4364.8,5530.159999999999,3552.0,5189.08,5268.6
6,-31.199999999999932,7760.4,6708.300000000001,1418.9999999999995,4539.5999999999985,8328.5,4594.9,5614.0,6388.4,6529.0
7,824.2400000000014,13728.44,9892.96,4093.48,8495.76,8372.8,6288.28,4927.0,8296.72,8463.2
8,1531.7800000000004,16162.24,12785.58,4168.719999999999,8446.72,12967.400000000001,8424.66,6567.0,7606.46,7894.599999999999
9,3978.8399999999997,15599.92,14065.48,4658.320000000001,9480.400000000003,15525.6,7773.3600000000015,6420.0,14000.16,14102.6
10,4109.38,20688.16,16021.26,6370.92,13997.88,16201.6,14036.86,8460.0,15538.78,15635.8
11,4842.199999999998,21695.8,15392.600000000002,8514.199999999999,15854.599999999997,15893.0,15523.8,8182.0,16177.8,16343.0
12,6227.84,24449.92,21627.34,14205.680000000004,16276.72,20789.7,16471.16,13077.0,16385.76,16401.399999999998
13,8351.28,37689.6,23175.88,15549.56,16328.920000000002,19766.800000000003,15970.96,13746.0,20698.679999999997,21095.399999999998
14,8192.02,36679.32,23823.28,16930.28,20942.16,22584.1,21007.02,15586.0,21420.840000000022,20119.200000000004
15,9677.200000000023,38199.08,24036.28,16600.599999999995,22327.64,31355.2,20103.92,16513.0,24353.519999999997,22804.8
16,13719.799999999997,45407.999999999985,28287.200000000004,20280.600000000002,21948.799999999996,31602.0,22840.9,16177.0,29810.200000000015,24971.0
17,15200.16,79377.83999999997,29561.359999999986,22201.999999999996,25563.120000000003,33567.4,24854.56,16879.0,32607.239999999998,32960.6
18,16203.48,92698.6,32628.52,24846.96,29681.999999999996,40624.5,31228.140000000003,21344.0,34479.14,34611.4
19,15889.08,124585.84000000004,39116.28,32156.72,37778.04,46398.599999999984,34707.359999999986,20584.0,40160.4,38538.79999999996
20,17913.20000000003,146915.08,45440.58,39563.68,37011.520000000004,48624.1,34530.14,19855.0,43527.60000000002,43710.4
21,20279.8,179023.4,45136.199999999975,42896.0,39259.200000000004,48432.0,43193.6,22675.0,48782.40000000002,44656.0
22,21200.840000000022,206243.12,46646.38,42917.56,43144.64,71569.99999999999,44475.82000000001,25025.0,48859.64,58333.19999999999
23,23117.880000000016,207265.0,54097.56,44954.88,43003.840000000004,133303.79999999993,44997.39999999999,31578.0,71054.76000000001,65565.0
24,24253.500000000004,213497.96,52762.66,69547.36000000004,81228.31999999999,144397.6,44624.42,38222.0,92371.92000000006,87481.80000000003
25,30535.76000000001,241890.31999999998,58929.159999999996,86768.76000000001,83878.52,188350.5999999999,63864.44,37448.0,132296.72000000012,113734.19999999997
26,37407.00000000001,246593.0,97706.0,121347.0,93742.0,200505.0,83214.0,39154.0,174213.0,135737.0
27,37818.03999999999,263428.12,131080.24000000002,175069.91999999998,113261.04000000002,201596.99999999997,87260.12,39001.0,181678.80000000002,142840.4
28,38885.74,264410.64,150323.96,190027.99999999997,129871.20000000013,220786.79999999993,114091.71999999999,39069.0,187106.1,178622.59999999998
29,42912.12,265865.16,181749.39999999967,205841.88,142928.0,236233.40000000002,140773.52,44344.0,189308.68,187897.6
30,45653.20000000004,267095.88,195880.79999999996,207892.56,159458.60000000006,238967.9,143963.08,46024.0,208514.40000000002,206764.79999999996
31,48798.60000000002,272697.7999999999,219110.1999999999,218058.6,180436.20000000013,240573.0,172973.59999999995,46806.0,226830.8,220124.0
32,52392.440000000046,279972.96,221519.42,234312.12,196600.08,260003.7,198964.74,51173.0,229033.24000000008,224102.39999999997
33,78798.92000000004,282129.68,228436.39999999997,246568.63999999998,207100.88,261756.4,200562.16,67464.0,241832.20000000004,241112.0
34,84828.40000000002,286316.72,252471.55999999994,254039.6,207944.04,262970.7,206449.09999999998,93008.0,255591.44,253483.2
35,121203.56000000008,289320.24,262119.6,261878.07999999996,218883.84,269839.8,210789.59999999998,92631.0,260586.12,256703.8
36,143058.8,295676.8,268228.6,265037.4,225629.2,272097.0,228707.49999999997,96594.0,264216.2,260014.0
37,165436.92000000004,302006.24,267960.2,263883.44,228034.40000000002,273637.2,254123.2,129646.0,264773.04,264024.6
38,185819.46,307613.7599999999,271610.96,265637.56,254216.16,275360.6,253652.23999999996,144126.0,266545.54,264196.2
39,189743.72,350961.3599999999,272512.04,267461.64,255850.48,274793.4,255998.19999999998,162458.0,267928.96,265742.6
40,189363.25999999998,354203.28,274815.84,269263.27999999997,259942.52,279268.39999999997,258667.3,183826.0,269167.02,267287.8
41,216014.20000000013,354640.0,274266.4,272572.8,258966.8,284537.0,264448.6,186965.0,275341.0,266534.0
42,226013.81999999998,371820.12,276462.54,283826.04,260894.36,285544.60000000003,264582.14,188605.0,274659.8,269767.4
43,233711.76000000013,435189.08,282476.2,284351.2,264322.32,289679.4,263627.32,188446.0,282239.16,277479.4
44,258454.94,448182.84,284212.82,289512.87999999995,267106.0800000001,294736.8,265635.34,206107.0,281656.98,281587.0
