index,229_1_www.gmx.net,229_2_www.gmx.net,229_3_www.gmx.net,229_4_www.gmx.net,229_5_www.gmx.net,229_6_www.gmx.net,229_7_www.gmx.net,229_8_www.gmx.net,229_9_www.gmx.net,229_10_www.gmx.net
1,-442.0,-442.0,66.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,1712.94,1347.86,1205.7,1477.42,1463.2,1472.9800000000002,1257.3799999999999,1377.8799999999999,1471.1,1467.94
3,3957.24,4062.52,3298.3999999999996,3554.16,3573.6,4104.08,4395.280000000001,3987.48,3562.8,3567.12
4,5251.0599999999995,5201.44,3809.06,4763.919999999999,5037.200000000001,5408.639999999998,6644.24,5173.24,4628.5999999999985,5138.42
5,6431.44,4620.64,4314.52,8310.400000000003,6239.8,8404.88,8795.12,3915.84,7421.000000000003,6764.839999999999
6,8389.3,6399.3,5830.3,12936.000000000016,7976.0,15569.800000000001,15680.2,8212.6,11735.5,10492.300000000001
7,8421.200000000008,8638.64,8057.64,13905.080000000005,15433.6,21292.440000000002,21075.359999999997,7582.5199999999995,12589.400000000012,12287.88
8,15600.039999999999,13747.76,12064.07999999999,16062.94,21338.4,19384.680000000004,18998.42,15094.92,15790.7,16275.42
9,21255.560000000012,15262.52,15138.24,21090.440000000006,19630.2,17398.920000000002,19702.64,21020.32,18887.200000000004,17134.600000000006
10,20319.32,21117.42,20936.94,22776.94,17825.8,22657.92000000001,24005.519999999997,19521.36,23041.599999999995,23294.58
11,18762.199999999997,19522.6,19541.8,28111.2,21461.0,27527.8,28186.2,18110.8,27775.0,28546.199999999997
12,17639.279999999995,18390.320000000003,18183.320000000003,26574.22,23672.8,29943.48,32586.18,16929.559999999998,26278.199999999997,27119.279999999995
13,21788.32,19642.08,17243.440000000002,26684.16000000001,25301.600000000002,31976.760000000002,33980.20000000002,20225.24,24781.399999999994,26004.120000000017
14,25605.34,21587.46,19956.720000000005,30706.840000000022,31760.6,29762.94,31781.14,25766.76,30596.200000000008,29361.68
15,27606.16,25810.04,23453.16,33154.88,31436.8,40262.399999999965,45738.2,32072.28,32935.799999999996,32977.16
16,27542.100000000002,27844.300000000003,25273.599999999988,39084.200000000004,32844.0,58594.4,52217.8,34840.8,35157.5,35647.4
17,31870.76,30180.44,34482.799999999996,42525.68,37726.8,58200.88,54135.08,33977.72,36885.6,39840.04
18,34677.40000000001,32063.579999999998,36375.14,42328.06,43229.6,58340.44,59404.8,32615.24,41232.3,40618.40000000001
19,34163.68,31838.319999999996,35866.48,46388.80000000003,42469.4,57164.96,135336.56,32713.84,39305.19999999999,39893.27999999999
20,38045.80000000001,32290.060000000005,35450.98,49854.40000000001,51544.99999999998,85173.39999999973,177970.13999999998,40743.48,48423.999999999985,41506.16
21,45589.8,35350.8,41013.6,54585.6,55083.0,150986.4,180591.0,42068.399999999994,54266.0,40927.200000000004
22,49750.44,48020.28,40459.04,55785.88,90713.2,178921.62,189511.24,43993.52000000001,60553.6,42394.200000000004
23,53682.56,47584.52,42324.52,66882.40000000002,151298.59999999992,191349.6,197432.91999999995,48292.44,65432.0,78720.4000000001
24,58468.880000000005,51225.39999999999,42405.020000000004,138709.34000000005,177372.6,204519.36,202460.13999999998,48127.159999999996,64821.00000000001,148178.58000000002
25,58132.56,55546.84,47107.16,165993.52,180694.7999999999,238965.08,211485.91999999998,65822.88,129877.40000000008,151095.56
26,116373.0,57313.5,91212.0,176804.0,188408.0,239006.5,232606.0,125279.0,183802.5,167889.0
27,160267.4,70058.28000000001,149415.16,182921.68000000005,226344.4,237835.08,254446.16,159265.6,186483.6,169398.44
28,176809.82,130210.76000000008,152422.6,195621.32000000007,225575.6,238745.48,281993.18,159100.56,196333.0,200396.12
29,178703.84,177192.48,168931.48,213017.96,224553.2,349664.72,285858.1600000001,174914.88,204416.6,207597.52
30,177647.38,186944.62,170702.94,221692.44,223627.8,391221.31999999954,337264.91999999987,177686.91999999998,221660.30000000005,206602.26
31,187251.60000000012,186957.99999999997,175775.99999999997,220657.8,258318.0,489091.19999999995,446081.3999999996,179621.4,241723.0,205584.4
32,218477.46,196856.42,181071.2,219689.48,313937.3999999999,497887.08,503153.14,200971.32,272521.9000000001,204549.6
33,244191.08000000007,206512.51999999996,184404.59999999998,256837.2000000003,392775.6,516910.5599999998,514804.28,205644.8,302775.2,266889.6000000001
34,262146.94,237757.26,220182.4,324269.0400000005,445532.6,587109.44,590088.98,229055.91999999998,301752.6,333222.1
35,275751.08,238399.56,225804.64,437344.43999999994,469637.6,585591.92,590896.88,252981.92,300724.2,408072.4400000002
36,274907.2,237572.0,236709.30000000005,455349.9,496430.0,589484.7,592382.1,252146.4,338304.0,475959.6000000001
37,291194.7600000001,236782.44,287144.48,493381.07999999996,499111.8,591047.28,593708.52,251270.76,394147.40000000055,480573.84
38,312994.86,236129.08,286315.34,504554.06,528207.3999999998,600715.32,597454.34,262100.8,472441.3,488222.68
39,382712.88,310658.5199999998,285549.44,504491.76,566955.4,601373.3200000001,596392.44,304802.63999999996,506981.2,491344.24
40,416887.56000000006,368301.5599999998,307850.5599999998,550016.3200000004,587267.4,638943.4799999997,607886.82,374503.07999999996,506179.5,495267.04000000004
41,469554.60000000015,441913.5999999999,380120.5999999999,591325.4,588821.0,696999.4,614448.0,423965.80000000016,536836.0,557175.0000000002
42,493333.89999999997,480360.63999999996,453360.63999999996,593572.22,592043.2,699056.58,614613.28,494179.52,594537.2999999999,578763.74
43,499534.16,496616.48,486731.04,596572.6,592990.8,709683.92,653274.68,493392.88,596403.8,579781.92
44,498735.18,499142.66,485988.42,630099.6,592400.6,754479.14,689424.64,508482.75999999983,599611.0,583446.98
45,506585.8400000001,498399.36,550292.7599999997,647859.88,632418.8,781340.76,712713.52,575019.48,651576.2,615947.12
46,539739.7,538958.0000000002,573236.4,649728.8,648358.0,794828.9,716117.1,582275.2,650095.0,637463.3
47,586750.56,586128.44,575140.24,653675.84,649570.8,797088.4,767201.2,583581.88,654105.8,638459.56
48,588760.18,588592.68,578298.68,654804.46,654948.8,798210.36,768113.56,585385.36,656274.3,640429.18
49,592037.64,588697.4,579331.12,660605.12,658214.0,799978.64,806489.84,586805.2,657270.0000000001,641780.6000000001
50,592007.6,591042.3,583432.36,663529.96,660618.9999999999,799797.68,806376.08,590732.4,666787.8,647466.92
