index,92_1_www.theguardian.com,92_2_www.theguardian.com,92_3_www.theguardian.com,92_4_www.theguardian.com,92_5_www.theguardian.com,92_6_www.theguardian.com,92_7_www.theguardian.com,92_8_www.theguardian.com,92_9_www.theguardian.com,92_10_www.theguardian.com
1,67.0,-442.0,67.0,-442.0,-442.0,67.0,-442.0,67.0,-442.0,-442.0
2,215.6,-127.47999999999956,-173.11999999999995,-564.8799999999999,-218.11999999999966,1744.64,-127.47999999999956,-56.5,824.2400000000002,-442.64
3,431.2,1355.76,1029.8799999999994,1399.4,1349.44,1243.0400000000002,1355.76,-511.0,1422.1200000000001,1556.2
4,506.40000000000026,1201.34,1477.08,1300.64,1189.46,2437.8200000000006,1201.34,1558.5,883.56,1444.24
5,1308.5999999999992,597.1200000000001,1286.6399999999999,729.5200000000002,581.2800000000001,4470.24,597.1200000000001,1594.0,1495.9600000000012,1204.44
6,1975.0,2396.0999999999995,644.8,680.1999999999985,4532.400000000001,7163.8,4751.599999999999,1159.0,2284.7999999999997,569.4
7,1657.2000000000005,3073.120000000001,2605.04,4675.84,4541.32,5864.3600000000015,4560.28,724.0,4347.64,2764.9200000000023
8,878.3999999999997,4353.66,4299.079999999998,4604.5199999999995,4331.54,10483.94,4353.66,2571.0,4301.28,4538.44
9,5214.2,4150.359999999999,4675.72,4367.88,4322.839999999999,14067.88,4150.359999999999,4571.0,7010.04,4602.16
10,5144.6,7024.72,4549.24,4258.160000000001,3868.8199999999997,13634.6,7024.72,4615.5,6985.359999999999,4364.72
11,5044.0,6558.2,4963.999999999997,7074.6,6851.000000000002,19581.600000000002,6402.799999999999,4505.0,8633.6,4452.200000000001
12,5259.6,6686.74,6002.319999999999,6581.04,10999.560000000005,20568.18,5956.619999999999,4720.5,8218.44,6823.959999999999
13,5461.8,9225.96,6556.320000000001,6099.28,10519.520000000008,22631.72,6210.92,3688.0,12705.96,7135.84
14,5349.999999999994,10829.1,8111.400000000003,6183.120000000001,11821.279999999999,24577.020000000004,10824.359999999999,8337.0,14052.2,6256.3600000000015
