index,256_1_www.whatsapp.com,256_2_www.whatsapp.com,256_3_www.whatsapp.com,256_4_www.whatsapp.com,256_5_www.whatsapp.com,256_6_www.whatsapp.com,256_7_www.whatsapp.com,256_8_www.whatsapp.com,256_9_www.whatsapp.com,256_10_www.whatsapp.com
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,1451.4199999999996,1455.3,1483.76,1591.7,1235.8200000000004,1505.3200000000004,1502.66,1475.84,1548.4400000000005,1469.52
3,4108.32,3584.4,4101.96,3601.68,4419.999999999998,4097.72,3856.72,3556.32,4186.76,3564.96
4,5540.560000000009,5135.799999999999,5204.680000000001,4998.38,6727.94,4852.759999999998,4300.459999999999,4855.84,4694.919999999995,4681.5199999999995
5,8257.52,6182.2,8310.56,5993.64,8196.679999999993,8217.92,8316.04,8469.36,8578.64,8178.08
6,13492.4,8209.5,12447.6,8313.7,11506.39999999999,13527.4,9715.300000000001,8030.8,12818.4,8106.400000000001
7,31963.200000000044,13602.8,19182.320000000007,13549.36,12263.84,14738.399999999998,13081.84,13536.76,19430.199999999924,13281.28
8,33841.78,13380.3,34315.84,13450.66,21156.84,34636.880000000005,34964.1,23060.279999999988,34854.96,13846.039999999985
9,34833.24,34601.2,32814.04,35663.68,43430.23999999996,32717.72,34123.92,34779.32,33104.68,35287.72
10,36020.9,33196.4,37147.03999999999,34122.14,41598.06,34424.28,32614.66,32971.52,36998.8,33356.56
11,42349.8,34349.0,42423.6,32541.600000000002,42444.0,38389.799999999996,36624.6,34262.4,40925.6,34727.2
12,44723.92,37413.200000000004,44832.76,36454.03999999999,46227.78,42530.28,42192.76,38311.24,45536.76,37457.87999999998
13,44477.24,42097.6,44033.12,39463.68000000001,50236.76,45230.799999999996,44861.48,42628.52,46874.280000000006,37826.24
14,47826.200000000026,44262.9,44433.6,42950.31999999999,52229.74,45757.199999999975,44814.18,44569.92,45878.399999999965,42050.2
15,58390.12000000001,44064.8,59019.12000000001,44453.24,55161.88,54693.56,42882.04,46452.840000000004,55957.56,44213.28
16,61915.799999999996,47337.5,60315.6,46060.100000000006,62347.39999999998,58065.39999999997,53767.999999999985,46673.000000000015,59050.4,46145.2
17,62023.0,52481.00000000001,59943.44,49104.04,64823.92,59964.76,60700.24,53225.32,60403.92,48901.6
18,62492.76,55843.200000000004,61849.88,55419.68,66299.12,74455.67999999995,60403.92,54935.68,109177.23999999979,55701.44000000001
19,63032.88,58670.399999999994,61019.64,58224.36,69159.43999999996,110886.68,60232.84,70683.52000000002,211600.3199999995,57815.16
20,63973.46,59434.4,83371.83999999998,60693.299999999996,160422.51999999967,142163.71999999986,59474.18,94720.80000000002,251904.76,59845.88
21,64638.2,72436.0,140388.79999999996,59944.4,230925.39999999962,180637.39999999976,103210.5999999999,137500.0,289086.99999999994,67041.19999999992
22,85206.40000000001,154655.40000000023,182288.56000000003,128216.76000000001,275711.58,202002.08,177245.2,149965.52,293813.84,132593.71999999997
23,168056.04000000007,231297.2,225897.36,197472.12,297436.88,268869.24,222361.31999999998,193421.36000000007,295205.16,196975.5599999999
24,241889.36000000004,233563.9,277181.4800000001,233577.92,302176.8,289666.76,268957.42,231107.60000000003,349094.9199999999,265982.32
25,285308.39999999997,286962.8,290496.84,287030.56000000006,315707.95999999996,292905.16,289530.36,245742.8,396017.07999999996,286604.92
26,296798.50000000006,289986.0,296061.0,289463.5,378956.9999999996,316471.9999999998,292738.0,253436.0,453576.9999999999,288656.0
27,296993.84,294138.0,315515.36,294511.08,476115.7199999996,408275.55999999976,301951.36,284049.2,509168.2399999994,293648.76
28,303126.58,310419.80000000005,384636.96,299687.60000000003,568936.6799999994,465858.2799999999,319451.69999999995,288531.24,600424.2399999998,300104.48
29,321947.44,340294.1999999999,457090.24000000017,314415.52,666415.1599999993,550001.72,363963.44,296635.8,679134.7199999996,323611.72
30,341711.51999999996,422914.70000000036,598828.8399999997,363206.51999999996,793473.7599999995,647866.3599999995,386661.92,308542.16000000003,801630.4399999996,343902.96
31,461965.2,527973.0,694352.4000000001,435731.19999999984,934806.5999999994,716956.5999999994,437756.39999999997,370161.0000000002,918032.2,366920.2
32,564574.22,606355.2000000003,786322.7599999997,517041.04000000004,1053117.7599999993,813527.5599999999,497482.88,442455.24,1012265.7599999992,426882.44
33,665904.2400000003,667652.4000000001,904013.96,604307.68,1103599.56,878685.0399999996,567722.7999999999,510485.68,1094650.52,483684.0
34,758202.76,762576.2,994304.6800000005,696723.5599999999,1201630.7599999998,937253.08,652127.6799999999,620068.7600000001,1103124.2,536909.88
35,812871.8800000004,784673.2,1093004.92,772001.1600000003,1328163.4799999997,965040.84,745795.0399999996,712181.1599999999,1135966.96,617718.8800000002
36,873436.5,783736.0,1130618.6000000003,848498.3999999997,1412751.2,1017396.1999999998,836130.9999999995,790292.6000000003,1243897.3999999997,695933.8000000002
37,940743.5200000003,827869.9999999999,1216546.5599999998,926170.64,1493327.5999999999,1090553.88,906111.6800000002,905108.36,1322765.639999999,808220.2000000001
38,1044434.9600000001,914996.7000000005,1318864.28,1034738.8800000004,1566541.8,1093730.44,981296.18,987644.1199999996,1429236.5199999998,941650.52
39,1108653.52,993191.6000000003,1361601.8,1093714.52,1637162.5199999998,1093806.5999999999,1058410.88,1088955.32,1521303.5599999998,1084633.64
40,1153504.5400000003,1073112.8000000003,1468550.8800000001,1102820.64,1706796.379999999,1179678.68,1093868.9,1122169.64,1605539.3599999992,1092963.32
41,1192208.8,1117143.0,1569288.3999999997,1189536.6000000003,1814916.8,1263496.4,1172329.5999999999,1197951.3999999997,1646251.0,1097314.9999999998
42,1240734.7,1173524.5999999999,1646389.0,1298782.8399999999,1889995.94,1353313.0399999998,1252647.9599999995,1303102.9200000002,1702654.7599999998,1200673.84
43,1299441.24,1224670.2000000007,1681504.3200000005,1379935.96,1891259.7999999998,1445487.1999999997,1342277.5200000003,1344483.92,1790859.0799999991,1298946.7599999998
44,1352854.08,1273771.3000000003,1780904.16,1464221.3200000005,1893546.2,1583203.68,1414805.08,1426716.88,1881700.04,1398833.0399999996
45,1426170.84,1336617.6,1871830.9200000002,1523452.5599999998,1897300.72,1679370.6799999995,1512551.36,1499526.28,1886542.04,1496963.3199999996
46,1493561.2000000004,1456801.0,1883198.2,1595814.4000000001,1899842.4,1760861.3999999997,1574181.2,1561947.4,1888861.0,1595926.6000000003
47,1575002.8800000001,1563340.5999999999,1886636.08,1641492.84,1902076.48,1826371.96,1573353.96,1637530.32,1890457.36,1664884.48
48,1669446.8000000007,1647429.8000000003,1890884.68,1686743.64,1903711.8,1873023.64,1643823.3199999996,1645051.72,1892793.88,1710893.9200000002
49,1745405.08,1766297.600000001,1890117.96,1781261.4,1899476.64,1882987.04,1731704.8800000004,1746099.7999999998,1890802.44,1766234.1600000001
50,1869083.0000000002,1854962.1,1887817.84,1880696.88,1897564.88,1887399.96,1834606.2000000002,1840612.04,1886781.96,1847069.84
