index,306_1_www.sueddeutsche.de,306_2_www.sueddeutsche.de,306_3_www.sueddeutsche.de,306_4_www.sueddeutsche.de,306_5_www.sueddeutsche.de,306_6_www.sueddeutsche.de,306_7_www.sueddeutsche.de,306_8_www.sueddeutsche.de,306_9_www.sueddeutsche.de,306_10_www.sueddeutsche.de
1,67.0,-442.0,-442.0,-113.0,-442.0,-442.0,-113.0,-442.0,403.0,-442.0
2,85718.00000000007,57372.659999999996,40654.600000000006,47983.6,18415.52,18753.5,34971.100000000006,37789.12,75231.31999999999,18836.52
3,284825.60000000003,202251.64000000004,179360.36000000004,196007.19999999995,116281.28,74852.2,169261.92,170499.35999999993,296842.04,86240.11999999994
4,378055.6,345671.42,404061.64,366993.0,338972.72,196970.50000000003,332263.3,358392.84,514720.44000000006,286348.32
5,645619.52,676578.4,598412.12,460655.99999999994,544833.92,350448.0,472409.52,559207.8799999999,698704.4,386309.36
6,902680.4,788080.0,677935.5,691915.0,653280.1,391128.5,646707.5,726830.1999999997,799029.8,586298.6
7,925780.04,923587.92,849177.2000000001,911673.6,796072.08,488752.6000000004,781110.76,803739.72,851288.12,648868.96
8,977766.28,944664.58,925823.86,935960.8,914758.46,662782.5,805793.7000000001,925834.7999999999,954263.64,801406.1599999999
9,1058437.36,985420.92,943745.5599999999,968833.9999999999,929242.88,860137.8000000002,886426.04,940967.56,983090.3600000003,917075.12
10,1125536.84,1106080.3,979229.98,1071948.8,954058.8,922371.4,938314.7999999999,973005.2,1079172.36,930492.44
11,1194992.8,1143927.8,1077570.6,1126804.0,1010102.0,939174.0,1011938.0,1031463.1999999998,1141127.2,944402.6
12,1224670.24,1211945.68,1108914.7,1189848.2,1105968.64,965667.1,1074001.34,1098439.44,1216593.96,973924.2
13,1261401.44,1229002.56,1147390.36,1207756.6,1115358.5599999998,1021745.2,1100734.52,1138526.92,1250913.48,1019751.12
14,1302971.04,1301433.56,1194816.98,1255531.2,1147639.98,1054384.8,1132539.08,1164880.16,1328977.12,1044971.18
15,1321978.8800000001,1372953.32,1240545.08,1322547.3999999997,1204721.16,1074075.8,1212368.24,1215454.68,1355200.04,1103447.4
16,1366848.5999999999,1381800.8,1292674.7,1348151.0,1216307.1,1087760.5,1231972.4000000001,1235235.7999999998,1399370.0000000002,1151750.1
17,1391708.2000000002,1420088.92,1369511.8,1392901.0,1256859.68,1168460.4,1242796.56,1273221.9599999997,1474387.88,1189459.5599999998
18,1463873.72,1442307.78,1369438.74,1421619.6,1308833.56,1197506.7,1262756.3599999999,1305883.6,1515374.96,1225039.72
19,1512536.64,1492743.48,1382464.64,1445355.2,1327540.84,1270031.8,1319293.56,1322705.5999999999,1560340.56,1234624.32
20,1519896.72,1550732.42,1416031.4,1521890.3999999997,1361416.3599999999,1279288.9,1370075.52,1381550.12,1596698.8,1243192.44
21,1593938.0,1561184.0,1429778.6,1539875.0,1379307.6,1316931.0,1392674.8,1431441.6,1638533.8,1280246.8
22,1615074.48,1603439.58,1458783.88,1590436.6,1403425.82,1330371.9,1412459.1,1479413.92,1648534.96,1317848.62
23,1635438.64,1625092.64,1503034.88,1621908.8,1415594.24,1367570.2000000002,1445780.4000000004,1523125.64,1659595.88,1351740.48
24,1647823.48,1655427.76,1539644.58,1653692.2,1445193.1600000004,1419338.8,1500194.2400000002,1540237.72,1720072.28,1386123.52
25,1684663.32,1683941.12,1550509.12,1668594.6,1513086.5999999999,1429310.0,1536751.56,1578904.8800000001,1743566.6400000001,1415771.4
26,1697045.0,1704507.5,1614958.5,1680454.0,1520804.5,1461904.0,1555766.5,1593567.0,1800664.0,1455735.5
