index,94_1_edition.cnn.com,94_2_edition.cnn.com,94_3_edition.cnn.com,94_4_edition.cnn.com,94_5_edition.cnn.com,94_6_edition.cnn.com,94_7_edition.cnn.com,94_8_edition.cnn.com,94_9_edition.cnn.com,94_10_edition.cnn.com,95_1_edition.cnn.com,95_2_edition.cnn.com,95_3_edition.cnn.com,95_4_edition.cnn.com,95_5_edition.cnn.com,95_6_edition.cnn.com,95_7_edition.cnn.com,95_8_edition.cnn.com,95_9_edition.cnn.com,95_10_edition.cnn.com,96_1_edition.cnn.com,96_2_edition.cnn.com,96_3_edition.cnn.com,96_4_edition.cnn.com,96_5_edition.cnn.com,96_6_edition.cnn.com,96_7_edition.cnn.com,96_8_edition.cnn.com,96_9_edition.cnn.com,96_10_edition.cnn.com,97_1_edition.cnn.com,97_2_edition.cnn.com,97_3_edition.cnn.com,97_4_edition.cnn.com,97_5_edition.cnn.com,97_6_edition.cnn.com,97_7_edition.cnn.com,97_8_edition.cnn.com,97_9_edition.cnn.com,97_10_edition.cnn.com
1,67.0,67.0,-48.0,67.0,67.0,-442.0,-48.0,67.0,67.0,-442.0,67.0,67.0,-442.0,-442.0,67.0,-442.0,-442.0,67.0,-442.0,-442.0,67.0,-442.0,67.0,67.0,67.0,67.0,-442.0,67.0,67.0,67.0,-48.0,-442.0,67.0,67.0,67.0,-48.0,67.0,67.0,67.0,67.0
2,4663.28,4809.36,4606.0,2636.16,3025.5199999999973,4389.799999999999,2808.4,4721.0,5058.599999999999,4063.6600000000008,-457.5200000000001,233.64000000000001,1350.4,1502.3,1529.1,1607.44,1521.9,10.480000000000103,1472.9,1399.4,1465.4,1360.2,-113.0,1700.24,-193.76000000000073,1519.74,1340.6,1029.8799999999994,1671.2,1732.8,1586.1,525.84,1575.04,878.82,913.1199999999999,1190.88,1265.9599999999998,1316.34,1568.72,844.5200000000002
3,17362.880000000005,10139.52,10902.0,8721.64,8574.159999999996,14250.599999999999,9981.8,8690.0,16282.0,32285.399999999998,1571.88,70.43999999999997,592.32,1036.3600000000001,632.3199999999999,1177.1599999999999,1097.4800000000002,1727.4,944.6800000000001,729.5200000000002,433.68000000000006,619.7600000000001,1551.0,803.3599999999999,1497.9600000000003,4865.12,564.8800000000001,1286.6399999999999,632.92,1120.8000000000002,4265.800000000001,4478.12,2336.08,4611.32,4593.12,3878.879999999999,4758.76,4670.28,3110.759999999999,4629.5199999999995
4,71284.38,95098.44,123090.0,32250.199999999997,82640.39999999998,109283.2,61190.799999999996,81747.0,97984.4,50940.78,1939.2800000000043,1675.48,2548.56,2435.28,4655.36,2807.68,2453.04,1457.08,2385.54,2644.16,4492.04,2221.08,1083.0,2391.38,563.5600000000007,4557.9800000000005,2701.04,2605.04,4649.4800000000005,2318.9000000000005,8164.200000000006,5920.160000000003,6412.800000000001,9248.600000000002,8563.68,6728.080000000002,8363.74,8811.3,6226.719999999999,10169.719999999994
5,118731.88,161332.92,185086.0,36744.48,117294.16,116984.8,59380.200000000004,162575.0,160266.6,49299.83999999999,2790.76,1518.8799999999999,4411.08,4520.4400000000005,3711.68,2701.04,4550.72,1725.959999999997,4405.72,4347.88,7014.72,4398.44,2649.0,4651.36,2558.1600000000003,7180.72,4423.72,4665.72,4659.76,4500.8,9473.000000000002,18459.36,11946.64,14299.44,18453.4,13449.6,22551.440000000024,28410.96,8421.52,20196.6
6,116876.3,184280.8,197561.0,60870.9,184988.9,180389.0,81664.0,181235.0,191121.5,62431.79999999996,4429.7,1025.1999999999985,6959.8,4028.2999999999997,8393.800000000003,4306.8,4054.9000000000005,3021.1999999999985,5863.999999999997,3967.4000000000005,9262.599999999995,6981.4,4760.0,6739.0000000000055,4540.3,12576.400000000005,3320.5999999999995,4691.999999999998,10156.80000000001,4623.0,22596.0,40244.6,31216.999999999996,26769.4,40188.4,35622.4,40349.5,34986.1,15409.4,30009.4
7,221283.08000000002,245957.56,285275.0,69490.88,233911.9199999999,246077.60000000006,155747.4,246212.0,212802.4,73689.36,5600.56,2622.96,6993.079999999999,5761.079999999997,16590.28,5325.800000000001,6480.880000000001,4666.36,6692.760000000001,10326.12,12775.92,6686.88,4231.0,14384.56,9723.4,18637.8,5649.92,6751.559999999998,17119.4,8487.399999999998,36180.0,43627.24,33685.92,26972.24,43723.28,34373.6,44104.28,38193.24,36127.92,42897.2
8,233930.46,325147.3599999999,398932.0,126758.86,322816.66,389324.2,248452.99999999997,269374.0,227034.2,181762.87999999992,7188.219999999998,4658.12,10647.32,6360.8,19409.02,6569.68,8007.540000000001,4154.280000000002,8363.06,12435.679999999997,29453.84,13598.800000000001,6804.0,26742.26,9102.079999999998,25376.1,10388.16,8252.36,17769.16,8250.099999999999,39719.7,123624.40000000001,35741.11999999999,33680.020000000004,87747.36000000007,38175.52,47800.58000000001,44696.98,36083.15999999998,69900.35999999999
9,268251.24,388345.08,430875.0,151796.76000000013,393856.04,397418.2,303549.19999999995,278662.0,236450.2,234754.67999999996,9062.240000000005,4375.12,10711.6,12697.52,21237.32,7153.320000000001,8806.880000000001,9175.159999999996,11007.72,12224.880000000001,38585.28,14413.399999999998,6866.0,27378.400000000005,21759.08,27856.680000000008,16094.839999999998,16711.959999999992,22181.4,9837.999999999996,111034.8,215699.68000000002,73080.68,39941.88,197299.6,125285.03999999998,66211.92,108928.92,38384.76,136521.68
10,374523.1600000001,413900.72000000015,434434.0,340223.8000000001,406916.01999999996,503855.4000000001,325154.8,354043.0,341689.0,334333.8,9147.580000000002,4195.199999999999,19420.08,14443.02,24326.78,7373.520000000001,12335.18,10209.24,13580.400000000001,19757.479999999996,40069.68,31726.040000000008,9707.0,29778.56000000001,20708.82,30488.04,34326.52,18692.52,24688.52,18718.799999999985,181409.20000000007,295165.44,146200.2,44049.28,285646.32,204028.72000000003,105631.6,237421.8,115890.44000000002,173178.48
