index,278_1_www.deutsche-bank.de,278_2_www.deutsche-bank.de,278_3_www.deutsche-bank.de,278_4_www.deutsche-bank.de,278_5_www.deutsche-bank.de,278_6_www.deutsche-bank.de,278_7_www.deutsche-bank.de,278_8_www.deutsche-bank.de,278_9_www.deutsche-bank.de,278_10_www.deutsche-bank.de,279_1_www.deutsche-bank.de,279_2_www.deutsche-bank.de,279_3_www.deutsche-bank.de,279_4_www.deutsche-bank.de,279_5_www.deutsche-bank.de,279_6_www.deutsche-bank.de,279_7_www.deutsche-bank.de,279_8_www.deutsche-bank.de,279_9_www.deutsche-bank.de,279_10_www.deutsche-bank.de,280_1_www.deutsche-bank.de,280_2_www.deutsche-bank.de,280_3_www.deutsche-bank.de,280_4_www.deutsche-bank.de,280_5_www.deutsche-bank.de,280_6_www.deutsche-bank.de,280_7_www.deutsche-bank.de,280_8_www.deutsche-bank.de,280_9_www.deutsche-bank.de,280_10_www.deutsche-bank.de,281_1_www.deutsche-bank.de,281_2_www.deutsche-bank.de,281_3_www.deutsche-bank.de,281_4_www.deutsche-bank.de,281_5_www.deutsche-bank.de,281_6_www.deutsche-bank.de,281_7_www.deutsche-bank.de,281_8_www.deutsche-bank.de,281_9_www.deutsche-bank.de,281_10_www.deutsche-bank.de
1,-442.0,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,3598.879999999999,3770.0799999999995,3572.52,3625.26,3574.68,4093.84,4044.24,3593.04,3645.76,3554.16,1357.34,1377.8799999999999,1500.84,1390.52,1411.06,1374.72,1691.36,1655.3999999999999,1396.84,1526.8799999999999,1340.6,1363.66,1668.7,1412.64,1141.4799999999996,1643.42,1389.6000000000001,1335.6999999999998,1373.14,1343.1200000000001,1366.82,1395.26,1384.2,1436.34,1388.94,1373.14,1382.6200000000001,1401.58,1335.22,1418.96
3,8750.639999999994,8946.24,6249.96,6110.88,8681.48,6528.04,10154.52,6046.92,8460.28,8487.76,4041.88,3987.48,3848.1600000000003,3952.92,3837.1200000000003,3996.12,3950.4000000000005,3747.24,3935.64,4093.48,3957.7999999999997,4026.36,4069.4,3824.2799999999997,1444.24,4080.2000000000007,3549.7999999999993,3998.600000000001,4000.44,4072.84,4017.72,3939.96,3970.2,3631.68,3957.24,4000.44,3974.52,3914.1600000000003,4090.04,3772.92
4,14714.83999999999,16425.88,16219.14,13336.2,16279.179999999998,13064.600000000006,13879.08,16087.04,16066.639999999998,13536.839999999998,5406.18,5365.76,4449.04,5324.96,5370.38,5195.56,4937.440000000002,5201.88,5035.12,4595.840000000005,4128.72,5065.520000000001,4132.7,5269.36,3447.7999999999997,4088.18,4129.52,4094.54,5474.72,5123.24,5124.420000000003,5469.02,5480.6,5162.62,5378.0599999999995,5343.400000000001,5256.66,5576.44,5270.06,5048.04
5,22536.199999999983,20369.280000000002,19790.92,17786.68,20102.079999999998,18455.92,21556.199999999997,20043.96,19899.56,19869.36,4497.16,4474.12,8348.360000000002,6673.08,5351.959999999997,3991.9600000000005,7099.44,6400.36,6023.52,8204.28,4897.24,7101.08,4474.8,6400.64,3599.52,4770.5599999999995,5065.12,4916.679999999999,4326.5199999999995,4344.16,4417.76,4258.679999999999,4645.199999999998,7031.44,6558.44,4605.36,6476.36,4528.279999999996,4096.96,6237.96
6,27926.4,20718.399999999994,20806.9,19982.199999999997,20842.000000000004,20483.600000000002,27766.600000000002,20195.0,21992.999999999993,20478.199999999993,8444.699999999999,7566.600000000003,7794.0000000000055,8015.200000000001,8205.1,8224.4,9127.200000000008,8396.6,8294.400000000001,16184.800000000001,6192.799999999999,9910.500000000005,6235.5,8293.199999999999,5173.499999999998,6083.7,6290.6,6218.099999999999,8535.800000000001,8329.6,8300.399999999996,8484.199999999999,8487.0,10428.1,8396.7,8572.699999999999,8433.1,8617.300000000001,8132.399999999997,8185.8
7,28255.760000000006,58639.68,46643.88,45100.84,46893.48,45030.88,29132.199999999884,44699.92,48020.12000000001,47739.72000000001,8497.16,7891.12,17947.44,8641.88,9131.799999999992,7690.880000000001,13316.24,8604.8,9037.199999999995,18474.52,8238.08,13371.36,8450.8,11549.200000000003,4726.24,8231.52,8284.96,8297.56,8059.5599999999995,7938.4800000000005,7959.68,7671.04,7609.800000000001,12376.320000000002,9351.200000000008,8038.5599999999995,10416.599999999999,7905.399999999995,7755.28,12553.399999999994
8,54351.24,89972.32,82945.8,52212.299999999996,71568.64000000001,87705.64,59902.76,84178.88,81396.16,83165.28,16325.54,13816.399999999998,18205.32,12798.16,17947.679999999993,13210.68,12058.320000000007,18172.36,17429.519999999997,19721.24,8369.799999999996,12157.039999999999,13997.699999999999,17966.28,5020.359999999994,9204.199999999999,7896.4400000000005,8312.300000000007,16177.380000000001,16181.600000000002,16090.94,15971.439999999999,15988.8,14612.519999999997,18233.52,16316.339999999998,18189.96,16308.240000000002,16170.820000000002,17585.920000000002
9,98874.48000000001,149976.24,91084.28,91409.56,84434.36,91918.88,90583.52,82162.56,92607.84,91535.32,17589.72,17648.04,20644.08,13596.64,18452.84,17821.12,16316.88,18681.68,18572.68,19828.92,16037.48,16418.32,17835.600000000002,18277.72,6020.96,15819.119999999999,16078.320000000002,16026.359999999999,17989.440000000002,17431.96,17692.56,18565.52,18612.6,15830.88,18738.88,17765.12,18642.68,18778.16,17429.76,17865.76
10,119788.6799999998,251195.76,96708.51999999993,93224.34,95404.38,116043.56000000004,136368.8,127376.75999999997,128150.88,161996.24000000002,18244.52,18976.679999999993,20255.199999999993,17061.400000000005,19728.54,19927.12,15463.14,20019.079999999998,19750.56,46395.119999999995,17949.440000000002,17022.1,18342.9,20259.12,8027.58,18372.360000000008,17511.92,18152.08,20104.039999999994,17782.24,18441.519999999997,19945.739999999998,20082.800000000003,21582.4,19929.46,18066.920000000002,19940.58,19907.22,18119.38,18685.120000000003
