index,252_1_www.faz.net,252_2_www.faz.net,252_3_www.faz.net,252_4_www.faz.net,252_5_www.faz.net,252_6_www.faz.net,252_7_www.faz.net,252_8_www.faz.net,252_9_www.faz.net,252_10_www.faz.net
41,2498391.6,2507597.2,2258877.0,2291137.8,2224024.2,2270353.4,2244747.799999997,2259155.0,2407087.8,2392519.6
42,2500060.64,2540398.84,2304078.6,2357960.68,2283615.36,2342051.4,2351937.72,2301946.6,2520638.88,2436142.2
43,2516074.28,2552193.84,2365370.4,2453956.360000001,2311976.5200000005,2359192.96,2412842.4,2365719.0000000005,2526556.84,2460581.1199999996
44,2557379.08,2650581.96,2371030.5999999996,2634333.92,2372135.44,2366499.04,2458506.1999999997,2412837.8,2539041.76,2529917.16
45,2570181.96,2656647.5999999996,2405605.0000000005,2703940.04,2418811.2399999998,2435305.04,2556358.8,2456856.4,2553863.76,2567508.28
46,2578824.8,2671512.6,2570356.5,2716419.4,2436332.9999999995,2605651.6,2576742.4000000004,2535843.0,2669307.6,2614516.2
47,2599538.48,2678903.92,2585712.2,2724674.96,2491923.3599999994,2705849.36,2672958.7199999997,2625618.2,2677243.96,2678875.2
48,2612029.96,2712212.12,2691162.6,2741119.7600000002,2646239.1999999997,2719569.64,2696125.2399999998,2633253.2,2695931.14,2733675.72
49,2620508.32,2728133.56,2696842.6,2774754.04,2735996.8,2729448.36,2717659.0,2741721.2,2730476.7600000002,2772426.32
50,2633864.46,2729832.7600000002,2710421.7000000007,2784588.6399999997,2784351.64,2770088.2400000016,2728515.8400000003,2758967.2,2752889.3,2780695.36
