index,17_1_www.b-tu.de,17_2_www.b-tu.de,17_3_www.b-tu.de,17_4_www.b-tu.de,17_5_www.b-tu.de,17_6_www.b-tu.de,17_7_www.b-tu.de,17_8_www.b-tu.de,17_9_www.b-tu.de,17_10_www.b-tu.de
1,-442.0,67.0,67.0,67.0,67.0,67.0,-442.0,-442.0,67.0,67.0
2,1433.7,327.72,276.3999999999999,415.84000000000003,334.92,98.04000000000008,1583.76,1566.0,286.42,-297.08000000000015
3,825.56,382.91999999999985,1697.6000000000001,208.75999999999988,196.56000000000034,1779.76,1187.48,1235.0,262.8400000000005,1505.52
4,2277.02,1935.2,914.4000000000001,1889.36,1685.1799999999994,3208.16,861.4799999999985,2493.0,1812.94,858.2399999999999
5,4323.64,1386.8399999999997,4864.2,2252.2400000000016,1412.1200000000008,4893.88,2438.639999999998,4614.0,1942.680000000001,2551.7599999999998
6,6803.599999999999,3900.400000000005,4905.0,5129.8,4847.399999999997,6794.800000000002,4453.2,4560.0,2957.7999999999993,4714.2
7,7113.28,4959.28,6928.2,4433.28,4761.279999999998,6624.52,7060.84,6915.0,4720.12,4642.24
8,7825.22,6583.200000000002,8722.4,6557.319999999998,7050.76,15190.08,7109.04,6183.0,5069.800000000007,7129.36
9,9524.28,7600.520000000004,14781.800000000007,8640.88,8103.52,22648.199999999997,8645.28,7686.0,6951.84,7244.44
10,9956.519999999999,8623.32,21119.800000000003,10427.039999999999,15428.399999999998,52762.32,11459.799999999992,21184.0,8846.62,6344.5599999999995
11,22150.399999999998,20823.40000000002,51174.0,16578.2,21353.600000000002,53528.2,21178.6,23145.0,15166.4,13627.200000000026
12,49201.63999999997,21682.60000000001,53044.200000000026,47336.32,53083.42,70173.60000000002,41590.15999999999,52359.0,14442.539999999999,21184.64
13,52560.52,52577.36,68018.4,51022.32,53829.360000000015,99143.76,51471.88,50891.0,29459.199999999968,39957.64000000001
14,54273.58,55152.24,69742.6,82398.8,56578.32000000001,97607.48,54859.88,65230.0,52676.340000000004,55364.68000000002
15,53189.92,57074.200000000004,72658.4,94653.16,100182.36,101119.32,55808.12,68631.0,51823.32,80668.04000000002
16,54945.599999999984,92335.80000000003,103064.0,93266.2,98340.9,105563.2,99561.20000000001,70752.0,53459.7,84634.4
17,57021.44,98761.64,154863.60000000003,91953.08,97963.48,124306.11999999994,98051.12,91459.0,52998.56,86258.16
18,60449.68,97669.24,169717.2,118314.52,109700.94,189324.08,99221.72,135682.0,54792.34,85985.64
19,61313.68,123179.64000000001,188743.20000000004,120678.52,124237.76,253945.51999999993,98870.72,178082.0,56750.439999999995,100798.72
20,92340.58,127269.28,204714.8,141469.08000000002,124544.11999999994,313035.11999999994,123523.99999999999,214368.0,56833.04,101080.56
21,114941.59999999998,129412.4,218523.0,149293.8,167122.59999999992,356106.8,131030.8,227618.0,61009.6,99239.59999999999
22,153049.9,130723.60000000002,252324.4,185414.68000000017,206588.16000000003,376052.24000000005,130945.84,261308.0,60913.58,101251.96
23,175037.16,158469.96000000017,280492.60000000003,244435.96000000002,261137.32,413167.28,150246.31999999998,298242.0,91205.48,103224.68
24,207136.44,206889.48000000004,306451.79999999993,291636.68,332407.52,448476.72000000003,204030.87999999983,341016.0,103968.32,105448.40000000001
25,269093.7600000001,249033.24,349281.00000000006,316795.08,362114.52000000025,508201.60000000003,236752.07999999996,388658.0,130338.55999999994,149297.92000000004
26,307639.0,293215.0,408335.0,369289.0,415166.0,553080.0,258056.0,454468.0,145686.0,183075.00000000003
27,344295.27999999997,343410.36,450300.2,402416.92,432090.60000000003,613204.32,304827.04,504218.0,169677.24000000005,201135.88000000018
28,382777.4800000002,383852.04,510998.2,430601.23999999993,485790.95999999996,645674.08,349970.1599999997,556888.0,207600.60000000006,243856.6
29,430545.92,421587.8,548900.2,474254.60000000003,538865.0800000001,707660.96,375534.96,555403.0,242927.32000000007,266005.64
30,466728.83999999997,439662.04000000004,581156.6000000001,522813.48000000016,578641.44,760157.6,413636.0799999999,602554.0,268520.55999999994,298939.48000000016
31,475522.39999999997,472072.20000000007,605821.0,548878.6,610292.2000000001,815981.2,456781.6,621780.0,302348.1999999999,329879.4
32,501471.48000000004,500878.36000000004,635741.4,591930.7600000001,641476.8799999999,850656.4,480421.52,624577.0,341694.64,366684.28000000014
33,541747.6,517502.2,677341.8,605475.7200000001,689954.36,881456.7999999999,511244.63999999996,626698.0,382209.0800000001,400938.60000000003
34,581356.04,571846.76,728286.2,646192.68,734422.64,937183.52,537921.36,637485.0,414817.52,408953.4
35,601427.2000000001,608636.52,747403.6000000001,702759.32,772155.08,974851.8799999999,559517.28,685775.0,430570.3600000001,471630.7600000001
36,642326.6,637918.6,773236.0,751856.6,785586.8000000002,1016804.0,579069.2,705797.0,473654.40000000026,500817.4000000001
37,682496.48,663789.16,802247.0,794256.44,817920.6,1019095.08,595433.28,728292.0,506752.0399999999,529132.04
38,701715.1599999999,692988.5200000001,818433.8,831649.32,856603.2000000001,1030167.48,618713.04,748999.0,539185.28,557710.68
39,744845.1200000001,737981.8,831372.2,841598.6,919291.4,1069099.2,658007.2799999999,776340.0,562354.92,619889.3200000001
40,786240.52,785858.04,847209.6,884334.4400000002,941341.12,1097861.8,686294.0799999998,815855.0,593590.9600000001,658728.2800000004
41,818023.2,810173.4,866743.0,919601.0,964809.8,1100052.2,722898.7999999999,842245.0,625082.6000000001,699918.6000000003
42,848337.88,824932.4400000003,879747.4,957980.04,997049.68,1104925.68,739881.12,865715.0,649186.64,713593.2400000003
43,872511.9600000001,866892.6,882158.2,997384.0800000001,1010409.9600000002,1104222.16,781721.5199999998,877505.0,678991.8799999999,748912.68
44,893658.76,902238.68,898632.4,1005722.8,1018088.52,1104537.72,824592.0799999996,908275.0,695825.12,785470.5200000003
45,921817.9199999999,920225.24,965021.6000000001,1013408.32,1031222.32,1106395.72,851016.48,936125.0,744369.24,797969.1600000003
46,937628.6000000001,941482.2000000001,985014.0,1025924.4,1032643.0,1107371.4,873692.7999999999,999293.0,787777.2000000001,827671.0
47,975678.8,985028.7600000001,1012014.4,1064799.28,1071315.6,1109336.12,899383.9199999999,1035938.0,833813.24,863709.8
48,1001668.0,1009855.3200000002,1036137.8000000002,1090912.1199999999,1098272.6,1110738.2,913446.24,1059655.0,881195.68,882345.0800000001
49,1048791.5200000003,1017848.96,1077948.6000000003,1093388.8,1103705.84,1111626.56,932542.8799999999,1087505.0,903304.5199999999,908025.4
50,1094654.0799999998,1019371.72,1100277.8,1098095.28,1104073.92,1113034.12,963422.08,1098915.0,919691.6,942796.76
