index,241_1_www.nist.gov,241_2_www.nist.gov,241_3_www.nist.gov,241_4_www.nist.gov,241_5_www.nist.gov,241_6_www.nist.gov,241_7_www.nist.gov,241_8_www.nist.gov,241_9_www.nist.gov,241_10_www.nist.gov
1,-442.0,-442.0,-113.0,-442.0,-113.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,1477.8,1502.3,695.2800000000002,1423.7,1193.7999999999995,1360.2,1433.7,1588.2,1389.6000000000001,1419.0
3,2521.4000000000015,2107.399999999999,1490.76,3734.4,1253.6000000000001,3794.5999999999995,3182.6,1354.3999999999999,3549.7999999999993,3304.999999999999
4,3598.880000000001,3563.88,3696.459999999999,5051.3,3591.4,4165.56,3934.5400000000004,3894.8999999999996,4146.48,4020.7999999999984
5,5219.08,5434.280000000001,5551.48,6253.8,5514.400000000001,5060.64,5083.88,4148.6,5307.160000000001,5126.599999999999
6,4194.4,4463.4000000000015,4630.099999999999,8306.5,4331.0,6367.2,6351.2,5126.0,6960.6,6444.0
7,6599.560000000009,8467.24,6335.92,12732.399999999996,8262.799999999994,8417.76,8392.56,6560.2,8718.32,8518.6
8,8403.32,8419.78,8501.460000000001,16557.00000000001,8336.599999999999,8061.680000000002,7997.9800000000005,8467.399999999996,8150.64,8490.200000000003
9,11351.600000000006,9773.599999999997,10994.800000000001,26686.2,13812.199999999997,14347.44,14427.64,8601.6,12924.279999999997,14230.399999999996
10,14105.079999999998,14262.82,14389.06,29378.200000000008,14399.99999999999,22037.84000000003,15572.199999999999,10342.00000000001,14289.160000000002,14660.999999999996
11,14389.000000000004,27517.0,28108.6,29726.0,26963.0,26694.2,27746.399999999998,14351.0,27513.19999999999,29147.0
12,17326.84,26913.14,26476.66,31183.7,27866.799999999992,27975.56,29038.54,24156.800000000032,29772.839999999997,29700.6
13,32282.48,28176.12,27951.239999999998,32531.600000000002,30394.600000000002,30235.32,32843.159999999996,26980.600000000002,33046.88,30140.400000000005
14,33038.96,30275.88,30103.66,34437.1,29895.200000000004,29135.44,33450.41999999999,26258.600000000002,35930.92,31590.2
15,34504.96,29877.36,31850.12,50746.2,31398.8,30846.04,34566.44,28135.2,34144.92,33058.200000000004
16,34498.400000000016,28600.200000000004,31438.3,51310.5,33120.0,32539.600000000002,35860.6,30230.5,36188.2,34948.0
17,37433.16000000001,30602.559999999994,32705.28,66221.79999999997,34464.799999999996,34663.76,37939.64,29754.200000000008,38054.08,51492.600000000006
18,37498.88,32392.18,37335.56,81398.0,39549.599999999984,37559.08,37527.24,31432.100000000002,37765.83999999999,50241.799999999996
19,37665.68000000001,34507.72,51267.76,125292.8,50846.8,53676.68,36401.04,33190.4,38974.28,51603.2
20,40600.44000000001,40304.119999999995,50545.22,125623.9,49647.2,52859.36,38464.54,32897.4,40729.72,53668.4
21,40492.8,49874.999999999985,51406.600000000006,144468.0,67244.0,61158.4,45942.99999999999,37632.0,42420.6,55709.0
22,45304.2,50128.86,54416.60000000001,176642.7,77176.99999999997,68257.08,59427.86,51107.4,51473.03999999994,54892.6
23,56470.640000000014,51326.52,65967.20000000001,180122.4,97101.79999999999,90272.35999999997,59402.52,50104.4,60506.44,65544.99999999997
24,58192.48,53256.16,74651.74,185356.5,98475.2,117999.31999999992,58380.62,51367.00000000001,60573.159999999996,75553.8
25,60444.96,68269.48,77483.64,210047.5999999999,98971.5999999999,147780.43999999997,60857.44,52097.8,59585.08,78038.8
26,71003.0,70361.5,81542.0,224805.0,119320.0,179522.0,83671.5,74739.5,74773.0,89055.0
27,79473.72,88193.15999999992,119883.08000000003,239915.99999999997,139666.6,180861.68,90354.51999999993,84932.40000000002,85921.4,102430.39999999995
28,90922.36,116206.97999999984,123174.56,252824.59999999998,178830.0,178510.36,115526.86,115771.60000000003,117168.79999999997,109819.2
29,89751.52000000005,129006.64000000001,127257.80000000002,257297.4,182153.19999999998,183001.87999999998,134199.24,125622.2,132228.72,115616.19999999987
30,128099.83999999998,146332.64,165541.59999999998,275746.8,184024.99999999997,188619.36000000002,149047.56,124993.2,131475.32,128504.8
31,149453.40000000017,153818.8,180242.6,280299.0,202317.0,203507.79999999996,162912.39999999985,127011.0,171313.0,154193.0
32,164536.87999999998,170830.80000000002,179075.86000000002,279896.1,221150.6,229791.84,186849.30000000002,155677.20000000027,188012.4,180869.59999999998
33,188406.04,179124.96,184892.2,280492.8,249284.19999999992,243750.2799999999,190252.76,176856.6,189132.12,185824.4
34,187855.75999999998,182596.83999999997,192488.80000000002,282128.0,263913.20000000007,259231.0,195598.08000000002,178002.4,189781.36,188970.6
35,191624.56,202109.28000000003,210412.0,288048.6,273498.0,273894.64,225621.91999999998,179771.4,204209.79999999993,186710.59999999998
