index,358_1_www.spotify.com,358_2_www.spotify.com,358_3_www.spotify.com,358_4_www.spotify.com,358_5_www.spotify.com,358_6_www.spotify.com,358_7_www.spotify.com,358_8_www.spotify.com,358_9_www.spotify.com,358_10_www.spotify.com,359_1_www.spotify.com,359_2_www.spotify.com,359_3_www.spotify.com,359_4_www.spotify.com,359_5_www.spotify.com,359_6_www.spotify.com,359_7_www.spotify.com,359_8_www.spotify.com,359_9_www.spotify.com,359_10_www.spotify.com,360_1_www.spotify.com,360_2_www.spotify.com,360_3_www.spotify.com,360_4_www.spotify.com,360_5_www.spotify.com,360_6_www.spotify.com,360_7_www.spotify.com,360_8_www.spotify.com,360_9_www.spotify.com,360_10_www.spotify.com,361_1_www.spotify.com,361_2_www.spotify.com,361_3_www.spotify.com,361_4_www.spotify.com,361_5_www.spotify.com,361_6_www.spotify.com,361_7_www.spotify.com,361_8_www.spotify.com,361_9_www.spotify.com,361_10_www.spotify.com
11,326634.8,332641.6,465661.8,521677.19999999995,508577.0,326034.2,409862.0,431249.2,444281.4000000001,470833.0,452955.2,383502.8,422527.6,447249.8,439472.4,445374.0,465407.8,439676.0,449607.4,433526.6,413160.80000000005,386035.8000000002,342097.0,419946.39999999997,401859.8,392679.0,406447.8,370303.20000000007,326182.0,301876.2,423159.6,322096.4,372147.0,298504.6,354593.79999999993,306563.0,389820.0,311006.00000000006,358524.00000000064,370836.8
12,385726.23999999993,357191.79999999993,668114.2400000001,667208.32,674211.8,420626.4,640572.28,524171.75999999983,638498.38,640324.6,478410.3599999999,421722.76,430637.58,461923.2,446304.3599999999,452889.2,473460.68000000005,454700.6,456748.08,440370.82,418914.92,417063.08,407581.7,476933.60000000003,412828.74,412449.76,412069.24,398746.84,421420.48,416001.76,431145.1999999999,420931.88,421018.28,306046.51999999996,423159.56,341571.74,395421.1,373733.14,423703.95999999996,418639.64
13,492447.0,445236.35999999987,713906.08,729118.5599999998,735128.2000000008,648327.32,656031.4,667465.12,675707.4,658027.0,608835.64,427144.44,438363.68,572311.6000000001,462369.72,528641.9999999995,497233.68,627062.3999999999,471929.32,457723.6,460780.7599999999,437069.2,412639.6,732098.84,422951.2,565735.9200000003,444259.5199999999,414445.8,426789.80000000005,424885.16,483805.4,426692.56,429806.16000000003,399754.04,433158.60000000003,399429.96,394744.39999999997,400463.64,435666.12000000005,425088.16
14,567536.28,631497.1599999997,905338.34,905025.74,914377.3,654075.2,878503.0800000001,683348.36,872439.28,831849.7000000003,767455.76,443842.92,484528.39999999997,761857.84,478027.24,647650.3999999999,502679.66,762244.4,476999.16,563104.8000000002,636864.4,568281.8,458715.19999999995,735576.92,578825.56,711202.26,679228.6400000001,537239.56,441805.84,434652.68,625438.3999999999,441381.52,431666.16000000003,459387.8400000001,525106.96,417269.3,420705.7,417107.9800000001,495760.76,441135.6
15,676643.6799999999,683014.5599999999,915032.44,910723.72,919943.6,753798.6799999996,880321.68,882817.8800000004,874269.52,881353.2,769589.7999999999,450682.76,751453.56,766009.68,480743.16,763960.4,502155.48,764396.8,483126.32,686515.28,736634.56,733420.04,686504.1999999989,749996.2000000001,727073.08,716866.92,727333.24,717453.64,447477.92,517360.8000000001,740678.48,446933.27999999997,441278.16000000003,511136.28,644174.92,503469.27999999997,433223.6,554596.44,516498.04,498929.24
16,703979.2,756577.9999999998,928448.3,931445.9999999999,965666.5,886982.8,892490.4,922774.1,889642.9000000001,892751.5,780761.6,456672.2000000001,755804.6,778016.4000000001,488177.39999999997,770147.0,551305.4000000001,776019.0,524828.6,766772.6,739424.4,739624.4,729936.9999999999,781432.8,733951.9,732857.9,738073.1,718487.6000000001,509864.0,699759.6000000002,752215.6,462687.2,446136.2,538374.4,672954.2000000001,639136.2,474764.0,697331.8000000002,579546.0000000001,550480.2
17,730086.68,868552.28,971651.4400000001,1005451.88,1009162.8,892410.84,941779.4400000001,958904.48,935866.68,941945.4,913692.2,460246.92,767050.6,833365.36,542513.28,779151.2,586996.52,924873.9999999999,543518.76,771816.32,754245.52,746225.32,742452.8,842379.88,747996.92,762127.56,748190.16,732989.08,582390.12,743439.64,767664.32,511917.52,469761.12,625384.24,701369.56,717225.28,546647.8000000002,718900.28,698559.92,559867.72
18,765676.0800000001,885773.68,1017103.0599999999,1012685.32,1046987.6,903865.4399999997,986493.72,965415.26,982145.26,987008.4000000003,975896.12,522745.84,901426.0799999991,976580.36,646682.16,892015.7999999999,593214.3999999996,970843.9999999999,652644.2000000008,849171.5600000004,801369.84,793272.28,786807.3999999997,851941.8000000005,789976.72,820267.26,816936.44,810076.48,647697.76,754747.7200000001,810490.7199999999,531270.52,540224.2,785914.88,749523.48,722540.58,594194.5000000001,750336.64,798213.8000000002,642564.7200000001
19,863805.0800000001,929168.0399999999,1020321.24,1040871.24,1048592.4,983276.48,991460.64,1010344.04,1014550.24,992839.4,1019932.68,607106.92,969167.56,1021235.24,700942.6000000001,979379.6,835366.28,1015078.8,706875.3199999998,893307.36,845471.68,832083.12,836460.4,880482.3200000001,793385.16,850315.68,832943.92,820916.68,695623.76,793402.2400000002,855267.52,660850.0400000002,600722.32,810680.48,804899.64,732507.2399999998,688802.8000000011,783501.6000000001,845379.36,731752.24
20,977188.6399999999,946851.2799999997,1051280.68,1042829.0,1050723.9,990644.56,1022670.2,1017574.82,1015816.48,1022536.4,1055937.36,666550.52,1003784.74,1053336.28,873002.1200000001,1018489.8,939810.7,1048162.6,881643.9200000002,936127.54,874409.56,873999.04,867217.6,892913.12,838140.46,855027.0599999999,867166.9,850942.5599999999,790354.9200000003,804907.9199999999,886837.76,736912.0399999999,653304.7999999999,847776.4400000001,850029.88,783033.28,818452.1,820206.86,876250.1200000012,760484.6000000001
21,1030877.2,1021169.2,1054607.0000000002,1045295.8,1052986.0,1021860.8,1024924.4,1047559.3999999999,1019033.7999999999,1025243.0,1054608.2,701908.4,1017475.3999999999,1061424.4,902432.4000000006,1050974.0,1033135.4,1058816.0,1001355.8,1041846.6000000001,881401.4,875142.2,870711.0,899254.2,865774.0000000003,857603.3999999999,867719.6,853955.2,874084.4,811246.8,891349.2000000001,816860.8,708450.4,880897.4,880438.8,822794.9999999997,851084.0,853002.4,881032.4,850981.0000000002
22,1032778.16,1052435.46,1065812.4200000002,1055383.14,1064009.0,1035143.08,1028602.08,1058684.28,1022638.68,1032298.5,1069166.92,716355.2400000001,1046617.16,1072286.68,1029744.7999999998,1058358.6,1049192.94,1068167.6,1032773.72,1056603.82,883682.48,877987.84,871895.2,907023.6799999999,873167.14,862524.88,869997.64,855617.96,878049.04,857211.96,894786.4,874341.52,761848.2,885005.44,883677.12,852511.54,853833.6,854816.68,885590.92,882117.6
23,1037121.24,1061086.28,1073223.04,1072219.4799999997,1101937.8,1038371.2,1037670.4400000001,1057574.8,1031366.84,1070026.8,1189230.8,906017.2400000001,1048396.08,1076907.76,1040345.7199999999,1185363.4,1055997.2,1070199.2,1035649.4400000001,1096678.4000000001,887865.28,879896.84,875432.4,942379.4800000002,875275.92,870632.04,875833.72,858919.68,881188.64,863292.52,900477.92,884409.88,814888.7999999999,888415.72,886173.84,862131.88,857151.8,858827.24,892476.9199999999,883775.24
24,1045791.56,1066551.12,1081420.84,1098139.78,1107827.2,1039806.32,1078069.72,1057789.26,1072415.16,1078884.9,1254365.72,942607.44,1053336.08,1085055.48,1074879.04,1188478.6,1067269.8,1073014.4000000001,1080824.44,1193056.58,894268.56,889216.8,881979.2000000001,950011.1200000001,881459.38,908550.66,880198.4000000001,862717.4,880504.52,887344.52,907375.64,888094.56,866550.36,889748.56,888833.08,866721.02,859685.2999999999,858046.16,897171.84,887059.64
25,1085866.72,1066177.44,1119817.04,1110522.44,1120203.8,1045128.04,1082973.56,1072145.8,1078082.08,1085962.4,1260890.56,1022149.48,1061674.6,1153518.88,1090133.96,1191928.0,1080327.7999999996,1093099.9999999993,1088233.8800000001,1196045.88,933033.32,897377.96,921496.6,959906.92,887497.6399999999,914567.8,916517.16,904321.16,885649.88,890009.84,944638.84,892720.48,899652.16,900836.96,894620.4,869151.04,883195.600000001,861762.08,924126.64,889199.2800000001
26,1096682.0,1072872.5,1130021.5,1242313.0,1138935.0,1051371.0,1092627.9999999998,1115959.5,1095832.0,1092992.0,1273830.0,1055159.0,1072047.0,1165978.0,1153789.0,1200349.0,1207791.5,1208791.0,1159198.0,1200985.5,939709.0,930387.0,928030.5,1060044.0,895347.0,919281.5,926625.0,907895.0,909517.0,897478.0,983010.0,900609.0,904533.0,936043.0,932628.0,875291.5,907324.5,871787.0,943635.0,897698.0
27,1106303.28,1082534.0399999998,1237644.6,1250921.4,1152563.2,1091289.76,1211004.2,1124853.8800000001,1139754.2800000007,1096422.8,1281664.48,1066951.96,1204399.76,1294425.92,1217722.5200000003,1267988.0,1213617.72,1222827.0,1264058.04,1206443.0800000003,963380.84,935818.6,1035751.5999999997,1101158.76,928003.72,923354.28,1021856.52,984151.640000001,931042.68,905635.76,1073789.1199999999,937368.72,912983.92,953447.6,965534.16,880415.52,935006.6000000001,907382.88,1001387.4800000006,922905.3200000002
28,1118964.72,1119485.1800000002,1272067.48,1264518.1799999997,1270952.2000000004,1094250.64,1231092.76,1160307.1999999997,1234480.84,1117100.9,1320687.24,1133620.6,1215366.54,1334147.88,1290289.6,1277091.6,1230981.94,1230776.0,1293705.04,1222407.1,1031901.28,948832.4000000001,1069182.3,1110921.6,941722.7,944201.7999999999,1067394.3,1048131.52,953086.0,939959.64,1088658.08,941355.8400000001,950937.24,1004554.72,1068215.8800000001,919081.4,1046094.9,915766.94,1084506.96,938262.24
29,1127355.8,1127383.4,1286264.08,1279634.96,1280638.2,1105896.88,1242181.5199999996,1266243.44,1247354.16,1125408.0000000002,1328184.32,1260657.56,1252653.84,1340370.04,1302195.8,1282350.8,1244814.44,1311946.999999999,1303002.56,1232436.96,1087486.96,1069053.16,1075365.0,1122465.04,1004457.9199999999,1024854.6800000002,1070802.64,1058190.2,1000831.96,950899.72,1099206.48,976355.9199999999,954506.76,1076384.2399999993,1074965.92,923216.88,1052451.2,922541.16,1094143.6400000001,975667.24
30,1163790.52,1147467.96,1296146.84,1283446.8800000001,1292066.0,1161382.5199999996,1261191.64,1267579.98,1254484.8,1254920.4,1341781.56,1263461.52,1316660.8800000001,1356557.84,1311542.08,1325947.8,1311960.04,1335061.6,1313587.72,1297194.72,1086765.04,1080582.24,1088493.3,1134579.84,1074851.4400000002,1077905.22,1085566.58,1061721.24,1016688.04,987606.04,1114513.24,988689.52,967149.36,1089553.92,1082295.56,966410.8,1066888.0000000002,947989.22,1100046.32,1039714.72
31,1177193.8,1191629.4000000001,1303030.2,1291325.4,1303159.0,1237894.2,1262731.6,1281873.4,1258202.4,1267843.0,1349149.0,1272691.4,1329956.8,1366093.8,1313982.2,1330330.0,1319868.2,1348786.0,1317718.5999999999,1334405.4,1102184.5999999999,1101417.2,1098519.0,1142024.0,1091632.8,1129102.6,1085011.2000000002,1073217.2,1066755.4000000004,1032737.2000000004,1122874.2,1001776.9999999999,978405.0,1103098.0,1099078.2,975297.2,1074445.0,1060233.0,1110094.2,1079510.6
32,1224310.32,1202293.06,1328791.68,1301987.38,1312662.4,1246746.6,1265950.52,1288202.14,1269489.4,1300200.0999999999,1360834.84,1285567.0799999998,1343662.78,1375438.72,1322081.1199999999,1338024.0,1366131.3,1364329.8,1321348.92,1340920.98,1115479.0,1107362.4,1104800.2,1146474.56,1102174.86,1135508.92,1101360.94,1078852.04,1084472.2,1089775.16,1171998.92,1037256.3999999999,986642.4,1111795.8,1108560.08,989037.46,1085052.9,1067816.28,1124472.0,1097971.9600000002
33,1311723.68,1289107.0,1335124.32,1309754.4,1319542.6,1255083.36,1281690.36,1297555.96,1278231.44,1337600.8,1364297.52,1293403.16,1349685.08,1388645.8,1339843.52,1354456.4,1409985.76,1369103.2,1325433.72,1355115.84,1126441.2,1113686.96,1126936.5999999999,1153865.68,1109435.08,1146556.8,1132222.96,1093230.32,1107752.24,1101942.68,1177741.32,1063979.96,994926.4,1115422.64,1110574.72,1039079.2,1086803.0,1074163.44,1128125.92,1106956.56
34,1318986.16,1291781.2,1345937.92,1323563.3999999985,1335546.7999999996,1271487.5999999999,1290695.44,1307112.96,1290064.14,1343037.3,1370504.6800000002,1297140.16,1353868.68,1439470.52,1344207.8,1356695.4000000001,1423904.44,1375865.2,1343647.24,1366722.4200000009,1177181.6,1122101.04,1164365.1,1198290.3200000003,1114370.32,1166630.52,1153642.42,1110822.76,1108968.28,1109815.56,1181327.28,1106760.0,1001841.48,1126731.08,1116751.28,1067926.5599999998,1098692.6,1081265.1,1131281.1199999999,1114226.44
35,1346693.92,1305484.92,1351786.84,1346010.32,1345611.6,1278230.08,1296734.2799999998,1319499.2400000002,1294706.08,1350223.7999999998,1408138.64,1309445.6,1356129.96,1442942.08,1363332.72,1370155.6,1426894.88,1377322.5999999999,1364130.76,1372316.44,1182241.12,1127269.52,1175870.8,1222460.44,1139256.96,1172809.08,1168762.6,1151122.96,1120764.4800000002,1128862.88,1189327.7999999998,1127881.0,1040458.2799999998,1138285.04,1126500.8399999999,1093897.8800000001,1121836.6,1088918.08,1151196.52,1120200.96
36,1356060.8,1308925.4,1357746.9,1360665.9999999995,1362874.0,1286171.6,1317475.2,1320793.2,1320094.2,1358444.5,1416175.8,1310792.8,1390648.2,1450881.8,1380953.4,1374137.0,1430818.3,1381262.0,1374647.6,1380732.8,1193049.2,1138874.6000000003,1183106.5,1225500.4,1171067.8,1181192.2000000002,1174961.9,1157053.4,1165070.0,1170354.0,1195149.2,1158926.2,1059033.5999999994,1159446.2,1138673.6,1105047.4000000001,1122694.0,1099778.5,1165774.2,1141624.0
37,1365309.92,1312294.4399999997,1379190.5600000003,1364663.1199999999,1387666.2,1288579.64,1326822.32,1338664.32,1325747.96,1374725.6,1418582.4,1317950.24,1401816.04,1454063.96,1386801.44,1392911.0,1457179.6,1415993.5999999999,1373953.08,1380502.32,1198782.52,1195609.84,1195716.4,1232747.8000000003,1179858.44,1187806.44,1181942.24,1156640.16,1174751.36,1170902.36,1205651.96,1166542.08,1138622.6799999997,1170321.36,1143369.84,1111895.16,1126909.6,1112976.8399999999,1166320.44,1148698.12
38,1372886.56,1320343.58,1403940.96,1378577.7599999998,1387591.6,1293369.88,1331993.7999999996,1348293.86,1336681.64,1413936.0000000002,1421630.36,1327156.16,1406052.94,1472286.1199999999,1396580.28,1410992.4,1471428.34,1423509.8,1401216.84,1393275.46,1199766.1199999999,1213133.28,1203879.1,1256424.12,1179192.22,1201345.16,1181984.12,1163993.5999999999,1178586.16,1178205.9200000002,1230835.2,1165626.36,1165774.2,1168454.32,1163557.48,1131152.72,1130269.3,1118725.7999999998,1167145.64,1150693.96
39,1416009.1999999997,1320854.6399999994,1407729.12,1387179.56,1391463.2,1297022.76,1345826.2,1349781.56,1338113.04,1451598.0000000002,1420551.04,1378366.76,1406794.56,1491208.6,1399731.68,1422598.6,1472761.52,1425882.0,1465238.9200000004,1422684.4,1209343.44,1213945.52,1221461.5999999996,1267390.24,1189295.6,1201306.1199999999,1191116.4000000001,1190941.4000000001,1184146.84,1189833.68,1249883.12,1189135.48,1176137.88,1179338.72,1163414.64,1129816.72,1138359.4,1152534.96,1178321.16,1155075.56
40,1429035.32,1341151.06,1417312.46,1402724.54,1406212.9,1297685.1999999997,1363657.8799999997,1363412.6,1341358.6199999999,1487052.2,1427917.16,1399946.12,1466940.3199999998,1493748.16,1402737.4,1428325.2,1475415.82,1433004.3999999994,1528427.68,1425331.18,1225654.32,1213820.04,1230477.9,1269598.36,1226567.9,1205355.18,1224139.54,1211197.76,1187312.72,1210851.24,1256542.4,1196622.8800000001,1195904.799999998,1196002.64,1166192.16,1128513.94,1170463.7000000002,1151781.12,1198423.76,1161826.0800000003
41,1428692.2,1352641.2,1412395.4,1404908.4,1489381.0,1331046.8,1386301.6,1403399.6,1337487.8,1489972.0,1525565.8000000003,1407124.2,1513248.2,1499882.8,1504172.5999999999,1429978.0,1513272.0,1452330.0,1570110.5999999999,1437124.4,1251136.2,1220752.4,1236046.0,1274891.5999999999,1226711.0,1223838.5999999999,1232736.0,1208259.4000000001,1191830.8,1226097.2000000002,1256229.4000000001,1202919.4,1241513.7999999998,1218768.8,1177382.9999999998,1139142.4,1185928.0,1155058.7999999998,1215513.4,1167807.0
42,1455837.24,1363780.78,1449690.36,1457532.76,1503687.9,1339097.44,1399196.16,1408453.7,1421507.6200000003,1491617.9,1535269.4,1412325.24,1543988.2399999998,1500892.36,1540946.96,1435034.4,1592669.8800000001,1529715.2,1586071.16,1440848.74,1249188.36,1256390.72,1235978.0,1308816.08,1230719.1,1254181.68,1238878.88,1207039.28,1196893.3199999998,1232684.32,1271933.72,1209562.84,1250102.24,1274979.2,1225604.28,1187980.2200000002,1187888.0,1160618.02,1226018.68,1196240.2
43,1474312.96,1378473.4,1504679.08,1498131.68,1512053.0,1349199.08,1398413.6,1407111.4,1479050.08,1504456.0,1575485.48,1443361.7600000007,1556019.32,1543308.3600000008,1587726.92,1530071.9999999998,1602526.28,1533132.8,1592174.76,1442768.96,1246563.24,1262036.2,1318421.4,1364421.44,1235669.52,1256420.4,1244592.28,1232005.92,1207080.8,1230027.96,1280165.12,1232085.96,1252294.96,1307617.12,1235968.6,1193424.08,1189141.2,1169933.8000000003,1240606.2000000004,1216876.52
44,1489703.72,1416972.8,1511222.18,1502700.26,1522577.6,1351452.44,1421263.5199999998,1411007.4,1489656.78,1505901.0,1596072.8,1472839.84,1584335.74,1619647.44,1591855.6,1539140.2,1611082.86,1591747.8000000003,1605894.2,1527901.78,1294085.36,1273660.72,1321328.9000000001,1373016.48,1271607.62,1250605.6,1242575.9000000001,1307213.84,1223935.92,1250734.32,1313283.5999999996,1259834.1600000001,1253291.2,1311256.36,1236240.68,1192228.14,1201341.7,1202070.52,1296434.36,1222220.16
45,1531737.96,1417418.96,1523940.96,1520961.28,1532350.2,1351673.56,1478239.12,1502522.16,1507761.2,1508708.6,1609538.0,1558989.28,1585380.16,1620860.64,1603639.28,1591858.2,1614754.24,1609364.4,1619637.08,1537227.56,1347201.5200000005,1273714.6,1329071.8,1387312.84,1321027.64,1293210.76,1249026.2400000002,1316466.52,1276765.84,1282675.6,1352302.56,1263948.8,1280199.48,1310651.52,1243353.48,1190911.92,1242478.200000001,1207301.28,1322624.76,1220555.2
46,1537790.3999999997,1431664.1,1536571.7,1524338.2,1546526.0,1357136.2,1490340.6,1505734.3,1509555.9,1524818.5,1616721.8,1562367.4,1591977.1,1629328.2,1614751.8,1591926.0,1618982.1,1620672.0,1623634.8,1575161.9,1353391.6,1275495.8,1351111.5,1393360.2,1325640.0,1346209.4000000001,1328681.7,1322927.4,1319183.4,1294956.4,1384810.6,1276639.4,1331179.5999999999,1325268.0,1263157.8,1191760.0,1284642.0,1211642.4,1334854.0000000002,1234146.0
47,1550109.48,1444410.2799999998,1549074.04,1538043.08,1554791.6,1460217.88,1501439.72,1513187.52,1520079.76,1525370.6,1625094.56,1569154.52,1600820.84,1644018.24,1623662.2,1601150.2,1628126.28,1632306.4000000001,1635138.28,1598147.72,1370129.4,1328446.880000001,1358072.2,1406772.08,1334335.72,1348112.72,1335910.0,1336925.36,1319332.4000000001,1322435.96,1396849.0799999998,1296404.1600000001,1371339.6,1343033.44,1286326.6,1223181.16,1304204.6,1218101.28,1342631.56,1256565.8400000017
48,1557821.36,1503641.32,1557763.2200000007,1546363.06,1560804.5,1464928.4,1505230.56,1523617.8199999998,1528449.62,1531045.1,1629790.44,1575643.76,1606576.02,1657717.1199999999,1631608.68,1611074.4,1639381.04,1640347.7999999998,1642970.04,1607959.6,1375626.56,1365214.92,1362500.9999999998,1410780.12,1344789.9,1354471.04,1339471.6,1343736.52,1339397.4,1341436.52,1402646.28,1334146.4,1373382.72,1347806.92,1314831.3599999999,1241456.4399999997,1314094.7,1228132.28,1356374.24,1275745.76
49,1565600.0,1522032.84,1568002.48,1556182.4,1574474.0,1479596.44,1511867.96,1537711.3599999999,1534494.64,1539994.0,1641643.12,1581725.96,1612936.7200000002,1663280.64,1636232.72,1628470.4,1645553.52,1647003.2,1649659.44,1618713.3199999998,1386284.64,1369838.56,1375841.4,1421786.52,1353833.08,1360573.04,1351918.2,1352626.1199999999,1344515.6,1346905.28,1409961.04,1381660.64,1378608.1599999995,1355525.12,1346996.08,1306952.96,1320063.2,1252668.5200000005,1363531.84,1321643.72
50,1576583.44,1527903.24,1578707.24,1564198.88,1580037.4,1490201.04,1517538.24,1540413.32,1539142.92,1546437.2,1648145.72,1600788.92,1617671.16,1673755.32,1649190.56,1634155.4000000001,1654174.78,1646826.6,1662891.68,1627704.56,1391844.36,1370558.72,1384764.7,1427857.24,1364307.2,1364228.7,1361065.6199999999,1358658.56,1361288.8800000001,1361674.84,1419255.24,1387400.28,1382864.08,1365338.16,1354560.36,1315072.02,1327871.7,1313785.06,1375891.48,1332388.8800000013
