index,171_1_www.avira.com,171_2_www.avira.com,171_3_www.avira.com,171_4_www.avira.com,171_5_www.avira.com,171_6_www.avira.com,171_7_www.avira.com,171_8_www.avira.com,171_9_www.avira.com,171_10_www.avira.com
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,1360.2,1453.3,1404.3,1423.9,1637.1,1355.3,1389.6000000000001,1468.0,1601.52,1566.0
3,3794.5999999999995,2305.2,2961.6000000000004,3264.2000000000003,3917.000000000001,3835.4000000000005,3166.199999999999,2687.0000000000014,1548.4400000000005,1031.0
4,4110.44,3774.6799999999994,4126.280000000001,3985.6400000000012,4100.9,4138.26,4160.52,3669.2000000000016,3974.52,3606.0
5,4826.4800000000005,5074.88,5020.36,4984.68,4915.799999999999,4555.08,5061.12,5297.2,5350.88,5306.0
6,6101.400000000001,4790.800000000002,6291.8,6696.099999999999,8632.0,8468.1,7690.599999999995,4251.0,4872.800000000001,4276.0
7,8035.16,8475.039999999999,8359.96,10117.72,8244.6,8247.64,8299.44,7274.400000000012,6631.919999999995,5952.0
8,7358.680000000002,8317.42,7890.42,13103.34,8096.000000000009,9529.400000000007,7920.4400000000005,8557.800000000001,8448.56,8069.0
9,17119.04,13605.88,17361.96,12140.36,17226.6,16909.84,17214.32,12322.200000000008,8342.56,7870.0
10,18543.24,19150.64,18616.98,13849.38,18841.9,19705.260000000002,18645.92,18394.600000000002,8373.79999999999,17403.0
11,19790.8,20075.4,19792.2,16012.199999999999,19865.0,20763.600000000002,19968.4,20201.0,17180.8,18969.0
12,21079.96,21696.56,21151.54,17988.600000000006,21392.100000000002,22067.700000000004,21204.640000000003,20481.400000000012,18758.24,19965.0
13,22226.12,22356.48,22304.92,24593.279999999995,22200.8,22689.32,22264.96,22285.600000000013,20071.76,19339.0
14,21610.76,22171.52,21807.24,27169.460000000006,22258.1,22568.900000000012,22554.92,22841.2,19531.680000000004,21256.0
15,23978.639999999996,28597.199999999968,35463.28000000003,27389.92000000001,42089.00000000005,44169.03999999999,38558.35999999999,22344.8,21300.12,22076.0
16,43736.600000000006,43737.4,44868.000000000015,29399.7,53956.0,53271.20000000005,43389.6,44398.0,22280.2,22130.0
17,61526.439999999995,76717.76,93952.88,29870.28,119876.80000000008,116206.92000000001,61651.35999999999,52229.400000000096,22239.879999999997,36480.0
18,97892.96,146076.9199999999,154384.31999999998,29874.64,162777.80000000002,185243.62,82452.35999999999,99457.00000000009,29528.919999999907,43162.0
19,144903.88,185814.96,186016.12,43218.27999999999,185911.8,188537.48,118759.71999999991,123567.40000000004,42358.80000000001,67501.0
20,171485.03999999998,187288.3,187704.66,51485.64,187632.9,187864.92,178743.68,173764.40000000002,41416.16,108393.0
21,186279.4,186643.8,189257.6,97245.4,188933.0,188707.0,186527.4,185832.0,48701.99999999994,148976.0
22,188096.48,189478.56,190876.02,134703.0400000001,191949.4,192342.84,187742.32,187963.4,53591.68,183737.0
23,189998.92,192643.56000000006,201011.12000000017,191073.68000000005,192920.6,233360.52000000008,188000.16,190468.2,80014.43999999997,187461.0
24,191325.52,220563.38,225107.7600000001,195365.3,240340.20000000004,255330.66,191024.24,190458.6,117612.35999999994,187381.0
25,194509.0,238787.23999999987,256165.48,196811.40000000002,255649.2,258275.96,206447.84,192646.60000000006,133351.8,188175.0
26,198855.0,257069.0,267346.0,198295.5,257152.5,275562.0,249130.0,200620.0,158700.0,191579.0
27,198610.96,256963.88,289919.2,212563.08000000002,282731.4,291074.28,255690.16,235452.2,187761.63999999998,192644.0
28,212029.32000000004,279703.32,299999.36,230256.68,296522.0,315044.36,265244.48,279176.80000000016,187952.88,218537.0
29,229854.8399999999,302936.1599999999,306010.44,238110.52000000002,334368.8,335113.52,285735.68,307136.00000000006,189514.08000000002,247480.0
30,255615.27999999997,318825.96,320620.8800000001,262807.1599999999,333922.8000000001,334245.58,297318.24,312109.0,191761.32,255331.0
31,262793.6,333908.2,334282.8,268964.6,400582.0,333208.8,312900.0,326929.0,192707.0,256584.0
32,291159.03999999986,333441.08,348518.4000000001,317287.4999999998,451991.70000000007,332459.34,334293.92,334133.4,194293.04,289930.0
33,314303.52,361598.72,384896.24000000005,320104.84,499342.8000000001,334174.08,345419.5999999999,363947.0000000002,193412.52000000002,318220.0
34,320481.88,416467.28,449870.36,321831.4800000002,520916.5,348843.52000000014,394489.3199999999,433972.2000000003,207902.88,333792.0
35,320838.68,458148.39999999997,487352.95999999996,341505.76,601743.8,405256.4400000002,424186.99999999994,478432.60000000027,218091.75999999972,333059.0
36,342538.4,497275.49999999994,524897.6,352730.5,632127.0,457163.00000000023,472229.39999999997,524695.0,239956.99999999997,379169.0
37,346558.6000000001,551741.6,555081.48,370442.19999999995,638931.2000000001,503559.9600000001,526682.44,567476.0000000001,256689.43999999997,440763.0
38,428723.47999999975,606019.0400000002,591359.5200000003,404209.8800000001,677342.4,550345.3600000001,570388.8399999997,618512.8000000002,277001.64,501516.0
39,494206.16,683452.9599999998,638080.1600000001,457232.4399999999,714337.0000000002,594868.0800000001,613702.6,685882.8000000003,301446.23999999993,548411.0
40,560371.48,735671.3,717243.2000000002,532068.7200000001,740060.4000000001,662302.9400000001,670115.4799999997,736479.8,309271.92,592770.0
41,636917.5999999999,736759.0,736954.8,600601.1999999998,775475.0,707093.2000000001,736242.2,737301.0,309107.6,618855.0
42,693217.8,753506.36,736388.86,635232.08,801328.2,785082.3800000001,738375.52,741313.0,311028.83999999997,670759.0
43,696817.68,777750.52,741412.24,723406.1600000003,803463.8,810114.04,738309.7999999999,775712.8,326584.87999999966,734471.0
44,744742.36,801447.22,769815.5599999999,742796.06,808895.8,817135.2000000002,743152.2,791449.8,362074.15999999974,735084.0
45,784248.9999999999,803127.96,802608.72,742028.84,828964.0,836666.68,744074.28,801875.8,435062.2799999999,743858.0
46,792219.0,809090.0,804319.3,764925.4,865791.0,878648.0,757552.6,803824.0,493208.3999999996,777532.0
47,800852.4,808637.88,810149.6,767832.68,879108.7999999999,879552.08,778806.52,809626.0,551305.0399999998,800993.0
48,810390.36,810399.98,823227.96,771464.44,880629.1,881342.18,790511.4,820073.6000000001,596591.2799999997,802653.0
49,811897.28,830410.88,866417.1200000001,793050.7200000001,881892.2,884665.72,810845.96,842773.4000000003,636559.7599999997,804433.0
50,818029.2,833365.68,879455.02,814461.52,881798.6,884566.36,811618.08,872498.2000000001,694587.8799999999,808635.0
