index,166_1_www.symantec.com,166_2_www.symantec.com,166_3_www.symantec.com,166_4_www.symantec.com,166_5_www.symantec.com,166_6_www.symantec.com,166_7_www.symantec.com,166_8_www.symantec.com,166_9_www.symantec.com,166_10_www.symantec.com
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,6124.42,5104.0,4262.200000000001,4578.64,6259.96,3918.0,4500.5199999999995,6135.8,8400.539999999999,8465.48
3,18377.72,18968.0,18142.2,18347.68,18905.72,18861.0,18493.32,18646.8,18777.920000000002,18923.76
4,151884.63999999996,44048.0,27258.999999999978,36957.36,84947.47999999998,27491.0,25209.64,51636.2,94092.0,137257.6
5,217402.92,213692.0,205507.99999999994,214782.48,214780.48,197404.0,147063.6,73203.99999999997,122218.12,195463.4
6,277021.20000000007,225280.0,216952.0,219279.8,223569.00000000003,218157.0,200424.19999999998,144962.0,190204.4,227610.0
7,299265.36,288199.0,276013.7999999999,245765.44,287767.64,230233.0,225183.32,226993.99999999997,258371.4,259869.2
8,326727.98,322476.5,292277.39999999997,289571.76,294086.28,291190.0,272256.60000000003,309582.80000000005,320011.86,301921.84
9,363378.60000000003,340241.0,324128.19999999995,325756.08,363489.88,327376.0,312598.32,329255.2,321576.32,352591.56000000006
10,449903.36,409554.0,332668.0,350937.52,450633.80000000005,354865.0,327614.54,335587.8,327821.92,405568.8
11,588427.2,477807.0,466988.0,479371.8,471538.00000000006,417042.0,376290.19999999995,353928.0,364948.99999999994,412014.0
12,670849.46,476394.5,596777.9999999999,599875.72,591206.2,417949.0,394109.02,356085.8,396441.46,474529.12
13,815689.76,609522.0,639600.8,645952.8799999999,686494.7999999999,517704.0,448041.76,398113.99999999994,438824.8,480321.08
14,1014225.56,810690.0,748399.2,738870.3200000001,712212.72,582099.0,490554.7,405383.6,500818.36,502560.16
15,1042428.92,1024935.0,890263.3999999999,951963.0399999996,857350.5199999997,744791.0,586929.0400000002,446121.6,508935.96,522818.48
16,1104191.5999999999,1165829.5,1043488.0,1040297.8,968132.3999999999,875819.0,630959.8000000004,468611.0,518844.6,555871.0
17,1179769.6,1175147.0,1114676.5999999996,1118984.96,1132410.88,986392.0,677622.9600000001,497448.2,552599.52,596804.16
18,1329656.5799999996,1341263.0,1173045.6,1243548.24,1333188.84,1161578.0,719501.98,528969.0,607396.3,616573.04
19,1433697.3599999999,1393329.0,1270937.2,1368554.12,1428794.5600000003,1320640.0,779251.48,546426.2,683166.0,652613.6799999999
20,1561919.38,1410895.0,1387346.4,1388909.8,1551899.16,1463840.0,835438.1000000001,559234.2,737698.84,703025.84
21,1560627.6,1558047.0,1528243.0,1551432.4,1554471.8,1580410.0,841021.4,612582.0,763315.8,735155.1999999998
22,1574382.16,1561805.5,1556607.2,1552069.92,1563818.96,1632294.0,854656.26,655559.9999999999,799839.54,768142.2
23,1586042.2000000002,1575006.0,1556279.8,1561511.92,1595087.1599999997,1639637.0,892323.88,717640.0,874817.88,877236.8399999997
24,1624847.64,1578523.5,1571085.4,1575044.48,1607633.2,1647708.0,942033.4,783386.4,950020.4,976391.48
25,1629470.2,1610548.0,1582183.9999999998,1583893.44,1613179.08,1653748.0,985051.36,839467.2,1008778.2000000001,1023936.28
26,1810489.0,1642717.5,1617188.0,1621031.0,1732769.0,1664000.0,1023663.5,898964.0,1080703.5,1088541.0
27,1852731.64,1773990.0,1616395.0,1722269.9200000002,1794625.44,1665814.0,1043280.36,1017099.5999999999,1175108.08,1134999.8
28,1869508.92,1824218.0,1697413.0,1799898.44,1805668.88,1700175.0,1105924.88,1139349.0,1240006.66,1223984.36
29,1911903.68,1876409.0,1814229.2,1815341.32,1822154.32,1814899.0,1172695.0800000003,1281130.6,1349773.2000000002,1261149.76
30,1948128.18,1901733.5,1868262.8,1823965.64,1941067.0399999998,1838378.0,1228729.82,1383784.1999999997,1445821.8800000001,1277629.8
31,1958666.6,1987219.0,1882793.0,1854176.6,1961503.2,1855077.0,1261336.8000000003,1433092.0,1506051.2000000004,1338173.0
32,2034619.66,2020661.0,1955594.8,1915606.1199999996,1969548.64,1867734.0,1323259.5600000003,1621653.0,1574307.2000000002,1446445.2800000003
33,2044547.44,2024890.0,1981221.4,1966082.96,2051453.48,1935205.0,1399362.48,1713293.3999999997,1678122.7200000002,1605232.0000000002
34,2064255.4400000002,2046331.5,1991605.8,2013371.72,2057606.52,1949240.0,1472127.08,1852754.6,1798245.7600000002,1757436.6
35,2070284.28,2055778.0,1999267.2,2019069.16,2061792.32,1968757.0,1607446.48,1874993.7999999998,1897601.6,1808300.8399999996
36,2095944.6,2176410.0,2003441.0,2023334.4,2077410.4,1970494.0,1776753.9999999998,1945643.0,1991029.5000000002,1897043.0
37,2221170.72,2184480.0,2007496.6,2071545.48,2227289.36,1983599.0,1910417.7999999998,2076596.4,2016953.64,1995208.2
38,2232924.76,2194579.5,2022036.2,2154756.1199999996,2363356.32,2035243.0,2002078.22,2109561.8,2038772.6,2125897.5600000005
39,2234480.64,2237812.0,2171185.4,2162469.72,2567575.4000000004,2113709.0,2017582.68,2200791.4,2105375.4,2331948.6
40,2274229.4800000004,2353270.5,2247658.0,2175199.6,2810839.1199999996,2168109.0,2038576.96,2210684.0,2193376.8200000003,2485478.8000000003
41,2421875.8000000003,2464495.0,2442038.0,2281666.4,3145274.4000000013,2177187.0,2042744.4,2231896.0,2322226.0,2630603.0
42,2603779.3200000003,2677568.5,2740736.999999999,2344551.96,3412057.92,2234850.0,2118153.2800000003,2238166.2,2451535.9,2827723.2
43,2908994.7600000007,2925317.0,3072948.7999999993,2471976.6799999997,3730120.7199999983,2358729.0,2172493.12,2246768.4,2557318.8000000003,2909111.84
44,3232183.3200000008,3255382.5,3415924.2000000007,2720046.8800000004,4060940.84,2447495.0,2182797.58,2267509.0,2664428.96,3010443.6
45,3510078.3600000017,3503306.0,3722067.5999999987,2997953.84,4332260.4,2558413.0,2193660.16,2354110.0,2797459.8800000004,3031154.8
46,3811497.5,3823421.0,4069266.0,3273026.6000000006,4454010.2,2684207.0,2245615.5,2427249.0,2976191.7999999993,3034738.4
47,4169098.759999999,4121715.0,4360573.6,3531631.359999999,4463442.44,2812769.0,2350513.16,2508293.0,3111813.84,3092133.2
48,4517182.42,4334238.0,4416602.2,3812448.92,4472644.84,2944079.0,2412416.28,2630435.599999998,3119452.38,3150732.4800000014
49,4645944.76,4340791.0,4541295.6,3947798.72,4477501.92,3039951.0,2417262.68,2741624.1999999997,3123436.28,3226176.52
50,4649800.24,4343453.0,4543889.8,3954476.92,4483968.36,3148085.0,2423340.78,2873399.0,3125953.9200000004,3236246.48
