index,176_1_us.norton.com,176_2_us.norton.com,176_3_us.norton.com,176_4_us.norton.com,176_5_us.norton.com,176_6_us.norton.com,176_7_us.norton.com,176_8_us.norton.com,176_9_us.norton.com,176_10_us.norton.com
1,0.0,67.0,67.0,67.0,-442.0,-442.0,67.0,67.0,-442.0,67.0
2,-273.59999999999997,6621.0,6809.519999999998,6352.600000000003,8510.64,4620.12,4782.8,4769.18,9911.36,6953.32
3,7510.4,29893.0,28706.199999999968,19071.600000000002,37736.76,15220.72,16737.999999999996,19948.48,26611.08,15848.760000000002
4,32549.2,62692.0,44264.14,58007.700000000004,57978.92,27277.52,32057.399999999998,45266.96,52436.64000000001,27800.52
5,70076.4,77339.0,72108.08,68968.4,88631.27999999998,41612.48,50770.8,66633.96,76188.56,45012.76
6,137678.0,137838.0,103462.4,92508.0,139087.99999999997,49446.199999999975,67068.0,86411.9,98561.40000000001,76799.59999999999
7,343993.0000000002,265373.0,154528.87999999998,171292.00000000003,325316.55999999994,73708.44,89544.2,121483.19999999997,125923.07999999994,96422.92
8,429180.0,390858.0,254459.4,298871.5,445713.48,100216.88,138574.40000000002,276885.3,265866.3199999999,163371.2
9,507615.0,466870.0,356964.6,397006.4,495605.84,141377.56,249808.0,458538.5199999998,404422.5999999999,267295.39999999997
10,607325.4,509992.0,446453.4800000002,473804.3000000002,516135.9199999999,263622.6,395185.0,483743.1,489391.84,404635.88
11,659621.0,550178.0,503026.0,514089.0,629149.8,367669.1999999997,453996.0,510743.6,520965.8,477776.80000000005
12,679982.8,704086.0,525242.24,544644.5,785180.48,406138.32,510650.0,530349.3,562086.52,519168.52
13,706576.2,795424.0,686100.4,658205.0000000001,833806.24,461771.83999999997,519452.99999999994,678568.88,757688.5199999993,554694.64
14,746235.0000000001,831132.0,834437.2000000001,716062.8,845236.1599999999,494260.56,540959.6,817954.88,837280.08,684972.5599999996
15,835127.2,839618.0,845308.24,764694.7999999999,879117.28,519563.12,593670.2,833705.6,846014.48,824305.2
16,878714.0,893959.0,862962.7,767718.0,936426.2,558082.8,703621.0,834603.0,871698.3999999999,837554.8
17,952246.0,925787.0,917367.52,805837.8,994654.6799999999,703277.12,812627.5999999999,839557.84,911533.1999999998,847218.04
18,1029086.8,983958.0,942945.24,832585.9,1004579.84,811571.12,841167.3999999999,848455.82,988377.7199999999,943360.96
19,1082527.2000000004,1000593.0,994148.5599999999,895635.0,1051070.0799999998,837733.16,864780.2000000002,857161.52,996797.52,971030.36
20,1149575.2,1044026.0,1036101.26,924397.4,1061071.1999999995,844841.08,891226.2,868256.0800000001,1057348.9999999998,990683.48
21,1240279.0,1112100.0,1045553.2,940068.0,1111973.2,883624.7999999999,964058.0,864497.4,1153351.8,993226.2000000001
22,1417075.6,1204168.0,1066723.4,953401.9,1158261.2799999998,899027.8,992284.4,879179.2999999999,1179507.7599999998,1004093.72
23,1432072.2,1262379.0,1141564.48,996521.2,1253721.4,926782.36,1000937.2,891049.6399999998,1207432.48,1020178.72
24,1463993.6,1411081.0,1256633.3999999997,1031136.5,1406915.72,945682.28,1004524.8,921449.22,1253449.5599999998,1094851.44
25,1476284.4,1418921.0,1343042.0799999998,1062034.4000000001,1430885.5599999998,968025.12,1026721.7999999999,974851.4,1299855.12,1215722.92
26,1492874.0,1431669.0,1421545.5,1110150.5,1448159.0,980265.0,1046967.0,1020939.0,1421193.9999999998,1293646.0
27,1515251.0,1456039.0,1429772.92,1166600.4,1466725.6799999997,998065.4400000001,1074925.0,1104530.28,1430521.12,1331072.3199999996
28,1627332.4,1475738.0,1447595.26,1241934.7000000002,1476996.44,1010804.8799999999,1121716.5999999999,1162514.2999999998,1449400.0,1418988.5599999998
29,1639400.8,1485304.0,1466914.64,1405118.0,1484936.92,1033262.68,1198401.6,1281413.72,1467603.6400000001,1428392.4
30,1649663.8,1495215.0,1476006.6,1433326.5000000002,1499931.52,1069075.44,1273062.8,1361060.22,1476688.64,1435785.48
31,1666132.0,1513190.0,1493245.4,1442935.0,1561153.0,1077021.8,1326251.0,1426439.0,1483372.8,1452910.0
32,1666329.6000000003,1529510.0,1586307.1199999994,1470909.6,1622175.56,1142087.7599999998,1409509.7999999996,1435424.9,1500906.96,1460807.64
33,1679418.8,1536866.0,1614009.44,1479666.6,1631596.9199999997,1190720.24,1430091.4,1442846.52,1578506.8399999987,1467477.24
34,1713491.5999999999,1644132.0,1622105.54,1489260.8,1643189.72,1234144.2,1447540.8,1462449.64,1623415.64,1491000.479999999
35,1738745.6,1657640.0,1630474.48,1507191.6,1641091.56,1276406.5999999999,1466037.0,1467083.0,1630637.08,1501337.28
36,1758115.0,1673741.0,1641191.0,1611381.0,1650178.6,1349067.3999999997,1470270.0,1474636.5,1637304.2,1507205.6
37,1777789.2000000011,1685341.0,1655835.6400000001,1627549.4,1649691.24,1415362.52,1479324.0,1491766.24,1643538.76,1528917.2399999998
38,1815647.4,1687092.0,1658316.2399999998,1636018.3,1663726.08,1429204.0,1495852.6,1508565.7,1655103.56,1626820.04
39,1858027.8,1693801.0,1664851.36,1644621.0,1691165.5199999996,1434876.2,1503459.0,1515243.12,1661595.08,1637477.44
40,1864073.8,1702688.0,1664609.92,1650551.1,1718380.6,1451450.64,1616801.2,1536480.36,1662693.76,1646535.84
41,1864547.0,1760234.0,1684453.0,1664670.0,1763746.7999999998,1468122.2,1623263.0,1619149.5999999996,1677937.6,1660851.9999999998
42,1862732.8,1787999.0,1703131.58,1679005.2,1816211.44,1473520.56,1628845.8,1639887.3800000001,1706713.96,1667419.04
43,1880457.8,1824901.0,1724483.4,1688093.2000000002,1824981.04,1477814.8,1635703.1999999997,1652042.08,1721698.24,1669535.36
44,1894546.2,1833017.0,1752439.0200000003,1699732.7,1835318.0799999998,1494720.12,1645344.4,1656583.1199999999,1739181.4800000002,1670092.7999999996
45,1915717.4,1840533.0,1792068.8,1703641.4,1844133.88,1540213.2000000002,1646637.6,1667099.08,1783511.44,1685403.72
46,1948781.0,1849692.0,1819797.3,1723867.5,1850028.9999999995,1588259.7999999998,1650130.0,1672137.2,1799908.6,1718255.9999999998
47,1986282.6,1858961.0,1827333.4000000001,1725292.2,1856557.32,1619779.36,1650191.0,1672010.96,1810482.96,1729318.56
48,2004168.8,1859640.0,1842700.82,1725634.8,1865675.08,1625846.36,1659705.6,1684422.78,1818759.76,1727944.76
49,2052531.4,1868848.0,1849350.16,1736191.8000000005,1877304.72,1631978.4,1671863.8,1695805.72,1821376.5599999998,1759582.7999999998
50,2080706.4,1873266.0,1857426.66,1758283.9000000001,1884426.16,1635014.52,1686188.0,1714154.1,1837239.0,1787140.12
