index,355_1_www.deezer.com,355_2_www.deezer.com,355_3_www.deezer.com,355_4_www.deezer.com,355_5_www.deezer.com,355_6_www.deezer.com,355_7_www.deezer.com,355_8_www.deezer.com,355_9_www.deezer.com,355_10_www.deezer.com
1,256.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,3636.3999999999996,4038.44,4081.44,3973.919999999999,3916.4000000000015,3447.7999999999997,4019.88,4004.76,3894.9,4065.96
3,4543.64,4210.5599999999995,4533.44,4983.76,4934.679999999999,5276.32,4308.04,5517.959999999997,6129.2,4327.72
4,8615.44,8042.08,8487.58,16255.6,8339.56,8602.300000000001,8218.619999999999,7669.240000000002,9678.599999999997,8330.72
5,22597.559999999994,18781.400000000005,17259.2,23865.52,17439.2,17824.72,17435.4,17825.079999999994,23431.6,17284.48
6,24281.600000000002,24889.599999999995,25628.7,26868.399999999998,23080.600000000002,23924.6,23557.200000000008,19593.6,23662.5,22207.399999999998
7,30067.32,27285.16000000001,25978.239999999998,29265.28,24582.480000000003,24113.960000000003,28065.36,25684.68,30924.4,28022.36
8,31185.320000000003,29151.52,30294.02,31924.84,30297.839999999997,30724.88,29301.18,30095.36,29208.699999999997,29618.64
9,31615.04,29959.880000000016,29041.600000000013,36825.04,28546.439999999995,29521.52,28334.88,29726.76,30405.799999999992,29545.879999999997
10,30626.6,35543.64000000004,32938.240000000034,46148.6,27970.32,26995.960000000006,38515.54,30309.92,41933.9,30159.76
11,32664.8,39479.2,40804.99999999999,108460.59999999989,33063.200000000004,32491.4,46156.6,42792.39999999999,49705.0,39012.4
12,37076.07999999993,53271.200000000004,39526.18,211544.11999999994,41307.32,35272.76,49578.38,45586.07999999996,68189.59999999989,48958.64
13,128235.51999999999,114431.20000000001,61037.7200000001,291607.3599999999,48875.32,35175.92,102959.7600000001,48331.12,137981.19999999987,54154.56000000004
14,218436.00000000003,167110.04000000004,143612.26000000013,389788.6399999999,95413.47999999998,116424.69999999998,178618.69999999998,120766.87999999992,217353.79999999973,121355.31999999992
15,289721.9999999998,216197.71999999997,223948.99999999997,509426.47999999975,158512.16000000018,195896.9999999999,258021.56000000003,177697.87999999986,311483.20000000007,201014.52000000005
