index,75_1_www.blogger.com,75_2_www.blogger.com,75_3_www.blogger.com,75_4_www.blogger.com,75_5_www.blogger.com,75_6_www.blogger.com,75_7_www.blogger.com,75_8_www.blogger.com,75_9_www.blogger.com,75_10_www.blogger.com
1,67.0,67.0,-442.0,67.0,67.0,67.0,-442.0,-48.0,67.0,67.0
2,1569.96,1606.0999999999997,1013.4399999999999,1459.7,1314.3600000000001,1948.92,1128.0400000000002,1543.8,47.920000000000186,1808.2
3,2535.24,4791.599999999999,4494.08,1701.6000000000033,4580.639999999999,5032.96,4564.56,2599.12,1057.12,4734.799999999999
4,5725.399999999998,10108.6,6538.04,4797.1,7206.640000000001,7478.04,6629.3600000000015,4629.88,4859.28,8914.6
5,6889.88,9808.4,12242.12,6682.2,14094.84,12134.24,9758.399999999994,6691.6399999999985,7144.16,12434.400000000001
6,12856.200000000004,16873.5,15377.899999999998,7536.5,15502.8,14525.8,14018.8,12844.6,14373.800000000001,14745.0
7,17210.16,30577.599999999995,16781.16,13321.8,18656.800000000007,16651.639999999996,16587.56,15896.76,15530.52,26407.399999999994
8,31354.52,31054.9,29933.94,16558.899999999998,28094.64,29878.64,29235.280000000002,17581.24,17079.64,34193.799999999996
9,31929.08,38628.20000000005,30426.92,18263.00000000001,32491.92000000001,32156.44000000001,32151.24,29741.359999999997,28583.48,41840.6
10,35512.55999999999,47970.200000000004,34541.38,29411.899999999998,45958.64,35259.400000000016,33883.08,32862.04,32263.96,46474.6
11,43392.399999999994,49023.0,46334.6,33405.0,46394.2,50547.2,43663.4,34506.4,42221.6,46579.0
12,48464.96,49879.399999999994,47817.07999999999,35053.899999999994,49876.16,49481.16,47320.76,42175.20000000002,49883.76,54376.800000000025
13,49097.12,54225.60000000005,50804.840000000004,43747.000000000015,50882.759999999995,95523.55999999994,50163.64,49827.08,49422.84,54197.40000000005
14,47654.159999999996,59012.7,53367.79999999998,47162.3,51503.76,131598.36,48546.36,50561.84,87766.04,65831.4
15,51542.44,67186.8,62135.88,118232.40000000008,54444.360000000015,135639.88,52258.92,87519.16,91494.95999999995,128615.8
16,55893.8,83028.0,62742.200000000004,132918.0,61735.4000000002,149351.8,53700.799999999996,123438.6,135464.4,132112.0
17,65552.36,127879.2,66594.12,136687.6,74057.08,148102.28,54931.68,124734.64,144692.8,183280.8000000002
