index,327_1_www.wetteronline.de,327_2_www.wetteronline.de,327_3_www.wetteronline.de,327_4_www.wetteronline.de,327_5_www.wetteronline.de,327_6_www.wetteronline.de,327_7_www.wetteronline.de,327_8_www.wetteronline.de,327_9_www.wetteronline.de,327_10_www.wetteronline.de
1,-442.0,-48.0,-442.0,-442.0,67.0,-442.0,-442.0,67.0,-442.0,-442.0
2,78799.24,71353.78,79921.62,61984.44,71365.94,50471.78,71206.86,72082.52,64671.11999999999,78273.40000000001
3,198477.64,141898.99999999997,209519.6,131532.99999999997,144627.36,113240.04000000001,99827.48,111595.08,191973.71999999997,99006.8
4,514120.08,469074.80000000005,490764.6400000001,472184.46,468615.77999999997,159086.34,410802.4799999999,485789.56,471563.96,314780.10000000044
5,595364.08,571985.12,540373.0,576561.2,567370.08,428557.07999999996,490034.24,509056.56,511104.07999999996,471152.00000000006
6,715688.0,701488.9999999998,663472.7,595839.3,593408.0,472505.6,540819.6000000001,548627.2999999999,775714.0,560783.0
7,885571.36,928790.16,851038.88,730146.12,799802.16,627029.44,628674.88,672971.76,970965.56,587741.2
8,997675.36,977833.6,1024624.3600000001,944319.2999999999,972444.58,885702.2400000001,795234.88,925081.98,1016661.6,809074.0
9,1110886.92,1078303.64,1172038.52,1080205.52,1006601.56,1036510.92,995445.4000000001,1096348.16,1181155.56,1135389.6
10,1310515.2,1265554.76,1484828.58,1309577.9400000004,1175060.32,1132813.0399999998,1099865.4400000004,1480081.32,1589538.1199999999,1207115.8
11,2049280.6,1748755.7999999998,1701970.6,1843693.3999999997,1564279.8000000003,1447220.0,1212061.6,1814160.5999999999,1795170.5999999999,1315493.0
12,2094331.72,2002212.0799999998,1982803.06,2035613.94,1963477.28,1691862.7599999998,1514476.9,2001101.78,2011960.96,1367355.9
13,2225908.0,2111165.96,2184915.04,2104246.48,2084133.7999999996,2051216.8800000001,1674340.36,2065142.64,2228675.44,1499479.0000000002
14,2257227.52,2125070.8,2265677.8000000003,2153601.28,2153771.2,2072675.18,1920950.6400000001,2155615.64,2278881.72,1578046.8
15,2299163.96,2274015.12,2472607.44,2198841.24,2186821.8,2088070.52,2013117.04,2196532.1599999997,2456275.6,1672806.5999999999
16,2548761.2,2489161.6000000006,2629510.7,2318019.9,2288499.1,2145627.7,2115819.8,2524634.5,2588056.7999999993,1844502.0
17,2661462.76,2624541.72,2653516.6,2468197.28,2418638.72,2198317.1999999997,2205199.48,2650251.7600000002,2746408.32,1982729.0000000002
18,2758577.84,2659801.48,2841982.82,2673096.72,2705559.34,2328535.66,2368857.42,2765034.9,2860942.0399999996,2134644.3
19,2779969.72,2765484.56,2859067.96,2842247.72,2745555.92,2466177.5999999996,2573791.12,2787434.12,2877954.7600000002,2293380.8
20,2917227.440000001,2795060.58,2895777.9,2886639.76,2938982.44,2694900.3,2666344.56,2835876.24,2927966.08,2383942.1
21,3003817.0,2899616.5999999996,2965221.6,2904454.8,2986030.2,2840569.1999999997,2719012.6,2880923.6,2962144.9999999995,2457695.0
22,3026900.76,2940271.38,2996223.58,2949352.14,3006839.74,2883518.38,2762130.54,2978087.28,3016169.04,2589386.3
23,3048518.24,2987954.24,3051843.64,3023864.68,3083267.24,2910221.88,2850378.0,2993386.4,3051876.64,2682021.0
24,3083500.08,3054470.02,3119322.6,3072917.38,3117974.58,2935904.62,2875889.32,3099178.54,3078822.3999999994,2817234.5000000005
25,3113427.96,3096323.56,3170161.28,3138680.2,3171407.9599999995,3024508.68,2887252.16,3126895.96,3136322.72,2923757.6000000006
26,3140756.0,3162599.5,3190108.0,3210077.0,3190559.5,3033627.5,2917042.0,3175475.5,3207997.0,2984318.5
27,3191309.96,3235418.84,3192968.72,3284822.16,3235333.48,3069383.64,3005282.2800000003,3186350.36,3217996.28,3100882.4
28,3210965.76,3302953.14,3267117.48,3338890.02,3265756.78,3110146.22,3047450.9000000004,3217256.84,3241343.04,3195709.2
29,3305089.2,3320925.3200000003,3281975.12,3440624.12,3300322.6799999992,3156246.32,3066585.64,3258900.32,3297343.52,3306198.0000000005
30,3351502.8,3345074.78,3343180.18,3486611.3200000003,3343688.56,3226097.28,3076045.94,3258148.08,3294562.08,3335261.3000000003
31,3381597.6,3357031.0,3366986.4,3528367.8,3354904.6,3235212.8,3101843.2000000007,3276267.8,3321593.4,3352465.0
32,3394879.56,3394487.92,3392815.14,3535178.54,3458587.18,3274290.92,3144672.48,3283037.88,3335461.7199999993,3462068.0
33,3453276.6,3416095.8,3416721.3200000003,3565189.04,3465371.48,3333285.6,3194736.52,3308399.56,3364669.24,3514061.2
34,3527465.92,3422248.22,3452841.2,3604191.06,3489945.68,3338262.94,3199656.72,3333001.5599999996,3412340.96,3533113.3
35,3537206.24,3438241.12,3475683.28,3628005.56,3503256.84,3345911.68,3219275.56,3414125.72,3436210.12,3622640.4
36,3580841.0,3444678.8,3514701.3,3646141.1,3529495.6,3374827.1999999997,3261047.1,3435215.2,3483369.2,3671351.5
