index,103_1_www.huffingtonpost.de,103_2_www.huffingtonpost.de,103_3_www.huffingtonpost.de,103_4_www.huffingtonpost.de,103_5_www.huffingtonpost.de,103_6_www.huffingtonpost.de,103_7_www.huffingtonpost.de,103_8_www.huffingtonpost.de,103_9_www.huffingtonpost.de,103_10_www.huffingtonpost.de
1,67.0,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0
2,202.55999999999997,-263.43999999999966,1580.8,1368.0799999999997,371.03999999999985,-125.10000000000005,-490.03999999999985,-490.03999999999985,1610.3999999999999,-127.47999999999956
3,1858.16,1346.28,2238.4,1460.04,1390.52,395.4000000000008,1330.48,1330.48,1204.5999999999997,1355.76
4,1626.6799999999998,1183.52,2504.399999999997,633.4799999999998,824.6800000000001,1443.9,1153.82,1153.82,532.5999999999996,1201.34
5,771.6800000000001,573.36,3911.9999999999995,2676.7200000000003,318.68000000000006,1319.5999999999997,533.76,533.76,2227.4,597.1200000000001
6,2553.4000000000005,2433.7999999999997,4204.0,3244.399999999997,2633.1999999999985,796.5,2470.7999999999997,2729.2999999999997,4291.0,2395.0999999999995
7,4798.48,2334.84,5907.2,4392.12,4556.64,795.2000000000064,4474.44,2287.44,4829.000000000005,4550.28
8,4729.96,4300.4800000000005,6466.2,6233.88,4456.28,2318.8999999999996,4429.62,4429.62,6967.8,4333.66
9,7263.96,4389.079999999999,8170.0,6571.84,6118.32,3812.600000000003,4492.68,4492.68,6083.999999999998,4130.359999999999
10,7171.919999999999,7051.16,8915.2,7101.76,5196.5599999999995,4429.7,6330.919999999998,6620.719999999999,8801.000000000004,7004.72
11,8634.2,6541.6,10536.0,8036.800000000001,5870.6,4655.0,6702.4,6702.4,9181.0,6538.2
12,7815.399999999999,6540.920000000003,10985.999999999998,7684.28,5846.639999999999,6898.600000000003,7102.0199999999995,7071.0199999999995,12571.400000000001,5936.619999999999
