index,209_1_www.playstation.com,209_2_www.playstation.com,209_3_www.playstation.com,209_4_www.playstation.com,209_5_www.playstation.com,209_6_www.playstation.com,209_7_www.playstation.com,209_8_www.playstation.com,209_9_www.playstation.com,209_10_www.playstation.com
1,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,7633.200000000004,7906.219999999998,8381.1,7940.04,8079.600000000002,19445.0,20126.8,19144.0,7916.76,17479.600000000002
3,140669.7200000001,118519.96000000002,48774.39999999995,114870.68000000002,117889.20000000001,253828.0,350522.72,57787.8,49559.04,148192.40000000002
4,498376.82,458998.96,385114.19999999984,470505.08,439282.4,476855.49999999994,498246.80000000005,246460.80000000002,121867.88,479985.0000000001
5,505423.80000000005,506201.32,504177.6,505039.92,507075.48,512250.8,530437.28,383573.4,251623.12,504918.2
6,528889.0,522129.7,508145.5,519867.4,515748.6,546493.5,599982.0,575927.0,477324.80000000016,524005.0
7,593856.1200000001,548676.76,528414.2,544452.16,545938.12,646069.0,716384.72,679550.8,618380.84,551333.0
8,744304.62,687898.7600000005,597724.6,743488.08,654975.7600000001,743401.1,844288.6,798932.2,717622.2,707957.8
9,822258.08,743950.4,702157.6,785446.3200000001,751830.64,868696.2,981105.76,890699.4,829818.08,751009.0
10,932265.72,809171.78,789885.1,856882.2,826916.3999999999,1157854.3,1131708.04,985545.8,1020778.4,801952.4
11,1410792.4000000001,917601.4,871843.0,1044884.1999999996,920012.6000000001,1359561.0,1278272.3999999994,1058474.0,1290400.8,844740.0
12,1843945.64,1210549.4400000002,1093431.9999999998,1421370.44,1133137.84,1560272.9,1483407.48,1250103.6,1576606.9999999998,913464.2
13,2233903.1600000006,1573600.24,1428892.9999999993,1777150.08,1389289.6400000001,1869860.3999999997,1629260.4800000004,1379311.0,1884958.92,917481.0
14,2703507.3399999994,1741021.52,1591808.8,2181687.28,1581203.8399999999,2067192.1,1821166.4,1585129.2,2145404.52,966284.8000000003
