index,343_1_www.alternate.de,343_2_www.alternate.de,343_3_www.alternate.de,343_4_www.alternate.de,343_5_www.alternate.de,343_6_www.alternate.de,343_7_www.alternate.de,343_8_www.alternate.de,343_9_www.alternate.de,343_10_www.alternate.de
1,-2192.0,-442.0,-442.0,-442.0,-442.0,110.0,-442.0,-442.0,-442.0,1539.0
2,426.5,1484.9999999999998,1343.6200000000001,1555.44,1693.4000000000005,1422.86,1539.06,1235.8200000000004,1113.7999999999981,1025.2000000000016
3,2672.0,2547.2799999999997,4146.48,4101.96,5434.96,3946.48,4121.04,4430.079999999998,5312.12,4183.5599999999995
4,4047.0,4917.639999999999,6309.76,4383.48,6189.84,6866.58,4754.02,6244.36,5966.48,7783.58
5,5341.0,6126.4400000000005,8346.88,8265.960000000001,7874.800000000001,9867.56,8524.039999999999,8096.280000000002,7782.760000000002,14527.400000000005
6,9119.5,7249.3,13924.6,11781.200000000004,18046.400000000005,12227.9,12239.299999999996,14111.300000000003,14117.999999999995,34014.1
7,12771.0,8574.239999999998,34275.64,13626.720000000001,34326.44,16135.44,18236.36,34199.04,32868.76,37520.16000000001
8,14514.5,15010.739999999998,35229.26,16143.799999999994,35418.68,19813.779999999995,35128.700000000004,35252.86,33636.48,45456.38
9,18410.0,35245.88,37296.6,21417.76,39044.159999999996,37418.119999999995,34001.04,40765.07999999998,36249.520000000004,95098.52000000008
10,37346.5,36377.54,54363.66000000001,36243.92,68749.08,40962.42,35206.26,44598.78,45046.47999999995,140399.54000000007
11,40583.0,38827.400000000016,75479.20000000004,40925.2,96306.8,44704.4,39322.4,67228.2,61048.4,202427.00000000006
12,41877.0,57844.64,108763.36000000007,41776.32,119495.32000000008,47780.01999999999,57113.20000000001,89855.37999999995,70604.31999999999,264559.2
13,48723.0,91901.48000000003,143479.67999999993,45556.32,133766.36000000002,76172.16,65314.44,135033.84,73351.59999999998,293162.52
14,51081.5,152412.48,176451.1,48678.28,163419.44,76071.34,71073.22,181155.27999999988,115649.39999999997,298969.83999999997
15,82019.0,165594.6,188889.84,61207.240000000005,173747.92,108645.4,108458.80000000002,260249.3599999997,163188.88,318660.4
16,101340.5,172284.7,203733.6,74000.2,181131.00000000003,174053.3,173615.5,294546.5,210298.19999999992,356470.6000000001
17,130692.0,221205.91999999998,260087.31999999998,86756.55999999997,221953.88,217797.4,223078.88,294072.68,283861.27999999997,398194.64
18,170908.0,233103.18,298438.58,147215.68000000002,247375.32,266983.68,282593.32,300850.58,300406.96,428518.56
19,204072.0,258437.6800000001,320739.88,208614.96000000002,291940.23999999993,302421.08,295192.76,323648.83999999997,315526.99999999965,452345.08
20,250624.0,278746.94,346354.62,263830.08,359560.0,306866.96,300408.04,355914.67999999976,363940.6,459512.4
21,301066.0,291091.2,396390.0,305602.6,375904.6,320076.2,298916.2,398175.8,398742.8,472262.4
22,301051.5,325086.8,417297.6599999999,317503.9199999999,409672.52,334810.8599999999,318796.14,400031.39999999997,424889.5999999998,483696.45999999996
23,307585.0,344922.0,443687.9200000001,329927.28,448967.6,372718.07999999996,346925.92000000004,440786.8399999998,445518.04,494741.60000000003
24,326137.5,356954.4200000001,448886.56,375680.36,450326.48000000004,405733.5,372824.88,455642.36,453772.56,503611.51999999996
25,337425.0,385838.9600000001,451754.8,403674.6,453578.56,428409.27999999997,401019.68,457435.56,455576.56,520567.44
26,367977.0,435438.0,464803.5,415922.0,471669.0,458457.0,402498.0,461487.5,469479.0,528281.0
27,389419.0,450612.72000000003,465637.72,434201.76,478125.72,461814.12,434621.72,469811.67999999993,477382.2,536857.84
28,418085.0,449558.63999999996,476325.94,456784.16,480015.31999999995,465193.80000000005,455516.48,474242.1799999999,483030.07999999996,542266.54
29,454382.0,458325.68,474657.6,465646.19999999995,494343.72,476441.11999999994,457772.56,483214.88,488148.60000000003,599342.44
30,456998.5,464237.42,486223.3,467172.32,493248.12,482267.12,460476.02,496165.46,500725.12,652143.14
31,461361.0,472643.40000000014,487136.39999999997,482661.2,503372.8,484706.0,472027.0,500546.79999999993,511065.6,652752.2
32,472395.0,482553.80000000005,498508.31999999995,481625.0400000001,505545.56,501732.28,478824.24,505805.05999999994,512996.2399999999,655229.46
33,475911.0,482807.2,500580.08,496414.52,508958.04,501499.8,486329.72,522784.28,522462.2,659683.2000000001
34,487290.0,498656.38,513346.24000000005,501457.27999999997,524115.16,508906.14,493043.07999999996,528735.46,534080.52,712161.4400000001
35,493380.0,497570.8,512776.8,504198.16,529119.6,522510.44,497859.0,535692.5599999999,558307.2399999996,713648.36
36,496153.0,506578.69999999995,527821.3,518802.4,532069.4,522363.99999999994,504413.00000000006,548813.5,599918.3999999998,718815.7
37,508518.0,517809.9600000001,526692.84,520386.4,541674.3999999999,533620.8,512090.36,572123.52,647929.4400000001,723726.96
38,510884.5,520073.12,540613.54,533148.48,552016.16,542374.04,519860.20000000007,629341.2,652361.72,726526.94
39,520045.0,532712.5200000001,561951.6,532941.4,568683.6,575134.3200000001,524977.7999999999,651042.64,652897.4,728574.52
40,528741.5,545778.1000000001,581147.6,544477.6799999999,617850.6000000001,612336.1,535968.42,653816.36,652083.2000000001,731378.9199999999
41,535533.0,563261.8,622630.6000000001,603724.4000000003,654804.6,654493.2000000001,543669.4,654214.7999999999,656035.0,735704.0
42,547781.0,593931.52,641000.4,626216.4,654707.52,652181.68,565455.84,675575.5199999998,679117.0,737984.94
43,565811.0,646842.6799999999,649139.52,650367.88,658587.84,656401.16,614445.56,702777.68,711765.24,739974.4
44,609376.0,644354.36,652040.6,655965.12,658831.6,659004.52,654560.36,704126.74,713933.88,744742.72
45,653305.0,646954.52,655941.36,651950.16,685913.2800000003,707922.9999999999,653365.28,705422.12,715585.16,749846.24
46,650940.5,647604.1,655721.4,654470.2,712367.7999999999,710668.1,653458.7,711045.1,721362.7999999999,751808.2
47,654461.0,649160.2799999999,657424.68,665677.04,713337.88,711972.36,665473.0800000001,712303.32,722608.64,755767.84
48,653672.0,663638.5400000002,660201.66,682490.7200000002,716704.48,714205.22,703305.16,716281.7,726423.32,766716.16
49,656357.0,706175.28,675392.5599999999,704853.08,718820.04,721286.64,704339.88,717913.76,727490.92,789081.4000000006
50,658942.0,708851.94,703690.0799999998,704955.64,724606.84,721479.62,706732.38,717826.88,727344.04,885878.8400000002
