index,267_1_translate.google.de,267_2_translate.google.de,267_3_translate.google.de,267_4_translate.google.de,267_5_translate.google.de,267_6_translate.google.de,267_7_translate.google.de,267_8_translate.google.de,267_9_translate.google.de,267_10_translate.google.de
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,1489.9199999999998,1533.6,1560.9,1453.72,1506.3,1456.8799999999999,1456.8799999999999,1499.02,1670.1000000000001,1526.8799999999999
3,3692.639999999999,4127.4,4095.6,3586.56,3903.600000000001,3582.2400000000002,3582.2400000000002,3823.480000000001,3785.76,4182.52
4,4523.52,4573.2,4173.5999999999985,4895.72,4449.299999999999,5236.88,5104.88,4695.619999999999,5308.62,4386.319999999999
5,8348.92,8407.2,8154.400000000001,5904.88,8486.199999999999,6304.5199999999995,6633.5199999999995,8393.080000000005,8543.079999999998,8169.28
6,7546.600000000003,11661.0,14139.5,7984.400000000001,8477.0,8641.6,8131.599999999999,7813.000000000003,8417.9,14000.599999999997
7,14705.24,14867.599999999997,14919.2,14768.12,14907.800000000003,15134.48,15002.48,14790.520000000004,12294.28,14960.44
8,21701.11999999999,42965.99999999997,49203.40000000001,14783.28,37938.800000000025,15530.519999999993,29139.239999999998,36571.80000000001,14760.66,45652.880000000005
9,82847.44,79222.19999999998,76386.6,64028.55999999999,62110.20000000002,57600.55999999997,45300.4,80819.20000000001,55951.479999999996,76056.72
10,81453.28,83865.6,81910.9,82180.8,84040.1,82141.72,69654.92,83287.7,76285.48000000001,82186.08
11,83540.19999999997,142864.0,85834.0,83309.8,85672.0,83484.8,71119.8,84561.8,84112.6,83456.2
12,100013.31999999999,206545.59999999992,87301.40000000001,86763.48,94214.80000000019,87412.40000000001,114327.92000000001,92873.60000000002,85733.36,122503.88
13,121126.76,263400.8,121588.8,119942.87999999998,150227.4000000001,138998.32,200805.84,159769.76000000018,111520.36,154989.76000000007
14,155338.16,332049.8,176153.30000000002,142473.16,211116.9,189243.76,235194.76,224356.14,146392.12,204174.2400000001
15,205495.04,367364.4,240167.00000000012,217250.71999999997,211826.8,204727.08,246098.23999999996,292538.08,181866.04,255317.12
16,270655.7999999997,378563.0,317497.0,303943.19999999984,281621.50000000006,277585.2,317735.8,328670.4,217657.99999999997,314938.19999999984
17,325403.5199999998,386415.4,384482.4,374945.32,331680.60000000003,352315.11999999994,377649.32,367075.4,280878.32,378564.08
18,377526.04,386926.4,385791.8,376365.2,369205.4,380554.36,380742.80000000005,386007.4,359988.43999999994,384408.60000000003
19,386134.72,397141.5999999998,404591.00000000023,384953.27999999997,385036.4,383675.12,385757.32,387728.12,378648.56,385573.68
20,385696.16,422037.4,444652.39999999997,384616.64,386822.4,385903.52,385784.96,386812.98,383118.9,422453.80000000005
21,403268.6,433527.0,489248.0,386394.8,427888.0,419504.8,389723.80000000005,405427.6,387269.4,473571.8
22,413857.19999999995,443806.4,497557.1,387842.12,448948.4,437307.00000000006,420701.76,425012.88,386590.72,497331.52
23,424291.56,468834.6,501116.2,424284.4799999998,475077.80000000005,475554.32,431832.76,460294.04000000004,388435.48,500858.24
24,469918.3199999999,492467.39999999997,503868.00000000006,489663.8399999998,490978.3,483586.24,451087.88,495943.88,398250.46,502899.32
25,495270.24,498777.99999999994,507366.6,496084.76,498731.8,500548.92,498074.48,501799.04,419068.28,505836.12
26,501050.0,503662.0,510855.5,499736.0,502084.0,502385.0,501059.0,503772.5,466669.0,561477.0
27,503079.68,504951.0,513601.4,502808.88,503162.2,502627.08,503164.52,506383.36,494245.56,594859.96
28,505363.24,506952.4,560104.8000000002,505481.0,507318.4,506005.32,506150.72,525175.66,501064.58,614447.44
29,547927.5199999998,571458.3999999998,602380.4,542576.88,523556.0000000001,534535.88,525089.0,594464.24,502537.64,646864.36
30,593927.68,595132.2,603711.1,592768.04,547156.9000000001,593764.68,577917.12,594927.62,505276.0,648617.28
31,595221.0,596786.0,607151.0,595103.6,596048.0,595924.6,594621.2,597293.4,506021.6,651748.8
32,629077.28,600370.7999999999,623291.4,628373.56,597130.7,596508.48,596634.64,599946.72,555460.2399999999,699773.4800000003
33,641861.8799999997,623190.0,659929.0,629675.04,615364.4000000003,600588.1999999998,600304.84,634217.8,594038.8,775964.8
34,648977.56,651940.2,694243.1999999998,649331.48,652951.1,645845.48,618879.44,652703.7,595474.08,850144.96
35,724101.4799999997,654731.3999999999,804032.6000000003,712950.6400000001,653295.0,651949.48,638651.8,687764.4000000003,629412.36,851435.88
36,811261.0,718515.0,857422.0,810106.4000000001,694447.0,665069.3999999999,653145.8,792254.6000000001,631024.3,853462.8
37,849727.44,784307.5999999994,859206.2000000001,848644.72,771196.4,717875.9600000002,704940.5200000003,850794.44,649258.72,854429.68
38,850002.56,851334.4,862717.3,849522.44,851760.9,816228.8399999997,785768.8399999997,852467.68,652035.6,862075.84
39,852137.6399999999,852722.2,867752.6,851276.92,853145.6,849903.48,850849.04,854043.44,670876.8000000002,861910.88
40,852997.8799999999,853923.2,870668.2,851520.28,854425.3,851789.28,851993.32,855801.0599999999,724381.38,877372.12
41,857220.6,855950.0,870619.0,853087.4,854478.0,853252.8,852463.8,858890.2000000001,787346.8000000002,952074.7999999998
42,857289.24,860365.0,903099.6000000001,856352.88,858682.0,855180.36,856173.32,862938.48,850455.14,1016435.16
43,897639.5599999996,863189.0,949024.0000000001,859591.84,865073.6,857082.96,857428.2000000001,863300.3200000001,851657.96,1042953.28
44,959519.64,877493.4,976085.7,860844.8,866971.0,857767.2,860748.96,897670.7600000006,854133.22,1051290.08
45,993745.5599999999,895118.7999999999,999835.8,895239.7199999996,890742.8000000005,869597.4800000001,862772.6,944719.64,855752.72,1058909.76
46,1031270.8,975906.0,1034806.0,955947.4,946130.0,922752.6,895559.0,978113.2000000001,856886.6,1060418.4
47,1044993.96,1013140.7999999999,1060742.8,1015920.16,994688.0000000001,979428.7200000001,956025.0800000001,1000701.76,871011.56,1095366.04
48,1049984.1199999999,1036873.6,1068762.7,1034994.36,1019868.8,1032258.76,982591.5199999998,1021463.9,900625.32,1156858.8
49,1054979.36,1053416.2,1074831.4000000006,1050931.48,1036788.0000000001,1044186.8,1046167.88,1040270.9200000009,921992.4400000001,1159665.32
50,1076352.9599999997,1057937.6,1161339.9,1053927.68,1059305.1,1052546.52,1054272.96,1053010.76,943032.44,1164538.2
